corruption,resnet101,resnet152,resnet50,vit_b_16,vit_b_32
brightness,21.1,20.3,22.7,22.2,28.4
contrast,21.3,20.4,23.5,33.1,32.2
defocus_blur,47.1,45.7,52.9,45.2,49.8
elastic_transform,69.1,66.6,78.2,49.1,51.1
fog,26.7,25.4,28.6,29.1,44.1
frost,43.4,41.1,46.5,34.2,43.5
gaussian_noise,46.3,41.7,56.6,38.9,42.0
glass_blur,76.2,74.0,85.0,58.2,55.6
impulse_noise,48.8,43.7,59.5,40.0,43.3
jpeg_compression,34.8,32.9,38.7,34.6,34.7
motion_blur,42.3,39.6,52.8,41.4,48.8
pixelate,50.8,53.5,68.4,36.2,32.5
shot_noise,47.1,43.0,57.8,40.6,43.3
snow,47.9,44.9,52.7,42.6,56.7
zoom_blur,47.8,46.2,51.9,49.7,59.3
