wnid,mean_drift,spillover_rate,n_par,model
n01440764,0.3809417188167572,0.25,40,resnet50
n01443537,0.41314640641212463,0.25,40,resnet50
n01484850,0.34330421686172485,0.475,40,resnet50
n01491361,0.29861587285995483,0.425,40,resnet50
n01494475,0.3207224905490875,0.075,40,resnet50
n01496331,0.3585365414619446,0.4,40,resnet50
n01498041,0.35447511076927185,0.175,40,resnet50
n01514668,0.3249739408493042,0.25,40,resnet50
n01514859,0.3820018768310547,0.425,40,resnet50
n01518878,0.34023210406303406,0.3,40,resnet50
n01530575,0.36765196919441223,0.225,40,resnet50
n01531178,0.30850183963775635,0.2,40,resnet50
n01532829,0.36436980962753296,0.25,40,resnet50
n01534433,0.27367907762527466,0.125,40,resnet50
n01537544,0.24513837695121765,0.15,40,resnet50
n01558993,0.273103803396225,0.125,40,resnet50
n01560419,0.2863565981388092,0.1,40,resnet50
n01580077,0.26645225286483765,0.05,40,resnet50
n01582220,0.38997402787208557,0.4,40,resnet50
n01592084,0.36336416006088257,0.225,40,resnet50
n01601694,0.35236993432044983,0.15,40,resnet50
n01608432,0.3817142844200134,0.2,40,resnet50
n01614925,0.3735431730747223,0.3,40,resnet50
n01616318,0.42016011476516724,0.35,40,resnet50
n01622779,0.403566837310791,0.325,40,resnet50
n01629819,0.31496506929397583,0.05,40,resnet50
n01630670,0.31053626537323,0.2,40,resnet50
n01631663,0.2978118360042572,0.2,40,resnet50
n01632458,0.38466542959213257,0.3,40,resnet50
n01632777,0.3898731768131256,0.3,40,resnet50
n01641577,0.420229434967041,0.375,40,resnet50
n01644373,0.3449668288230896,0.225,40,resnet50
n01644900,0.45958781242370605,0.425,40,resnet50
n01664065,0.41442251205444336,0.3,40,resnet50
n01665541,0.45632752776145935,0.55,40,resnet50
n01667114,0.4159616529941559,0.325,40,resnet50
n01667778,0.4305645823478699,0.325,40,resnet50
n01669191,0.37411606311798096,0.375,40,resnet50
n01675722,0.4426317811012268,0.425,40,resnet50
n01677366,0.35759586095809937,0.1,40,resnet50
n01682714,0.38119781017303467,0.35,40,resnet50
n01685808,0.31362301111221313,0.075,40,resnet50
n01687978,0.368191123008728,0.475,40,resnet50
n01688243,0.5012264251708984,0.45,40,resnet50
n01689811,0.4805465340614319,0.575,40,resnet50
n01692333,0.4668957591056824,0.35,40,resnet50
n01693334,0.41953936219215393,0.4,40,resnet50
n01694178,0.4096840023994446,0.175,40,resnet50
n01695060,0.45328933000564575,0.4,40,resnet50
n01697457,0.47124069929122925,0.55,40,resnet50
n01698640,0.5022401809692383,0.5,40,resnet50
n01704323,0.4745400846004486,0.325,40,resnet50
n01728572,0.41781750321388245,0.375,40,resnet50
n01728920,0.3876274526119232,0.3,40,resnet50
n01729322,0.4505159854888916,0.65,40,resnet50
n01729977,0.40960708260536194,0.525,40,resnet50
n01734418,0.4209497570991516,0.3,40,resnet50
n01735189,0.397705078125,0.3,40,resnet50
n01737021,0.4439942240715027,0.25,40,resnet50
n01739381,0.32369834184646606,0.275,40,resnet50
n01740131,0.4263964593410492,0.575,40,resnet50
n01742172,0.4189935624599457,0.6,40,resnet50
n01744401,0.46687403321266174,0.3,40,resnet50
n01748264,0.3943594694137573,0.3,40,resnet50
n01749939,0.37320390343666077,0.35,40,resnet50
n01751748,0.36577367782592773,0.275,40,resnet50
n01753488,0.4019111096858978,0.4,40,resnet50
n01755581,0.4509875774383545,0.475,40,resnet50
n01756291,0.41425782442092896,0.475,40,resnet50
n01768244,0.5181350111961365,0.525,40,resnet50
n01770081,0.41267937421798706,0.375,40,resnet50
n01770393,0.43352049589157104,0.35,40,resnet50
n01773157,0.2846249043941498,0.075,40,resnet50
n01773549,0.40490037202835083,0.425,40,resnet50
n01773797,0.3217172622680664,0.525,40,resnet50
n01774384,0.32500380277633667,0.175,40,resnet50
n01774750,0.3930462896823883,0.275,40,resnet50
n01775062,0.3184892535209656,0.15,40,resnet50
n01776313,0.24344110488891602,0.05,40,resnet50
n01784675,0.3854463994503021,0.4,40,resnet50
n01795545,0.3567593991756439,0.175,40,resnet50
n01796340,0.4168056547641754,0.425,40,resnet50
n01797886,0.39425575733184814,0.25,40,resnet50
n01798484,0.3931819200515747,0.225,40,resnet50
n01806143,0.37081190943717957,0.125,40,resnet50
n01806567,0.3077027201652527,0.175,40,resnet50
n01807496,0.38300591707229614,0.25,40,resnet50
n01817953,0.48734474182128906,0.425,40,resnet50
n01818515,0.3044853210449219,0.125,40,resnet50
n01819313,0.38754042983055115,0.35,40,resnet50
n01820546,0.29627031087875366,0.125,40,resnet50
n01824575,0.4127313494682312,0.375,40,resnet50
n01828970,0.2993393838405609,0.175,40,resnet50
n01829413,0.37214013934135437,0.2,40,resnet50
n01833805,0.3047247529029846,0.35,40,resnet50
n01843065,0.27010229229927063,0.125,40,resnet50
n01843383,0.29914164543151855,0.2,40,resnet50
n01847000,0.41202712059020996,0.275,40,resnet50
n01855032,0.19424478709697723,0.025,40,resnet50
n01855672,0.3354150056838989,0.175,40,resnet50
n01860187,0.31378230452537537,0.1,40,resnet50
n01871265,0.3643297255039215,0.325,40,resnet50
n01872401,0.35866427421569824,0.225,40,resnet50
n01873310,0.501134991645813,0.4,40,resnet50
n01877812,0.44670018553733826,0.275,40,resnet50
n01882714,0.4732142388820648,0.525,40,resnet50
n01883070,0.4839257299900055,0.425,40,resnet50
n01910747,0.40854835510253906,0.2,40,resnet50
n01914609,0.3754466474056244,0.125,40,resnet50
n01917289,0.3384013772010803,0.3,40,resnet50
n01924916,0.39135417342185974,0.3,40,resnet50
n01930112,0.2905096411705017,0.2,40,resnet50
n01943899,0.45386379957199097,0.475,40,resnet50
n01944390,0.4043397009372711,0.25,40,resnet50
n01945685,0.4668044149875641,0.5,40,resnet50
n01950731,0.4604460597038269,0.525,40,resnet50
n01955084,0.4376541078090668,0.3,40,resnet50
n01968897,0.37676188349723816,0.225,40,resnet50
