wnid,mean_drift,spillover_rate,n_par,model
n01440764,0.29745063185691833,0.05,40,vit_b_32
n01443537,0.3705284595489502,0.325,40,vit_b_32
n01484850,0.30625033378601074,0.225,40,vit_b_32
n01491361,0.29083147644996643,0.25,40,vit_b_32
n01494475,0.3923739194869995,0.325,40,vit_b_32
n01496331,0.268890917301178,0.175,40,vit_b_32
n01498041,0.359077513217926,0.25,40,vit_b_32
n01514668,0.23853464424610138,0.075,40,vit_b_32
n01514859,0.2994370460510254,0.2,40,vit_b_32
n01518878,0.2722087502479553,0.075,40,vit_b_32
n01530575,0.264417827129364,0.175,40,vit_b_32
n01531178,0.22602424025535583,0.0,40,vit_b_32
n01532829,0.2689639925956726,0.075,40,vit_b_32
n01534433,0.23574943840503693,0.125,40,vit_b_32
n01537544,0.1780616044998169,0.0,40,vit_b_32
n01558993,0.20142784714698792,0.025,40,vit_b_32
n01560419,0.2450675070285797,0.1,40,vit_b_32
n01580077,0.21393105387687683,0.0,40,vit_b_32
n01582220,0.31034159660339355,0.275,40,vit_b_32
n01592084,0.3049611449241638,0.1,40,vit_b_32
n01601694,0.3118184804916382,0.1,40,vit_b_32
n01608432,0.2817448079586029,0.175,40,vit_b_32
n01614925,0.2997583746910095,0.3,40,vit_b_32
n01616318,0.25486505031585693,0.15,40,vit_b_32
n01622779,0.31070512533187866,0.2,40,vit_b_32
n01629819,0.2377886325120926,0.025,40,vit_b_32
n01630670,0.31922993063926697,0.25,40,vit_b_32
n01631663,0.24541893601417542,0.025,40,vit_b_32
n01632458,0.3566395938396454,0.325,40,vit_b_32
n01632777,0.3153163492679596,0.175,40,vit_b_32
n01641577,0.3201776444911957,0.075,40,vit_b_32
n01644373,0.306379109621048,0.25,40,vit_b_32
n01644900,0.4474762976169586,0.5,40,vit_b_32
n01664065,0.39700233936309814,0.35,40,vit_b_32
n01665541,0.40222907066345215,0.425,40,vit_b_32
n01667114,0.3750631511211395,0.35,40,vit_b_32
n01667778,0.38775306940078735,0.2,40,vit_b_32
n01669191,0.376242458820343,0.3,40,vit_b_32
n01675722,0.3651070296764374,0.275,40,vit_b_32
n01677366,0.27209314703941345,0.15,40,vit_b_32
n01682714,0.3073870837688446,0.325,40,vit_b_32
n01685808,0.2921063005924225,0.025,40,vit_b_32
n01687978,0.3355576992034912,0.325,40,vit_b_32
n01688243,0.43414467573165894,0.45,40,vit_b_32
n01689811,0.4225800633430481,0.45,40,vit_b_32
n01692333,0.3563685417175293,0.225,40,vit_b_32
n01693334,0.37768712639808655,0.45,40,vit_b_32
n01694178,0.34666934609413147,0.05,40,vit_b_32
n01695060,0.39580288529396057,0.375,40,vit_b_32
n01697457,0.44810229539871216,0.375,40,vit_b_32
n01698640,0.4729344844818115,0.475,40,vit_b_32
n01704323,0.39005088806152344,0.225,40,vit_b_32
n01728572,0.3527798056602478,0.275,40,vit_b_32
n01728920,0.275432288646698,0.15,40,vit_b_32
