wnid,compactness,dispersion,margin,n_imgs,model
n01440764,0.1780625432729721,0.020471832279715725,0.7296156883239746,47,resnet101
n01443537,0.18071018159389496,0.018431598323590016,0.8326769471168518,47,resnet101
n01484850,0.14329032599925995,0.013434708164773695,0.36716240644454956,44,resnet101
n01491361,0.12377732247114182,0.010559247577024604,0.36716240644454956,44,resnet101
n01494475,0.17697525024414062,0.016970946503357277,0.5106441974639893,47,resnet101
n01496331,0.2173534482717514,0.020305893804159467,0.40173447132110596,43,resnet101
n01498041,0.22512681782245636,0.02575965617825735,0.4017345905303955,45,resnet101
n01514668,0.18399083614349365,0.023521054111482347,0.2895105481147766,34,resnet101
n01514859,0.20698711276054382,0.02507142783492547,0.28951066732406616,43,resnet101
n01518878,0.2183312624692917,0.01672342474413379,0.8053135871887207,50,resnet101
n01530575,0.11164075881242752,0.009947702133088657,0.4599233865737915,47,resnet101
n01531178,0.1008046418428421,0.008893418563497391,0.669559121131897,50,resnet101
n01532829,0.09986521303653717,0.009280389663430349,0.45992380380630493,49,resnet101
n01534433,0.0606113038957119,0.005794950211928479,0.7225726842880249,50,resnet101
n01537544,0.11653686314821243,0.012514684779728199,0.6695590019226074,48,resnet101
n01558993,0.1044185683131218,0.01081716213909971,0.6532397270202637,48,resnet101
n01560419,0.11663533002138138,0.00917953327790404,0.8001163601875305,45,resnet101
n01580077,0.10155246406793594,0.008129657203376797,0.7811425924301147,48,resnet101
n01582220,0.14828981459140778,0.013918790115284695,0.7318762540817261,48,resnet101
n01592084,0.08847133815288544,0.00799277229114789,0.7394260168075562,50,resnet101
n01601694,0.1434096097946167,0.015196500423521254,0.7862684726715088,46,resnet101
n01608432,0.21159066259860992,0.022494337544370833,0.6129744052886963,44,resnet101
n01614925,0.079757459461689,0.006625068111285518,0.6129739880561829,49,resnet101
n01616318,0.21917004883289337,0.022412930946353552,0.6248224973678589,50,resnet101
n01622779,0.0898011326789856,0.007129343521994259,0.8014047741889954,49,resnet101
n01629819,0.0736844465136528,0.0055375460951014015,0.3481961488723755,48,resnet101
n01630670,0.20292620360851288,0.017990734303929688,0.3481963872909546,35,resnet101
n01631663,0.12448175251483917,0.009542241038182332,0.3883560299873352,38,resnet101
n01632458,0.1286264806985855,0.013603463193894534,0.4666488766670227,48,resnet101
n01632777,0.18578465282917023,0.015607270343748434,0.565845787525177,48,resnet101
n01641577,0.12944962084293365,0.010494523843847591,0.38702887296676636,40,resnet101
n01644373,0.1487312763929367,0.01255459285906596,0.31793493032455444,45,resnet101
n01644900,0.2262100726366043,0.02549266330983083,0.31793493032455444,30,resnet101
n01664065,0.2365064024925232,0.025162493793946316,0.4103895425796509,45,resnet101
n01665541,0.26569807529449463,0.030100009018154468,0.41038966178894043,38,resnet101
n01667114,0.20245273411273956,0.01683778063104891,0.2836645245552063,33,resnet101
n01667778,0.21783769130706787,0.018823671008452742,0.2836647033691406,28,resnet101
n01669191,0.09570541977882385,0.007118983738399287,0.36257731914520264,43,resnet101
n01675722,0.16770681738853455,0.013551201588046015,0.5704405903816223,45,resnet101
n01677366,0.16508768498897552,0.014486057660964894,0.4582400321960449,43,resnet101
n01682714,0.1365189105272293,0.011468588244567163,0.22703170776367188,34,resnet101
n01685808,0.1484731286764145,0.013542882101798326,0.5704404711723328,47,resnet101
n01687978,0.18196099996566772,0.01594638764936869,0.5684018135070801,44,resnet101
n01688243,0.19926875829696655,0.021999221060582132,0.6395213007926941,46,resnet101
n01689811,0.184824138879776,0.018930736932595123,0.6559263467788696,36,resnet101
n01692333,0.17611472308635712,0.017886442164706414,0.6977748870849609,45,resnet101
n01693334,0.20066674053668976,0.01875894706661619,0.22703135013580322,23,resnet101
n01694178,0.16816070675849915,0.014756546116770764,0.6462841033935547,42,resnet101
n01695060,0.14836765825748444,0.015293582480560904,0.6977745890617371,48,resnet101
n01697457,0.24559392035007477,0.03495621827023496,0.3010714054107666,43,resnet101
n01698640,0.20096823573112488,0.022521274674534596,0.3010714650154114,47,resnet101
n01704323,0.2572194039821625,0.02661238263504856,0.7289726734161377,48,resnet101
n01728572,0.23760120570659637,0.02771527178468821,0.5374131798744202,40,resnet101
n01728920,0.16364383697509766,0.01599661332108795,0.5374130606651306,46,resnet101
n01729322,0.21091294288635254,0.0200877458934126,0.5550975799560547,35,resnet101
n01729977,0.1727074831724167,0.016694906460300397,0.21805310249328613,33,resnet101
n01734418,0.18248361349105835,0.01707959336197272,0.4970264434814453,45,resnet101
n01735189,0.14550377428531647,0.0139358219077434,0.4632183909416199,49,resnet101
n01737021,0.2995505630970001,0.040708481083478375,0.4504266381263733,43,resnet101
n01739381,0.19747628271579742,0.02279812392228353,0.3710339069366455,37,resnet101
n01740131,0.2784993052482605,0.029088988027383095,0.45042651891708374,23,resnet101
n01742172,0.19023092091083527,0.01766940586954885,0.3647031784057617,43,resnet101
n01744401,0.21092751622200012,0.025985600887446683,0.36470305919647217,26,resnet101
n01748264,0.24684451520442963,0.02712415303782793,0.6325321793556213,44,resnet101
n01749939,0.1368740051984787,0.015121322651777413,0.21805286407470703,38,resnet101
n01751748,0.20526127517223358,0.017697903831216475,0.5772544145584106,38,resnet101
n01753488,0.2169317752122879,0.02750048168402632,0.053609251976013184,30,resnet101
n01755581,0.24899201095104218,0.03213658834659947,0.5360943675041199,44,resnet101
n01756291,0.1190231591463089,0.011678216635403721,0.053609371185302734,25,resnet101
n01768244,0.1034466028213501,0.006941961928091449,0.7574651837348938,49,resnet101
n01770081,0.15012267231941223,0.01703969602689223,0.7006343603134155,49,resnet101
n01770393,0.1545221209526062,0.012339530168763817,0.7864915132522583,48,resnet101
n01773157,0.07514078170061111,0.005923081922334268,0.5500061511993408,47,resnet101
n01773549,0.20667609572410583,0.021265834626561113,0.21276473999023438,27,resnet101
n01773797,0.10216721147298813,0.010835208086281115,0.2127644419670105,30,resnet101
n01774384,0.13288594782352448,0.012686026817419583,0.6078116297721863,44,resnet101
n01774750,0.12706805765628815,0.01184640038338187,0.6267721652984619,47,resnet101
n01775062,0.1709885597229004,0.01531685806927436,0.38243818283081055,39,resnet101
n01776313,0.18274667859077454,0.01861185686242605,0.6893365979194641,40,resnet101
n01784675,0.2138976901769638,0.01827859366275995,0.7630534172058105,44,resnet101
n01795545,0.136484757065773,0.01057579718687466,0.63248610496521,46,resnet101
n01796340,0.18359138071537018,0.016050914541071857,0.6575747728347778,47,resnet101
