model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital,brightness,contrast,colorfulness,saturation,hf_ratio,edge_strength,entropy,margin_clean,pred_entropy_clean,n_confusable
resnet101,CNN,n02769748,backpack,0.58,0.86,0.19973333333333335,0.43093333333333333,0.38026666666666664,0.655632183908046,0.8002666666666667,1.441654930894584,-0.054933333333333334,0.3595930320752086,0.12430967588338385,0.3493333333333333,0.44099999999999995,0.358,0.365,0.23066666666666666,0.139,0.222,0.215,0.42166580200195314,0.239063883125782,0.15686785019934177,0.24137987032532693,0.01663618927821517,0.03529565595090389,6.940847750774502,0.44740859999999993,1.0813050646225937,14
resnet101,CNN,n07614500,ice_cream,0.8,0.94,0.3,0.5626666666666666,0.5,0.625,0.7,1.8955841482660207,-0.09159999999999999,0.5560969091416337,0.19475540879611772,0.5546666666666668,0.5710000000000001,0.38900000000000007,0.49900000000000005,0.24533333333333332,0.229,0.411,0.301,0.4811888599395752,0.234979789853096,0.2066459399461746,0.40801922857761386,0.009641439549159258,0.03595629941672087,7.446661797851427,0.48987660000000005,0.8883157259229137,7
resnet101,CNN,n03899768,patio,0.68,0.92,0.25706666666666667,0.4842666666666667,0.4229333333333334,0.6219607843137255,0.7429333333333333,1.6034114448799515,-0.0828,0.4650249149824958,0.15572662321941216,0.5173333333333334,0.552,0.24900000000000005,0.3970000000000001,0.16266666666666665,0.128,0.431,0.283,0.4382055699825287,0.23402128338813782,0.1434097184240818,0.260850293636322,0.022565775383263827,0.050883342772722245,7.466746908040696,0.498159,0.9880109213993318,12
resnet101,CNN,n03532672,hook,0.54,0.74,0.2192,0.4610666666666667,0.32080000000000003,0.5940740740740741,0.7807999999999999,1.2162067895274788,-0.045733333333333334,0.31288770276529243,0.1262381846484815,0.33866666666666667,0.393,0.23600000000000004,0.32000000000000006,0.20133333333333334,0.147,0.304,0.22,0.5263855397701264,0.19225420594215392,0.15287096336483955,0.2718523121997714,0.009977769858669489,0.030588320419192315,6.772890948727857,0.39221380000000006,1.1837039500630342,21
resnet101,CNN,n04004767,printer,0.68,0.92,0.27653333333333335,0.552,0.4034666666666667,0.5933333333333334,0.7234666666666667,1.5296100353741278,-0.0744,0.4350763799482957,0.1818595260833186,0.3906666666666667,0.4580000000000001,0.37200000000000005,0.39000000000000007,0.28933333333333333,0.222,0.308,0.29,0.5639609265327453,0.22863527059555053,0.09719779655337334,0.15657575003802776,0.007789120111847296,0.028084154538810253,7.067738125463649,0.4968768,0.9485271016715606,9
resnet101,CNN,n04239074,sliding_door,0.54,0.78,0.224,0.4816,0.31600000000000006,0.5851851851851853,0.776,1.1980091817041252,-0.051466666666666674,0.33188177855430695,0.12614526046736255,0.38933333333333336,0.32900000000000007,0.23800000000000004,0.32600000000000007,0.15066666666666667,0.211,0.302,0.214,0.42952573239803316,0.22556611508131028,0.1303331297170371,0.2782224204298109,0.01572938879020512,0.03519187696278095,7.287796566326535,0.3801598,1.1967890070565073,19
resnet101,CNN,n01740131,night_snake,0.46,0.9,0.19173333333333334,0.6138666666666667,0.26826666666666665,0.5831884057971014,0.8082666666666667,1.0170440816829955,-0.054533333333333336,0.3540415684308391,0.13247759249636046,0.31733333333333336,0.29500000000000004,0.202,0.271,0.14266666666666666,0.165,0.258,0.189,0.38980456948280334,0.20074525088071823,0.14141064047813415,0.3958138966560364,0.026148119810968637,0.052453091740608214,7.25660804209817,0.46950359999999997,1.0173227832519083,15
resnet101,CNN,n03887697,paper_towel,0.84,0.92,0.3506666666666667,0.5709333333333333,0.4893333333333333,0.5825396825396825,0.6493333333333333,1.8551450197696786,-0.09373333333333334,0.542804722290457,0.22629180490864623,0.6066666666666667,0.567,0.44999999999999996,0.363,0.23333333333333334,0.273,0.39,0.477,0.5699201744794845,0.20121121406555176,0.10661854520440102,0.20184353455901147,0.006730124107562006,0.024221991822123527,6.826705384727009,0.5245002,0.7870461791254008,8
resnet101,CNN,n07860988,dough,0.54,0.78,0.2336,0.46186666666666665,0.3064,0.5674074074074074,0.7664,1.1616139660574174,-0.05613333333333335,0.34522830617963335,0.13787455394741419,0.3773333333333334,0.3350000000000001,0.20400000000000001,0.32700000000000007,0.16266666666666665,0.205,0.336,0.213,0.4644204533100128,0.19544096082448958,0.19575455605983735,0.4154057455062866,0.010038642128929496,0.03568701639771461,7.246720621243574,0.488129,0.9825744848098107,19
resnet101,CNN,n01697457,African_crocodile,0.86,0.94,0.3744,0.5437333333333333,0.4856,0.5646511627906976,0.6255999999999999,1.840991324795959,-0.0988,0.6283612750563771,0.26158244140222764,0.6306666666666667,0.619,0.28800000000000003,0.441,0.22933333333333333,0.241,0.572,0.419,0.43463742077350614,0.1849941283464432,0.10003335312008858,0.2537671238183975,0.020312394946813583,0.05114518746733666,7.2458100798777885,0.6188882,0.5436305779927904,7
