wnid,n_img,brightness,contrast,colorfulness,saturation,hf_ratio,edge_strength,entropy
n01440764,25,0.421975713968277,0.22159817188978195,0.15886362999677658,0.3071017289161682,0.01860096937045455,0.04856266990303993,7.504662543083474
n01443537,25,0.40487305879592894,0.1774083375930786,0.2739853757619858,0.5105255633592606,0.010148035906022415,0.025300317667424677,6.877647072253905
n01484850,25,0.4143021392822266,0.1546144163608551,0.25063905358314514,0.6235202884674073,0.006815541329560801,0.020879583582282066,6.505463889973616
n01491361,25,0.36746696472167967,0.1333254909515381,0.26489127457141876,0.6567410695552826,0.004424316622316837,0.01476390179246664,6.522749754636379
n01494475,25,0.3374002020061016,0.1379016497731209,0.18891717374324798,0.6243306802213192,0.00792601760243997,0.015887558497488498,6.3160559688188815
n01496331,25,0.4349182087182999,0.19394294679164886,0.20217069387435913,0.41683087110519407,0.01602433560648933,0.031807869654148814,7.090084057581528
n01498041,25,0.4601470613479614,0.14536574512720107,0.23512594282627106,0.5311823761463166,0.006534165751654655,0.025048424936830998,6.954997030128099
n01514668,25,0.44454951167106627,0.21862474262714385,0.20421772614121436,0.345735958814621,0.014566843900829553,0.0428360191732645,7.32941208767243
n01514859,25,0.43317157685756685,0.20503414392471314,0.17749132186174393,0.37550150096416474,0.022189650535583496,0.055249884724617004,7.490212817569723
n01518878,25,0.47303693771362304,0.20129965156316756,0.12332141190767289,0.2799907335639,0.012942488994449377,0.04241077363491058,7.335342165152565
n01530575,25,0.5246384871006012,0.1932274016737938,0.11746544539928436,0.2586684921383858,0.016223019061144442,0.04419072270393372,6.910032166530268
n01531178,25,0.48650130748748777,0.1736438900232315,0.19109980195760726,0.38392069160938264,0.010140547666233034,0.028283621445298196,6.678732178497316
n01532829,25,0.4779422271251679,0.18229818761348723,0.16566979590803385,0.30831259340047834,0.011214473405852915,0.032884724773466587,6.893968308093133
n01534433,25,0.48416853964328765,0.17751000374555587,0.125505293905735,0.26554123669862745,0.012116356338374316,0.03566616915166378,7.178016521289046
n01537544,25,0.5005619704723359,0.1836511266231537,0.22006497859954835,0.44061997056007385,0.012228572010062635,0.03648793362081051,6.808657510973797
