model,wnid,margin_clean,pred_entropy_clean,n_confusable
resnet101,n01440764,0.7824275999999999,0.1601150776932988,4
resnet101,n01443537,0.7507472000000002,0.20418572170187643,4
resnet101,n01484850,0.6900149999999999,0.37173073601915463,5
resnet101,n01491361,0.6677892,0.4449469700629159,5
resnet101,n01494475,0.7220859999999999,0.3431391655755603,3
resnet101,n01496331,0.6536076,0.43063252053364737,7
resnet101,n01498041,0.6669754,0.4692740607281579,5
resnet101,n01514668,0.5611124000000001,0.629153275975257,6
resnet101,n01514859,0.6684334,0.43545016908521583,3
resnet101,n01518878,0.8224094,0.046853591115381565,1
resnet101,n01530575,0.7488404,0.22569022250142518,4
resnet101,n01531178,0.8142016,0.08296714674628486,1
resnet101,n01532829,0.7966255999999998,0.16406023709280593,2
resnet101,n01534433,0.8380851999999999,0.04341961556150614,1
resnet101,n01537544,0.7776874,0.1483185645340293,3
resnet101,n01558993,0.7915760000000001,0.14150648672758112,3
resnet101,n01560419,0.7529329999999999,0.18697073480258808,6
resnet101,n01580077,0.8018446,0.11144281572514592,3
resnet101,n01582220,0.7519858,0.16602671451217257,3
resnet101,n01592084,0.8119354,0.07332008187051653,1
resnet101,n01601694,0.7527322000000001,0.20365033405688585,5
resnet101,n01608432,0.6753544000000001,0.4539439686736304,4
resnet101,n01614925,0.7900990000000001,0.10465153451999706,2
resnet101,n01616318,0.765583,0.16255474565779515,1
resnet101,n01622779,0.8008139999999999,0.10203020837405342,2
resnet101,n01629819,0.7317808000000002,0.3131228420830433,3
resnet101,n01630670,0.6287902,0.5828953379150946,6
resnet101,n01631663,0.685544,0.4249211629153553,3
resnet101,n01632458,0.7352782000000001,0.3227146592501844,3
resnet101,n01632777,0.7370028,0.25424638845143777,3
resnet101,n01641577,0.6759212000000001,0.41191378339325463,6
resnet101,n01644373,0.6597407999999999,0.463611798471009,2
resnet101,n01644900,0.4705688,0.908217408832892,9
resnet101,n01664065,0.6201488,0.5917471583552887,6
resnet101,n01665541,0.6574037999999999,0.534715038980815,7
resnet101,n01667114,0.48842399999999997,0.9017079631490964,7
resnet101,n01667778,0.5455920000000001,0.7488327882755357,3
resnet101,n01669191,0.6669264000000001,0.5080950586104757,4
resnet101,n01675722,0.6938870000000001,0.37804055618853893,5
resnet101,n01677366,0.6394224000000001,0.40003182566728496,4
resnet101,n01682714,0.2511285999999999,0.9986638542038229,3
resnet101,n01685808,0.7450404,0.29214746285153653,4
resnet101,n01687978,0.7434537999999999,0.30300740611833066,6
resnet101,n01688243,0.7166572000000001,0.27024423674300235,4
resnet101,n01689811,0.6219766,0.5166364798941595,8
resnet101,n01692333,0.7203686,0.299767286891707,4
resnet101,n01693334,0.4495822,0.8224373750681002,9
resnet101,n01694178,0.721644,0.317716188122321,5
resnet101,n01695060,0.7756016000000001,0.11584657395569148,2
resnet101,n01697457,0.6188882,0.5436305779927904,7
resnet101,n01698640,0.6861234000000002,0.45574101461066746,2
resnet101,n01704323,0.7656476000000001,0.15871329768783682,3
resnet101,n01728572,0.6567966000000002,0.5273404027658993,8
resnet101,n01728920,0.7125365999999999,0.33147232448430536,5
resnet101,n01729322,0.6796662000000001,0.45554152738176495,9
resnet101,n01729977,0.6121002000000001,0.6005595373662432,4
resnet101,n01734418,0.6781578,0.47728207313607124,3
resnet101,n01735189,0.725719,0.3885958204137258,2
resnet101,n01737021,0.5726072,0.7593261339416231,5
resnet101,n01739381,0.5258586000000001,0.8169832698573047,11
resnet101,n01740131,0.46950359999999997,1.0173227832519083,15
resnet101,n01742172,0.6562317999999999,0.5095685085533813,6
resnet101,n01744401,0.5187206,0.8922587414648779,8
resnet101,n01748264,0.6468596,0.5138607599501044,6
resnet101,n01749939,0.5048178,0.8379413297578979,8
resnet101,n01751748,0.6655166,0.4257978841626267,10
resnet101,n01753488,0.27414220000000006,1.14625452383658,6
resnet101,n01755581,0.5727118000000001,0.7658774038252497,7
resnet101,n01756291,0.1490602,1.1830102796483928,9
resnet101,n01768244,0.8224136,0.037385855947884725,2
resnet101,n01770081,0.7503222,0.21328183895341268,2
resnet101,n01770393,0.7936481999999999,0.08539144509815076,3
resnet101,n01773157,0.3773596000000001,1.0321436357436746,3
resnet101,n01773549,0.5259343999999999,0.8333201686669051,7
resnet101,n01773797,0.5080136,0.8619415625505886,5
resnet101,n01774384,0.7265230000000001,0.35051758914887343,5
resnet101,n01774750,0.7753868,0.17756609191080103,2
resnet101,n01775062,0.4494777999999999,0.9120692501841456,8
resnet101,n01776313,0.6741561999999999,0.41457231370609926,8
resnet101,n01784675,0.6839748000000001,0.37303224624460624,7
resnet101,n01795545,0.7971895999999999,0.15851530216976584,4
resnet101,n01796340,0.7242473999999999,0.28526060860571156,3
resnet101,n01797886,0.6328796,0.6028675903059082,2
resnet101,n01798484,0.7335942,0.23969734743127458,3
resnet101,n01806143,0.7683562,0.14990102342690712,3
resnet101,n01806567,0.734383,0.3331389073969752,4
resnet101,n01807496,0.35264039999999996,0.950604638099672,4
resnet101,n01817953,0.8430764000000001,0.04802497715640317,2
resnet101,n01818515,0.7916964,0.1214732167796739,1
resnet101,n01819313,0.8157190000000001,0.08856057441222082,2
resnet101,n01820546,0.8357407999999998,0.05337187828171255,1
resnet101,n01824575,0.7689044000000002,0.17598716988563887,3
resnet101,n01828970,0.8170740000000001,0.049549254201481846,2
resnet101,n01829413,0.7478852,0.18755027702008742,1
resnet101,n01833805,0.7423224,0.23981957541265117,2
resnet101,n01843065,0.7533411999999999,0.20268059205919292,4
resnet101,n01843383,0.7611214,0.15615677529673008,3
resnet101,n01847000,0.7129373999999999,0.2732730381708474,2
resnet101,n01855032,0.7877006,0.15901374511749292,4
resnet101,n01855672,0.6619508,0.48279883484136066,8
resnet101,n01860187,0.8008293999999999,0.11215429897129976,2
resnet101,n01871265,0.4685932,0.8530861988562564,4
resnet101,n01872401,0.8163084,0.08459214523183244,1
resnet101,n01873310,0.7044417999999999,0.37001435310938424,6
resnet101,n01877812,0.6866758000000002,0.31861781741524425,7
resnet101,n01882714,0.75267,0.21641478967566602,3
resnet101,n01883070,0.7459583999999999,0.21809955433526326,5
resnet101,n01910747,0.7289682,0.23401567812438157,4
resnet101,n01914609,0.5309346,0.675947833547406,9
resnet101,n01917289,0.7584518,0.2444962409494616,3
resnet101,n01924916,0.7158655999999999,0.23537331214159452,4
resnet101,n01930112,0.7742092,0.19240890829338655,5
resnet101,n01943899,0.6060172,0.609467867097063,5
resnet101,n01944390,0.7081779999999999,0.33161969581364703,4
resnet101,n01945685,0.6618714000000001,0.4738022014414127,10
resnet101,n01950731,0.7003136000000001,0.32298501009464686,4
