wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n11939491,daisy,0.0727065335070198,0.2738499681277327,0.976
n11879895,rapeseed,0.07897333333333331,0.3240499900453976,0.984
n12057211,yellow_lady's_slipper,0.08064,0.3013913280344206,1.0
n01795545,black_grouse,0.08303123993558778,0.29616792282147564,0.9120000000000001
n03888257,parachute,0.09206066965793407,0.3523084216341531,0.9559999999999998
n01776313,tick,0.10073477769267244,0.3087538042141828,0.776
n01820546,lorikeet,0.10405333333333333,0.39441400498595913,1.0
n03590841,jack-o'-lantern,0.10736167800453514,0.4001662253656688,0.9640000000000001
n02606052,rock_beauty,0.10781278043132145,0.39003300897494186,0.96
n02509815,lesser_panda,0.1095602836879432,0.38613232420814414,0.9399999999999998
n01843065,jacamar,0.11310638297872333,0.407076649614722,0.944
n01860187,black_swan,0.11774376417233559,0.4380790875702436,0.976
n03841143,odometer,0.12204902494331064,0.47052806096602834,0.984
n01537544,indigo_bunting,0.12369585774488641,0.44393345872942563,0.944
n02965783,car_mirror,0.12631900161030596,0.4676606305742033,0.9400000000000001
n07730033,cardoon,0.12698699763593374,0.4635500596976492,0.9480000000000001
n02013706,limpkin,0.12738666666666668,0.4814958941974744,0.984
n04562935,water_tower,0.12913706759299465,0.48681819132355153,0.9559999999999998
n02006656,spoonbill,0.13233959183673466,0.5083905684708405,0.9960000000000001
n01855032,red-breasted_merganser,0.1323887814313346,0.47714889926454107,0.9359999999999999
n03218198,dogsled,0.13442026649473457,0.4903558265214564,0.9199999999999999
n02422106,hartebeest,0.1354383381474699,0.5138247415803068,0.96
n02123597,Siamese_cat,0.1354457953394123,0.5097683457985851,0.96
n01828970,bee_eater,0.13619614512471653,0.5152957961722755,0.976
n02279972,monarch,0.13719709117072668,0.509300272986571,0.944
n02494079,squirrel_monkey,0.13814578754578755,0.4440062628742266,0.796
n02391049,zebra,0.13970803782505906,0.5313436271452938,0.9559999999999998
n02116738,African_hunting_dog,0.14287020408163262,0.5527565373525197,0.9960000000000001
n13044778,earthstar,0.14373333333333332,0.554825234776449,1.0
n01818515,macaw,0.15003867033338153,0.5681636041649372,0.976
n03447721,gong,0.15353503303906021,0.4971699587957574,0.8160000000000001
n01930112,nematode,0.1540682769726248,0.569124102660951,0.924
n03733131,maypole,0.15410174554928352,0.5896738714649328,0.9800000000000001
n02793495,barn,0.15480464933018123,0.582059994637888,0.944
n01622779,great_grey_owl,0.155015873015873,0.5988702706059628,0.976
n03544143,hourglass,0.15620552902011864,0.5908127437038926,0.9719999999999999
n02281406,sulphur_butterfly,0.15636524822695033,0.5870755208910334,0.952
n02025239,ruddy_turnstone,0.15658666666666668,0.607044278751965,1.0
n02489166,proboscis_monkey,0.15925333333333333,0.6128660356133218,1.0
n01843383,toucan,0.1608149020267429,0.5772684026278181,0.924
n02111129,Leonberg,0.16090666666666667,0.6164338982430675,1.0
n01518878,ostrich,0.1630976870748299,0.6314924774139978,0.992
n04146614,school_bus,0.16399279452761678,0.603030090258924,0.952
n02028035,redshank,0.1640851063829787,0.6130133491006083,0.9399999999999998
n01580077,jay,0.16588642203720833,0.6107092369201428,0.9480000000000001
n03733281,maze,0.1661289917811657,0.5937769455425839,0.892
n02701002,ambulance,0.16786942047864473,0.6232423766741293,0.952
n02317335,starfish,0.16939957079272533,0.6174695895952323,0.9120000000000001
n02037110,oystercatcher,0.17032819349962205,0.6471412815855058,0.9640000000000001
n02086646,Blenheim_spaniel,0.17090851063829782,0.6356332223074296,0.9400000000000001
n03662601,lifeboat,0.17143144208037825,0.631782991918654,0.952
n02389026,sorrel,0.1726961451247165,0.6555162139522039,0.976
n04086273,revolver,0.1736100692400415,0.630508802672214,0.908
n04409515,tennis_ball,0.1738115417743325,0.589620359074131,0.868
n07742313,Granny_Smith,0.1739262772654077,0.6188523966909326,0.8960000000000001
n02276258,admiral,0.1740266666666667,0.6874895190694007,1.0
n02017213,European_gallinule,0.17458503401360542,0.6734015526127781,0.9800000000000001
n01558993,robin,0.17459458677087855,0.6587749897364257,0.96
n01614925,bald_eagle,0.174875283446712,0.6673310368544823,0.9719999999999999
n02165456,ladybug,0.1751152842018707,0.6477318079727679,0.9279999999999999
n02165105,tiger_beetle,0.17565957446808506,0.6526222444930468,0.9399999999999998
n03857828,oscilloscope,0.17640338164251204,0.6556539388313564,0.944
n03929660,pick,0.17695758046977555,0.564132130259385,0.796
n03026506,Christmas_stocking,0.17757044595616023,0.6710374661997793,0.952
n02280649,cabbage_butterfly,0.1788593380614657,0.6869337895563449,0.9559999999999998
n02326432,hare,0.1790249357590708,0.6509696260096038,0.9199999999999999
n01531178,goldfinch,0.17948625850340136,0.7038889838278198,0.992
n02002556,white_stork,0.17960527009222663,0.641886807818173,0.908
n04153751,screw,0.17995812540248907,0.6816935525740094,0.9480000000000001
n02342885,hamster,0.18053333333333335,0.7167481804953707,1.0
n02817516,bearskin,0.1812716033067559,0.6709087998599463,0.952
n02018795,bustard,0.18188543823326428,0.6920402305615132,0.9560000000000001
n02007558,flamingo,0.18242401505282962,0.6947290155937949,0.976
n02009912,American_egret,0.18304445472299308,0.6834100050269429,0.9359999999999999
n02112137,chow,0.18308859567137642,0.6667344682479435,0.9199999999999999
n02129604,tiger,0.18428014184397162,0.6803695656870843,0.952
n02108551,Tibetan_mastiff,0.18791914208380445,0.6897603619393867,0.924
n01631663,eft,0.18947041778620727,0.551774670673224,0.748
n01798484,prairie_chicken,0.19041062801932365,0.7097219582643197,0.952
n02510455,giant_panda,0.19088208616780042,0.7265930791993821,0.9640000000000001
n02445715,skunk,0.19176342451874367,0.7072378776626268,0.932
n02259212,leafhopper,0.19272012882447667,0.6950119230869466,0.916
n02115913,dhole,0.19335430157261796,0.7070287571211215,0.932
n01806143,peacock,0.19388546340522023,0.7401370834227281,0.9559999999999998
