model,family,wnid,name,acc_clean,acc_clean_top5,mPC_top1,mPC_top5,abs_drop,rel_drop,mce_class,rmce_class,sev_slope,prob_clean,prob_corr,drop_noise,drop_blur,drop_weather,drop_digital,acc_noise,acc_blur,acc_weather,acc_digital
resnet101,CNN,n02769748,backpack,0.58,0.86,0.19973333333333335,0.43093333333333333,0.38026666666666664,0.655632183908046,0.8002666666666667,1.441654930894584,-0.054933333333333334,0.3595930320752086,0.1243096758833838,0.3493333333333333,0.44099999999999995,0.358,0.365,0.23066666666666666,0.139,0.222,0.215
resnet101,CNN,n07614500,ice_cream,0.8,0.94,0.3,0.5626666666666666,0.5,0.625,0.7,1.8955841482660207,-0.09159999999999999,0.5560969091416337,0.1947554087961177,0.5546666666666668,0.5710000000000001,0.38900000000000007,0.49900000000000005,0.24533333333333332,0.229,0.411,0.301
resnet101,CNN,n03899768,patio,0.68,0.92,0.25706666666666667,0.4842666666666667,0.4229333333333334,0.6219607843137255,0.7429333333333333,1.6034114448799515,-0.0828,0.4650249149824958,0.15572662321941214,0.5173333333333334,0.552,0.24900000000000005,0.3970000000000001,0.16266666666666665,0.128,0.431,0.283
resnet101,CNN,n03532672,hook,0.54,0.74,0.2192,0.4610666666666667,0.32080000000000003,0.5940740740740741,0.7807999999999999,1.2162067895274788,-0.045733333333333334,0.3128877027652924,0.12623818464848147,0.33866666666666667,0.393,0.23600000000000004,0.32000000000000006,0.20133333333333334,0.147,0.304,0.22
resnet101,CNN,n04004767,printer,0.68,0.92,0.27653333333333335,0.552,0.4034666666666667,0.5933333333333334,0.7234666666666667,1.5296100353741278,-0.0744,0.4350763799482957,0.18185952608331857,0.3906666666666667,0.4580000000000001,0.37200000000000005,0.39000000000000007,0.28933333333333333,0.222,0.308,0.29
resnet101,CNN,n04239074,sliding_door,0.54,0.78,0.224,0.4816,0.31600000000000006,0.5851851851851853,0.776,1.1980091817041252,-0.051466666666666674,0.3318817785543069,0.1261452604673625,0.38933333333333336,0.32900000000000007,0.23800000000000004,0.32600000000000007,0.15066666666666667,0.211,0.302,0.214
resnet101,CNN,n01740131,night_snake,0.46,0.9,0.19173333333333334,0.6138666666666667,0.26826666666666665,0.5831884057971014,0.8082666666666667,1.0170440816829955,-0.054533333333333336,0.3540415684308391,0.13247759249636043,0.31733333333333336,0.29500000000000004,0.202,0.271,0.14266666666666666,0.165,0.258,0.189
resnet101,CNN,n03887697,paper_towel,0.84,0.92,0.3506666666666667,0.5709333333333333,0.4893333333333333,0.5825396825396825,0.6493333333333333,1.8551450197696786,-0.09373333333333334,0.542804722290457,0.2262918049086462,0.6066666666666667,0.567,0.44999999999999996,0.363,0.23333333333333334,0.273,0.39,0.477
resnet101,CNN,n07860988,dough,0.54,0.78,0.2336,0.46186666666666665,0.3064,0.5674074074074074,0.7664,1.1616139660574174,-0.05613333333333335,0.3452283061796333,0.13787455394741413,0.3773333333333334,0.3350000000000001,0.20400000000000001,0.32700000000000007,0.16266666666666665,0.205,0.336,0.213
resnet101,CNN,n01697457,African_crocodile,0.86,0.94,0.3744,0.5437333333333333,0.4856,0.5646511627906976,0.6255999999999999,1.840991324795959,-0.0988,0.6283612750563771,0.2615824414022276,0.6306666666666667,0.619,0.28800000000000003,0.441,0.22933333333333333,0.241,0.572,0.419
resnet101,CNN,n04041544,radio,0.72,1.0,0.3141333333333333,0.6317333333333334,0.40586666666666665,0.5637037037037037,0.6858666666666666,1.5387088392858044,-0.0808,0.49926806075498464,0.1970993797075032,0.45599999999999996,0.5349999999999999,0.246,0.39899999999999997,0.264,0.185,0.474,0.321
