wnid,CNN,ViT,diff,name
n01440764,0.25165287628053584,0.12106087470449167,-0.13059200157604417,tench
n01443537,0.30791568163908595,0.18452975639839653,-0.12338592524068942,goldfish
n01484850,0.2563768115942029,0.2014617940199335,-0.05491501757426939,great_white_shark
n01491361,0.384401461422738,0.29416301855326243,-0.09023844286947558,tiger_shark
n01494475,0.2820207626683113,0.24863636363636363,-0.03338439903194765,hammerhead
n01496331,0.36776340232948285,0.29084126984126984,-0.076922132488213,electric_ray
n01498041,0.4112515493095204,0.41045454545454546,-0.0007970038549749425,stingray
n01514668,0.2291130044071221,0.14373983739837393,-0.08537316700874817,cock
n01514859,0.3100643123743899,0.2629152148664343,-0.047149097507955595,hen
n01518878,0.20035555555555554,0.10721088435374147,-0.09314467120181406,ostrich
n01530575,0.25901300236406616,0.1478550724637681,-0.11115792990029805,brambling
n01531178,0.2130666666666667,0.12911564625850336,-0.08395102040816335,goldfinch
n01532829,0.30657052154195014,0.1795586297760211,-0.12701189176592903,house_finch
n01534433,0.24586666666666668,0.1573768707482993,-0.08848979591836736,junco
n01537544,0.16815996847911738,0.056999691643539914,-0.11116027683557747,indigo_bunting
n01558993,0.2074527588813303,0.1253073286052009,-0.08214543027612939,robin
n01560419,0.2635061728395062,0.1363915343915344,-0.12711463844797183,bulbul
n01580077,0.21425925925925923,0.09332716620413198,-0.12093209305512725,jay
n01582220,0.27166666666666667,0.19254629629629633,-0.07912037037037034,magpie
n01592084,0.28026666666666666,0.12680555555555553,-0.15346111111111113,chickadee
n01601694,0.2591046698872786,0.15262626262626267,-0.10647840726101593,water_ouzel
n01608432,0.29216161616161623,0.17706577974870658,-0.11509583641290966,kite
n01614925,0.20997732426303853,0.12222222222222218,-0.08775510204081635,bald_eagle
n01616318,0.3189444444444444,0.25555555555555554,-0.06338888888888888,vulture
n01622779,0.179901738473167,0.11768707482993199,-0.062214663643235024,great_grey_owl
n01629819,0.2376039304610733,0.15198757763975157,-0.08561635282132174,European_fire_salamander
n01631663,0.24105263157894732,0.11209709709709709,-0.12895553448185024,eft
n01632458,0.31601851851851853,0.22711111111111115,-0.08890740740740738,spotted_salamander
