wnid,name,rel_drop_mean,rmce_mean,acc_clean_mean
n03710721,maillot,-0.0467415961140493,-0.061343309912665206,0.3666666666666667
n04152593,screen,0.025733435197122376,0.013626486955877605,0.21333333333333335
n01773549,barn_spider,0.03184321549017836,0.054677264141977794,0.52
n11939491,daisy,0.0795004704463781,0.30241323843447154,0.9866666666666667
n01795545,black_grouse,0.08578814855325662,0.29399688714103356,0.9133333333333334
n11879895,rapeseed,0.08653324045048183,0.342684038424747,0.9866666666666667
n03888257,parachute,0.09217298320754652,0.33778644972196137,0.9533333333333333
n02497673,Madagascar_cat,0.09383208983986722,0.24548413104808411,0.6666666666666666
n12057211,yellow_lady's_slipper,0.09465056136275647,0.34875866921548426,1.0
n02415577,bighorn,0.0996312380052456,0.2897472006755523,0.7133333333333334
n01776313,tick,0.10508989880935589,0.3196493072713703,0.7733333333333334
n01820546,lorikeet,0.10634814297898736,0.3978466165284593,1.0
n03590841,jack-o'-lantern,0.11544805927949979,0.4151081295663606,0.9666666666666667
n01843065,jacamar,0.11574517594346038,0.4064054430900416,0.94
n02509815,lesser_panda,0.1184648448478235,0.4098517751305329,0.94
n03841143,odometer,0.11989923427849854,0.4566674022383335,0.9866666666666667
n03218198,dogsled,0.1225018681428367,0.4229281154076367,0.9
n01860187,black_swan,0.12399693442998572,0.4551000179637456,0.98
n02013706,limpkin,0.12426991869918701,0.45716762592998544,0.9866666666666667
n02965783,car_mirror,0.1251372703040835,0.45373488006961793,0.9266666666666667
n02606052,rock_beauty,0.12748000944568194,0.4581834655599382,0.9666666666666667
n01537544,indigo_bunting,0.12789227372046946,0.46165199230954296,0.9533333333333333
n02422106,hartebeest,0.13030764685315133,0.46332120655053677,0.9466666666666667
n07730033,cardoon,0.13518539429718548,0.4880882202535883,0.9466666666666667
n04562935,water_tower,0.13539642368225593,0.504302870333614,0.96
n02391049,zebra,0.13711963622721565,0.5156419063335435,0.96
n02006656,spoonbill,0.13896893851283243,0.5269642169878728,1.0
n02279972,monarch,0.13974757118374134,0.5190484339546103,0.9533333333333333
n01828970,bee_eater,0.1402074386551641,0.5244245932442007,0.98
n02793495,barn,0.14085721827385458,0.515995058544219,0.9333333333333332
n01855032,red-breasted_merganser,0.14511048840836074,0.5202059427485856,0.9533333333333333
n02123597,Siamese_cat,0.14683179577052896,0.5331143443671781,0.96
n02494079,squirrel_monkey,0.14690330894028136,0.4668933191631786,0.7999999999999999
n13044778,earthstar,0.14893234292788612,0.5607434338500502,1.0
n02116738,African_hunting_dog,0.14967572936064555,0.5687923060943879,1.0
n01818515,macaw,0.1499354798114708,0.5581667629284618,0.98
n03733281,maze,0.15127300294030105,0.5148896895752392,0.88
n01622779,great_grey_owl,0.155007030745259,0.5901539121330107,0.98
n02028035,redshank,0.15554873755900903,0.5621484876274591,0.94
n02165456,ladybug,0.15747459691985322,0.5562702479134978,0.9199999999999999
n01580077,jay,0.15955344774775812,0.5769617899965528,0.9533333333333333
n02025239,ruddy_turnstone,0.1597702018434255,0.6095501612601247,1.0
n03733131,maypole,0.16252331364519784,0.6228320594062214,0.9933333333333333
n01518878,ostrich,0.16304634597938703,0.6177336219570208,0.9933333333333333
n02317335,starfish,0.16436775690203995,0.5835158083917275,0.9066666666666667
n01843383,toucan,0.1647059708339914,0.5870784046409027,0.9333333333333332
n02281406,sulphur_butterfly,0.1652738789251544,0.6090072021957275,0.9533333333333333
n03447721,gong,0.16664307772645828,0.5314588672924961,0.8333333333333334
n02017213,European_gallinule,0.1667822560779186,0.6241849065561965,0.98
n02002556,white_stork,0.16798439241917507,0.5903463393492617,0.9133333333333334
n02701002,ambulance,0.1693255315114087,0.6115146236530732,0.9533333333333333
n03544143,hourglass,0.17000011872113588,0.6305975789663921,0.98
n01558993,robin,0.1709898125045908,0.6292634463817625,0.9666666666666667
n01930112,nematode,0.17167663642926012,0.6171577447366247,0.9333333333333332
n02165105,tiger_beetle,0.1728044951902058,0.6274646502449288,0.94
n02489166,proboscis_monkey,0.17441692236169223,0.6525966955508923,1.0
n01614925,bald_eagle,0.17467463825105137,0.6443459263755565,0.9733333333333333
n04153751,screw,0.1747072781135186,0.6434309284952503,0.9466666666666667
n04086273,revolver,0.17483296575658214,0.6214204173719841,0.9133333333333334
n02037110,oystercatcher,0.1762648127591343,0.6612033437674664,0.9733333333333333
n02086646,Blenheim_spaniel,0.17670786235734467,0.6357983645700576,0.9466666666666667
n01531178,goldfinch,0.17726369777499273,0.6776804684908854,0.9933333333333333
