para,spearman_rho,spearman_p,jaccard,wspolne_podatne,odds_ratio,fisher_p
resnet101 – resnet152,0.9225293970281608,0.0,0.6949152542372882,164,96.67901234567901,3.86239001754889e-114
resnet101 – resnet50,0.8934626251309427,0.0,0.6129032258064516,152,49.611111111111114,3.1836237805266455e-92
resnet101 – vit_b_16,0.8721579706805098,3.89575567453e-312,0.5748031496062992,146,37.351165980795614,1.8336369081854848e-82
resnet101 – vit_b_32,0.8521889936961473,5.37292609286627e-283,0.5151515151515151,136,24.4375,9.934464522466322e-68
resnet152 – resnet50,0.9024826033975932,0.0,0.639344262295082,156,60.917355371900825,3.746270920322037e-99
resnet152 – vit_b_16,0.8823521124695639,0.0,0.6129032258064516,152,49.611111111111114,3.1836237805266455e-92
resnet152 – vit_b_32,0.8581975080378728,2.7265654430549087e-291,0.5686274509803921,145,35.710743801652896,6.610319363249635e-81
resnet50 – vit_b_16,0.8472466801276245,1.9113766157490157e-276,0.5810276679841897,147,39.09184763260947,4.863370304537461e-84
resnet50 – vit_b_32,0.8288423861702494,5.94668290376607e-254,0.5267175572519084,138,26.494276795005202,1.565470092414713e-70
vit_b_16 – vit_b_32,0.8878020962405365,0.0,0.5748031496062992,146,37.351165980795614,1.8336369081854848e-82
