wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.08575185388326645,0.0,10
n01443537,0.13262279331684113,0.0,10
n01484850,0.10864508152008057,0.2,10
n01491361,0.09402908384799957,0.2,10
n01494475,0.11998511850833893,0.0,10
n01496331,0.1379651576280594,0.1,10
n01498041,0.10113374888896942,0.0,10
n01514668,0.09560083597898483,0.0,10
n01514859,0.0796632468700409,0.1,10
n01518878,0.11159148067235947,0.0,10
n01530575,0.10837461799383163,0.1,10
n01531178,0.0649070143699646,0.0,10
n01532829,0.08233533054590225,0.0,10
n01534433,0.07098020613193512,0.1,10
n01537544,0.04616159945726395,0.0,10
n01558993,0.035796958953142166,0.0,10
n01560419,0.06650928407907486,0.0,10
n01580077,0.09345513582229614,0.0,10
n01582220,0.1593308448791504,0.3,10
n01592084,0.09032471477985382,0.0,10
n01601694,0.09411658346652985,0.0,10
n01608432,0.13709238171577454,0.0,10
n01614925,0.08862580358982086,0.0,10
n01616318,0.11737682670354843,0.1,10
n01622779,0.1352863609790802,0.0,10
n01629819,0.06778953969478607,0.0,10
n01630670,0.10487659275531769,0.1,10
n01631663,0.11717800796031952,0.0,10
n01632458,0.08874627947807312,0.0,10
n01632777,0.12874525785446167,0.0,10
n01641577,0.12746456265449524,0.1,10
n01644373,0.11699278652667999,0.1,10
n01644900,0.12774160504341125,0.0,10
n01664065,0.10486042499542236,0.0,10
n01665541,0.1786586344242096,0.4,10
n01667114,0.1694353073835373,0.1,10
n01667778,0.18779635429382324,0.3,10
n01669191,0.15153400599956512,0.2,10
n01675722,0.10068581998348236,0.0,10
n01677366,0.08404208719730377,0.0,10
n01682714,0.10610117018222809,0.0,10
n01685808,0.07104311883449554,0.0,10
n01687978,0.11162225902080536,0.2,10
n01688243,0.16164565086364746,0.1,10
n01689811,0.11143998801708221,0.3,10
n01692333,0.20023031532764435,0.2,10
n01693334,0.09932759404182434,0.2,10
n01694178,0.10320010036230087,0.0,10
n01695060,0.06326138973236084,0.0,10
n01697457,0.11536204814910889,0.0,10
n01698640,0.15033093094825745,0.3,10
n01704323,0.13774257898330688,0.0,10
n01728572,0.08136433362960815,0.1,10
n01728920,0.14074364304542542,0.2,10
n01729322,0.14425180852413177,0.2,10
n01729977,0.1191868931055069,0.3,10
n01734418,0.13561677932739258,0.1,10
n01735189,0.10881593078374863,0.2,10
n01737021,0.1419937163591385,0.0,10
n01739381,0.15676242113113403,0.2,10
n01740131,0.12391479313373566,0.3,10
n01742172,0.12644314765930176,0.2,10
n01744401,0.14518174529075623,0.0,10
n01748264,0.11066494137048721,0.0,10
n01749939,0.13022518157958984,0.2,10
n01751748,0.10938390344381332,0.2,10
n01753488,0.12686623632907867,0.1,10
n01755581,0.19204215705394745,0.1,10
n01756291,0.12811800837516785,0.4,10
n01768244,0.1517004519701004,0.1,10
n01770081,0.12079453468322754,0.1,10
n01770393,0.0896395742893219,0.0,10
n01773157,0.07404676824808121,0.0,10
n01773549,0.1572985202074051,0.3,10
n01773797,0.044736504554748535,0.1,10
n01774384,0.16628508269786835,0.0,10
n01774750,0.12922163307666779,0.2,10
n01775062,0.10146186500787735,0.0,10
n01776313,0.11496920883655548,0.0,10
n01784675,0.12689003348350525,0.0,10
n01795545,0.13831785321235657,0.1,10
n01796340,0.13443435728549957,0.3,10
n01797886,0.1430952250957489,0.0,10
n01798484,0.14664115011692047,0.1,10
n01806143,0.08143005520105362,0.0,10
n01806567,0.08480300009250641,0.0,10
n01807496,0.08605802059173584,0.0,10
n01817953,0.15367893874645233,0.1,10
n01818515,0.06815055757761002,0.0,10
n01819313,0.15437772870063782,0.1,10
n01820546,0.068545863032341,0.0,10
n01824575,0.1404770463705063,0.2,10
n01828970,0.068533755838871,0.0,10
n01829413,0.1377761960029602,0.2,10
n01833805,0.08328889310359955,0.1,10
n01843065,0.07639707624912262,0.0,10
n01843383,0.11262357234954834,0.1,10
n01847000,0.10713406652212143,0.0,10
n01855032,0.0526796355843544,0.0,10
n01855672,0.11040829122066498,0.1,10
n01860187,0.09478019177913666,0.0,10
n01871265,0.08017922937870026,0.2,10
n01872401,0.09783561527729034,0.0,10
n01873310,0.2088506519794464,0.2,10
n01877812,0.12355252355337143,0.1,10
n01882714,0.10737697035074234,0.2,10
n01883070,0.11112804710865021,0.1,10
n01910747,0.09613572061061859,0.2,10
n01914609,0.11158649623394012,0.0,10
n01917289,0.046620626002550125,0.0,10
n01924916,0.11582188308238983,0.2,10
n01930112,0.17262601852416992,0.3,10
n01943899,0.18631666898727417,0.0,10
n01944390,0.13751618564128876,0.0,10
n01945685,0.16751892864704132,0.1,10
n01950731,0.13652408123016357,0.1,10
n01955084,0.13436806201934814,0.2,10
n01968897,0.11390890181064606,0.1,10
n01978287,0.09471334517002106,0.0,10
n01978455,0.16660591959953308,0.1,10
n01980166,0.12653560936450958,0.1,10
n01981276,0.10435037314891815,0.1,10
n01983481,0.11989972740411758,0.0,10
n01984695,0.12510953843593597,0.0,10
n01985128,0.1100625991821289,0.1,10
n01986214,0.11677537113428116,0.1,10
n01990800,0.13474123179912567,0.1,10
n02002556,0.06873778998851776,0.0,10
n02002724,0.09683628380298615,0.0,10
n02006656,0.05833498388528824,0.0,10
n02007558,0.07463832199573517,0.0,10
n02009229,0.07097631692886353,0.1,10
n02009912,0.09724849462509155,0.0,10
n02011460,0.08721581101417542,0.0,10
n02012849,0.10420119762420654,0.2,10
n02013706,0.04522183537483215,0.0,10
n02017213,0.05206422135233879,0.0,10
n02018207,0.09119092673063278,0.0,10
n02018795,0.0677075907588005,0.0,10
n02025239,0.090378537774086,0.0,10
n02027492,0.0986824780702591,0.0,10
n02028035,0.05673658847808838,0.0,10
n02033041,0.05237803980708122,0.0,10
n02037110,0.07571320235729218,0.1,10
n02051845,0.06022622063755989,0.0,10
n02056570,0.09680953621864319,0.1,10
n02058221,0.12233831733465195,0.0,10
n02066245,0.15422017872333527,0.2,10
n02071294,0.1238224059343338,0.2,10
n02074367,0.1205078735947609,0.0,10
n02077923,0.17833539843559265,0.2,10
n02085620,0.10580632835626602,0.0,10
n02085782,0.0984615683555603,0.0,10
n02085936,0.15680155158042908,0.0,10
n02086079,0.12057869136333466,0.1,10
n02086240,0.10193727165460587,0.2,10
n02086646,0.08191784471273422,0.0,10
n02086910,0.08060579746961594,0.0,10
n02087046,0.12063954025506973,0.3,10
n02087394,0.097635917365551,0.3,10
n02088094,0.10197252035140991,0.1,10
n02088238,0.09771879017353058,0.2,10
n02088364,0.09340952336788177,0.2,10
n02088466,0.1616089642047882,0.5,10
n02088632,0.0943007618188858,0.0,10
n02089078,0.09878267347812653,0.2,10
n02089867,0.12643921375274658,0.2,10
n02089973,0.10228321701288223,0.1,10
n02090379,0.0883878618478775,0.0,10
n02090622,0.15167304873466492,0.1,10
n02090721,0.11980459839105606,0.2,10
n02091032,0.09473995119333267,0.1,10
n02091134,0.0877276062965393,0.1,10
n02091244,0.10046257823705673,0.2,10
n02091467,0.12990519404411316,0.1,10
n02091635,0.08834026008844376,0.2,10
n02091831,0.09225678443908691,0.1,10
n02092002,0.10634467750787735,0.2,10
n02092339,0.08120698481798172,0.0,10
n02093256,0.11669117212295532,0.2,10
n02093428,0.11241073906421661,0.0,10
n02093647,0.11716856807470322,0.0,10
n02093754,0.11550851911306381,0.1,10
n02093859,0.12595267593860626,0.2,10
n02093991,0.08545627444982529,0.1,10
n02094114,0.10461060702800751,0.2,10
n02094258,0.109413743019104,0.2,10
n02094433,0.12097151577472687,0.0,10
n02095314,0.0971827283501625,0.2,10
n02095570,0.09742428362369537,0.1,10
n02095889,0.12272395938634872,0.0,10
n02096051,0.09556519240140915,0.2,10
n02096177,0.12182283401489258,0.2,10
n02096294,0.07774020731449127,0.2,10
n02096437,0.12773017585277557,0.2,10
n02096585,0.07881516963243484,0.0,10
n02097047,0.11663313210010529,0.1,10
n02097130,0.1184789165854454,0.0,10
n02097209,0.10199358314275742,0.0,10
n02097298,0.12794765830039978,0.3,10
n02097474,0.10963662713766098,0.1,10
n02097658,0.18732859194278717,0.7,10
n02098105,0.10966978967189789,0.2,10
n02098286,0.15920761227607727,0.2,10
n02098413,0.10770001262426376,0.0,10
n02099267,0.0906469076871872,0.0,10
n02099429,0.12926723062992096,0.0,10
n02099601,0.08147593587636948,0.0,10
n02099712,0.09682849049568176,0.1,10
n02099849,0.1222093254327774,0.0,10
n02100236,0.13970403373241425,0.2,10
n02100583,0.06345536559820175,0.1,10
n02100735,0.13377034664154053,0.2,10
n02100877,0.07853347808122635,0.0,10
n02101006,0.17984899878501892,0.3,10
n02101388,0.09916967898607254,0.0,10
n02101556,0.09354487806558609,0.0,10
n02102040,0.1366780549287796,0.2,10
n02102177,0.0920061320066452,0.0,10
n02102318,0.10099796205759048,0.1,10
n02102480,0.09795142710208893,0.2,10
n02102973,0.11883779615163803,0.1,10
n02104029,0.10762514919042587,0.0,10
n02104365,0.1283189207315445,0.1,10
n02105056,0.1356653869152069,0.0,10
n02105162,0.11370499432086945,0.2,10
n02105251,0.06750884652137756,0.1,10
n02105412,0.09814310818910599,0.1,10
n02105505,0.09860174357891083,0.2,10
n02105641,0.12868085503578186,0.2,10
n02105855,0.08568605035543442,0.2,10
n02106030,0.06799697875976562,0.0,10
n02106166,0.1293042004108429,0.0,10
n02106382,0.09384193271398544,0.0,10
n02106550,0.09092752635478973,0.0,10
n02106662,0.10265283286571503,0.1,10
n02107142,0.10482144355773926,0.2,10
n02107312,0.10036681592464447,0.3,10
n02107574,0.1069510355591774,0.0,10
n02107683,0.1113075464963913,0.1,10
n02107908,0.1250101625919342,0.6,10
n02108000,0.11728806793689728,0.3,10
n02108089,0.12241218239068985,0.1,10
n02108422,0.09384067356586456,0.1,10
n02108551,0.11399239301681519,0.1,10
n02108915,0.11721806228160858,0.0,10
n02109047,0.12402579933404922,0.3,10
n02109525,0.09940720349550247,0.1,10
n02109961,0.10734882205724716,0.0,10
n02110063,0.09955783188343048,0.2,10
n02110185,0.14564059674739838,0.3,10
n02110341,0.09639673680067062,0.0,10
n02110627,0.14080539345741272,0.1,10
n02110806,0.09442155063152313,0.0,10
n02110958,0.1251278817653656,0.2,10
n02111129,0.11391552537679672,0.2,10
n02111277,0.11069945991039276,0.1,10
n02111500,0.13331469893455505,0.2,10
n02111889,0.1332148015499115,0.1,10
n02112018,0.1476878672838211,0.0,10
n02112137,0.09174274653196335,0.0,10
n02112350,0.123391292989254,0.1,10
n02112706,0.10609259456396103,0.2,10
n02113023,0.11711283773183823,0.1,10
n02113186,0.12672309577465057,0.1,10
n02113624,0.13624010980129242,0.1,10
n02113712,0.08115047961473465,0.3,10
n02113799,0.12472238391637802,0.0,10
n02113978,0.1047208160161972,0.1,10
n02114367,0.1202412024140358,0.2,10
n02114548,0.10877488553524017,0.1,10
n02114712,0.12783949077129364,0.4,10
n02114855,0.10539903491735458,0.1,10
n02115641,0.09337293356657028,0.0,10
n02115913,0.10125331580638885,0.0,10
n02116738,0.09212348610162735,0.0,10
n02117135,0.12514540553092957,0.0,10
n02119022,0.1238931268453598,0.1,10
n02119789,0.14814892411231995,0.3,10
n02120079,0.16799135506153107,0.1,10
n02120505,0.11782467365264893,0.1,10
n02123045,0.15794916450977325,0.1,10
n02123159,0.09115450084209442,0.1,10
n02123394,0.14066115021705627,0.0,10
n02123597,0.14484478533267975,0.0,10
n02124075,0.15463998913764954,0.2,10
n02125311,0.1200665831565857,0.0,10
n02127052,0.1538424789905548,0.1,10
n02128385,0.11919249594211578,0.1,10
n02128757,0.10165077447891235,0.0,10
n02128925,0.09344446659088135,0.4,10
n02129165,0.17694862186908722,0.1,10
n02129604,0.14390698075294495,0.0,10
n02130308,0.059227991849184036,0.0,10
n02132136,0.16206887364387512,0.2,10
n02133161,0.13296639919281006,0.0,10
n02134084,0.23954196274280548,0.1,10
n02134418,0.15021561086177826,0.3,10
n02137549,0.1455353945493698,0.0,10
n02138441,0.13480797410011292,0.0,10
n02165105,0.06678714603185654,0.0,10
n02165456,0.11050298064947128,0.0,10
n02167151,0.11709823459386826,0.2,10
n02168699,0.12145385891199112,0.0,10
n02169497,0.06513435393571854,0.0,10
n02172182,0.1449628323316574,0.0,10
n02174001,0.09818167984485626,0.0,10
n02177972,0.10337154567241669,0.1,10
n02190166,0.10066089779138565,0.0,10
n02206856,0.10782091319561005,0.1,10
n02219486,0.11779073625802994,0.0,10
n02226429,0.10293255001306534,0.0,10
n02229544,0.12273766845464706,0.2,10
n02231487,0.13516291975975037,0.0,10
n02233338,0.1511739194393158,0.0,10
n02236044,0.1037418469786644,0.0,10
n02256656,0.09453165531158447,0.0,10
n02259212,0.07189924269914627,0.0,10
n02264363,0.1207413300871849,0.0,10
n02268443,0.08594827353954315,0.1,10
n02268853,0.05843609571456909,0.0,10
n02276258,0.08789586275815964,0.1,10
n02277742,0.050307877361774445,0.0,10
n02279972,0.05664762109518051,0.0,10
n02280649,0.1140681654214859,0.1,10
n02281406,0.054980020970106125,0.0,10
n02281787,0.09374801069498062,0.1,10
n02317335,0.08695724606513977,0.0,10
n02319095,0.15066687762737274,0.1,10
n02321529,0.1445290595293045,0.1,10
n02325366,0.12450513988733292,0.2,10
n02326432,0.07303223758935928,0.2,10
n02328150,0.1460944414138794,0.1,10
n02342885,0.10410676896572113,0.0,10
n02346627,0.11876697838306427,0.0,10
n02356798,0.09989362210035324,0.0,10
n02361337,0.093907430768013,0.0,10
n02363005,0.15298648178577423,0.0,10
n02364673,0.12676364183425903,0.0,10
n02389026,0.09504346549510956,0.0,10
n02391049,0.08924664556980133,0.0,10
n02395406,0.1433151811361313,0.1,10
n02396427,0.11390489339828491,0.2,10
n02397096,0.13938306272029877,0.1,10
n02398521,0.1053178682923317,0.0,10
n02403003,0.12857215106487274,0.1,10
n02408429,0.11234840005636215,0.0,10
