wnid,mean_drift,spillover_rate,n_imgs,corruption,severity
n01440764,0.2259230315685272,0.1,10,gaussian_noise,1
n01443537,0.3417010307312011,0.1,10,gaussian_noise,1
n01484850,0.228337362408638,0.4,10,gaussian_noise,1
n01491361,0.1991885602474212,0.3,10,gaussian_noise,1
n01494475,0.2437593191862106,0.0,10,gaussian_noise,1
n01496331,0.2132045328617096,0.3,10,gaussian_noise,1
n01498041,0.1849800646305084,0.1,10,gaussian_noise,1
n01514668,0.1318005919456482,0.1,10,gaussian_noise,1
n01514859,0.1331988424062729,0.0,10,gaussian_noise,1
n01518878,0.1013091579079628,0.0,10,gaussian_noise,1
n01530575,0.1840839684009552,0.0,10,gaussian_noise,1
n01531178,0.121817909181118,0.0,10,gaussian_noise,1
n01532829,0.2181084156036377,0.2,10,gaussian_noise,1
n01534433,0.1342390328645706,0.0,10,gaussian_noise,1
n01537544,0.084789790213108,0.0,10,gaussian_noise,1
n01558993,0.081939622759819,0.1,10,gaussian_noise,1
n01560419,0.144060805439949,0.0,10,gaussian_noise,1
n01580077,0.1322982311248779,0.0,10,gaussian_noise,1
n01582220,0.1243981122970581,0.0,10,gaussian_noise,1
n01592084,0.1775489598512649,0.1,10,gaussian_noise,1
n01601694,0.1674704849720001,0.1,10,gaussian_noise,1
n01608432,0.2262119799852371,0.2,10,gaussian_noise,1
n01614925,0.1545637845993042,0.1,10,gaussian_noise,1
n01616318,0.1684421598911285,0.1,10,gaussian_noise,1
n01622779,0.1854469329118728,0.0,10,gaussian_noise,1
n01629819,0.07075135409832,0.0,10,gaussian_noise,1
n01630670,0.1740240901708603,0.2,10,gaussian_noise,1
n01631663,0.1019467338919639,0.0,10,gaussian_noise,1
n01632458,0.1839504092931747,0.0,10,gaussian_noise,1
n01632777,0.3201312720775604,0.3,10,gaussian_noise,1
n01641577,0.2057220935821533,0.0,10,gaussian_noise,1
n01644373,0.1703263968229293,0.1,10,gaussian_noise,1
