wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.15228235721588135,0.0,10
n01443537,0.29904693365097046,0.2,10
n01484850,0.16095468401908875,0.4,10
n01491361,0.13889667391777039,0.3,10
n01494475,0.1528167426586151,0.0,10
n01496331,0.19319385290145874,0.2,10
n01498041,0.14954669773578644,0.0,10
n01514668,0.11749555170536041,0.4,10
n01514859,0.10982291400432587,0.0,10
n01518878,0.09785518795251846,0.0,10
n01530575,0.14246904850006104,0.1,10
n01531178,0.15444862842559814,0.0,10
n01532829,0.13920436799526215,0.1,10
n01534433,0.07086175680160522,0.0,10
n01537544,0.16469988226890564,0.1,10
n01558993,0.06325017660856247,0.1,10
n01560419,0.09010179340839386,0.0,10
n01580077,0.10897932946681976,0.1,10
n01582220,0.12041187286376953,0.1,10
n01592084,0.06534907966852188,0.0,10
n01601694,0.13887102901935577,0.0,10
n01608432,0.15862900018692017,0.1,10
n01614925,0.0743161290884018,0.0,10
n01616318,0.15869346261024475,0.0,10
n01622779,0.07374238967895508,0.0,10
n01629819,0.10918037593364716,0.0,10
n01630670,0.1573929339647293,0.0,10
n01631663,0.12407024204730988,0.0,10
n01632458,0.13067567348480225,0.1,10
n01632777,0.21524927020072937,0.1,10
n01641577,0.15803512930870056,0.0,10
n01644373,0.22892281413078308,0.1,10
n01644900,0.21956999599933624,0.0,10
n01664065,0.13038572669029236,0.0,10
n01665541,0.12719616293907166,0.2,10
n01667114,0.14804521203041077,0.1,10
n01667778,0.184898242354393,0.0,10
n01669191,0.13681769371032715,0.1,10
n01675722,0.19584083557128906,0.1,10
n01677366,0.1114039272069931,0.0,10
n01682714,0.26133638620376587,0.0,10
n01685808,0.12923243641853333,0.0,10
n01687978,0.128004789352417,0.2,10
n01688243,0.1916733980178833,0.0,10
n01689811,0.18887540698051453,0.3,10
n01692333,0.12201907485723495,0.1,10
n01693334,0.2389572560787201,0.0,10
n01694178,0.13993823528289795,0.0,10
n01695060,0.06759414821863174,0.0,10
n01697457,0.20509035885334015,0.2,10
n01698640,0.19580009579658508,0.3,10
n01704323,0.1618061065673828,0.0,10
n01728572,0.14223149418830872,0.2,10
n01728920,0.1714715212583542,0.1,10
n01729322,0.16562458872795105,0.3,10
n01729977,0.2626921534538269,0.3,10
n01734418,0.1299738734960556,0.1,10
n01735189,0.15750931203365326,0.0,10
n01737021,0.20832209289073944,0.0,10
n01739381,0.17956429719924927,0.2,10
n01740131,0.13467608392238617,0.3,10
n01742172,0.13134810328483582,0.3,10
n01744401,0.25168758630752563,0.1,10
n01748264,0.16294117271900177,0.0,10
n01749939,0.18993541598320007,0.1,10
n01751748,0.12261073291301727,0.1,10
n01753488,0.11608584225177765,0.1,10
n01755581,0.11179329454898834,0.0,10
n01756291,0.15388956665992737,0.4,10
n01768244,0.1622011959552765,0.2,10
n01770081,0.1746676117181778,0.2,10
n01770393,0.16844609379768372,0.0,10
n01773157,0.08917469531297684,0.0,10
n01773549,0.12153245508670807,0.1,10
n01773797,0.12200362980365753,0.2,10
n01774384,0.0975584164261818,0.0,10
n01774750,0.11766870319843292,0.2,10
n01775062,0.10732538998126984,0.1,10
n01776313,0.14712616801261902,0.0,10
n01784675,0.20419926941394806,0.1,10
n01795545,0.12070772796869278,0.1,10
n01796340,0.12030868232250214,0.2,10
n01797886,0.13567960262298584,0.0,10
n01798484,0.15847785770893097,0.1,10
n01806143,0.20240876078605652,0.0,10
n01806567,0.0882219672203064,0.0,10
n01807496,0.16527241468429565,0.1,10
n01817953,0.11158724129199982,0.0,10
n01818515,0.1131303682923317,0.0,10
n01819313,0.15500888228416443,0.1,10
n01820546,0.12251536548137665,0.0,10
n01824575,0.2568419873714447,0.4,10
n01828970,0.1945335566997528,0.1,10
n01829413,0.16284143924713135,0.1,10
n01833805,0.1571405529975891,0.3,10
n01843065,0.10330305248498917,0.0,10
n01843383,0.14031074941158295,0.2,10
n01847000,0.11237379163503647,0.0,10
n01855032,0.04563186317682266,0.0,10
n01855672,0.13655932247638702,0.0,10
n01860187,0.10892243683338165,0.1,10
n01871265,0.165511816740036,0.0,10
n01872401,0.08472665399312973,0.0,10
n01873310,0.25015702843666077,0.3,10
n01877812,0.1368027627468109,0.1,10
