wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.2815532088279724,0.0,10
n01443537,0.3143532872200012,0.1,10
n01484850,0.27394920587539673,0.6,10
n01491361,0.24009306728839874,0.3,10
n01494475,0.22438852488994598,0.0,10
n01496331,0.2375408113002777,0.1,10
n01498041,0.3563063144683838,0.2,10
n01514668,0.2600836753845215,0.1,10
n01514859,0.27999359369277954,0.2,10
n01518878,0.30076202750205994,0.1,10
n01530575,0.29969191551208496,0.2,10
n01531178,0.23591522872447968,0.0,10
n01532829,0.34236961603164673,0.3,10
n01534433,0.284353107213974,0.3,10
n01537544,0.1882791370153427,0.1,10
n01558993,0.23627309501171112,0.1,10
n01560419,0.22429946064949036,0.0,10
n01580077,0.23550362884998322,0.0,10
n01582220,0.39710724353790283,0.4,10
n01592084,0.3133999705314636,0.1,10
n01601694,0.32563039660453796,0.3,10
n01608432,0.3383939564228058,0.2,10
n01614925,0.38623449206352234,0.1,10
n01616318,0.41364020109176636,0.2,10
n01622779,0.40348824858665466,0.3,10
n01629819,0.14281408488750458,0.0,10
n01630670,0.19103971123695374,0.1,10
n01631663,0.20032915472984314,0.1,10
n01632458,0.23064494132995605,0.3,10
n01632777,0.24270911514759064,0.1,10
n01641577,0.4152737259864807,0.5,10
n01644373,0.21753127872943878,0.1,10
n01644900,0.36256909370422363,0.1,10
n01664065,0.33002692461013794,0.1,10
n01665541,0.3720396161079407,0.5,10
n01667114,0.3322390615940094,0.3,10
n01667778,0.3562925457954407,0.1,10
n01669191,0.2648962140083313,0.3,10
n01675722,0.38623854517936707,0.2,10
n01677366,0.32362493872642517,0.1,10
n01682714,0.2951526939868927,0.4,10
n01685808,0.2407822161912918,0.0,10
n01687978,0.21032631397247314,0.4,10
n01688243,0.4985567033290863,0.4,10
n01689811,0.4033833146095276,0.3,10
n01692333,0.4174068570137024,0.4,10
n01693334,0.3667159080505371,0.2,10
n01694178,0.24969378113746643,0.0,10
n01695060,0.402362197637558,0.6,10
n01697457,0.5109825134277344,0.6,10
n01698640,0.5638734102249146,0.7,10
n01704323,0.4593910276889801,0.2,10
n01728572,0.3252966105937958,0.3,10
n01728920,0.3014756739139557,0.2,10
n01729322,0.4571927487850189,0.8,10
n01729977,0.35701674222946167,0.7,10
n01734418,0.3435162603855133,0.3,10
n01735189,0.25316429138183594,0.1,10
n01737021,0.4007929861545563,0.2,10
n01739381,0.269286572933197,0.4,10
n01740131,0.31947606801986694,0.2,10
n01742172,0.40483468770980835,0.6,10
n01744401,0.4483502507209778,0.5,10
n01748264,0.3116750419139862,0.3,10
n01749939,0.35986629128456116,0.4,10
n01751748,0.31359416246414185,0.5,10
n01753488,0.25447630882263184,0.1,10
n01755581,0.38473978638648987,0.4,10
n01756291,0.3358011245727539,0.8,10
n01768244,0.48081332445144653,0.4,10
n01770081,0.5056939721107483,0.9,10
n01770393,0.4034958779811859,0.3,10
n01773157,0.22349770367145538,0.0,10
n01773549,0.32743749022483826,0.2,10
n01773797,0.35313349962234497,0.8,10
n01774384,0.22117015719413757,0.0,10
n01774750,0.309762179851532,0.3,10
n01775062,0.2492978572845459,0.3,10
n01776313,0.1416679471731186,0.0,10
n01784675,0.2775627076625824,0.4,10
n01795545,0.3156184256076813,0.0,10
n01796340,0.3729364573955536,0.4,10
n01797886,0.37567272782325745,0.2,10
n01798484,0.42788320779800415,0.3,10
n01806143,0.35733145475387573,0.2,10
n01806567,0.42721837759017944,0.2,10
n01807496,0.32796749472618103,0.0,10
n01817953,0.3938602805137634,0.2,10
n01818515,0.2906455099582672,0.2,10
n01819313,0.38442689180374146,0.4,10
n01820546,0.21534600853919983,0.1,10
n01824575,0.4233676493167877,0.4,10
n01828970,0.29212579131126404,0.3,10
n01829413,0.318025678396225,0.2,10
n01833805,0.21219415962696075,0.3,10
n01843065,0.19769303500652313,0.1,10
n01843383,0.23891320824623108,0.1,10
n01847000,0.403390109539032,0.4,10
n01855032,0.1674216240644455,0.0,10
n01855672,0.3024851083755493,0.2,10
n01860187,0.3045448064804077,0.1,10
n01871265,0.30946898460388184,0.2,10
n01872401,0.4350079894065857,0.2,10
n01873310,0.41221708059310913,0.2,10
n01877812,0.3812836706638336,0.2,10
n01882714,0.38845935463905334,0.4,10
n01883070,0.46824121475219727,0.5,10
n01910747,0.3341584801673889,0.3,10
n01914609,0.3352881968021393,0.0,10
n01917289,0.30520734190940857,0.5,10
n01924916,0.3307529091835022,0.2,10
n01930112,0.148805171251297,0.2,10
n01943899,0.29107704758644104,0.1,10
n01944390,0.31464385986328125,0.1,10
n01945685,0.36857080459594727,0.4,10
n01950731,0.3888188898563385,0.4,10
n01955084,0.35871562361717224,0.3,10
n01968897,0.35015320777893066,0.2,10
n01978287,0.40120214223861694,0.3,10
n01978455,0.45728033781051636,0.4,10
n01980166,0.3160021901130676,0.2,10
n01981276,0.26005619764328003,0.3,10
n01983481,0.27057093381881714,0.5,10
n01984695,0.3826169967651367,0.6,10
n01985128,0.371184378862381,0.3,10
n01986214,0.3482445478439331,0.3,10
n01990800,0.29640230536460876,0.2,10
n02002556,0.25868552923202515,0.1,10
n02002724,0.25056397914886475,0.2,10
n02006656,0.19463633000850677,0.2,10
n02007558,0.2819122076034546,0.2,10
n02009229,0.33350953459739685,0.3,10
n02009912,0.2846654951572418,0.0,10
n02011460,0.4217022955417633,0.2,10
n02012849,0.30732622742652893,0.4,10
n02013706,0.35132336616516113,0.1,10
n02017213,0.183858722448349,0.0,10
n02018207,0.2274675816297531,0.3,10
n02018795,0.35219234228134155,0.3,10
n02025239,0.1856737732887268,0.0,10
n02027492,0.25341540575027466,0.0,10
n02028035,0.2942507863044739,0.2,10
n02033041,0.23391850292682648,0.1,10
n02037110,0.19105716049671173,0.2,10
n02051845,0.33472108840942383,0.2,10
n02056570,0.3785681426525116,0.2,10
n02058221,0.334685742855072,0.1,10
n02066245,0.40983933210372925,0.3,10
n02071294,0.28359144926071167,0.1,10
n02074367,0.23076334595680237,0.0,10
n02077923,0.41148310899734497,0.4,10
n02085620,0.2309105098247528,0.2,10
n02085782,0.18133287131786346,0.0,10
n02085936,0.23221559822559357,0.1,10
n02086079,0.2450525313615799,0.2,10
n02086240,0.21663835644721985,0.0,10
n02086646,0.1790328472852707,0.0,10
n02086910,0.17953714728355408,0.1,10
n02087046,0.22884058952331543,0.1,10
n02087394,0.2694958746433258,0.3,10
n02088094,0.3819583058357239,0.4,10
n02088238,0.251818984746933,0.4,10
n02088364,0.26874518394470215,0.3,10
n02088466,0.24717538058757782,0.6,10
n02088632,0.29247018694877625,0.1,10
n02089078,0.1828664243221283,0.1,10
n02089867,0.2504044473171234,0.4,10
n02089973,0.1725265234708786,0.0,10
n02090379,0.2927718758583069,0.6,10
n02090622,0.2612987756729126,0.3,10
n02090721,0.317984402179718,0.3,10
n02091032,0.28833991289138794,0.2,10
n02091134,0.3388814330101013,0.6,10
n02091244,0.2935468256473541,0.4,10
n02091467,0.29687273502349854,0.3,10
n02091635,0.2244357168674469,0.2,10
n02091831,0.3441489338874817,0.4,10
n02092002,0.32742470502853394,0.2,10
n02092339,0.252864271402359,0.1,10
n02093256,0.3176908791065216,0.5,10
n02093428,0.26010313630104065,0.4,10
n02093647,0.3108401596546173,0.3,10
n02093754,0.3280060291290283,0.4,10
n02093859,0.2804029583930969,0.3,10
n02093991,0.2249690294265747,0.2,10
n02094114,0.21243996918201447,0.1,10
n02094258,0.2171773463487625,0.2,10
n02094433,0.2438289225101471,0.1,10
n02095314,0.24219191074371338,0.1,10
n02095570,0.2823421061038971,0.3,10
n02095889,0.1793605536222458,0.3,10
n02096051,0.25215449929237366,0.2,10
n02096177,0.3132895529270172,0.3,10
n02096294,0.20241260528564453,0.1,10
n02096437,0.16261664032936096,0.0,10
n02096585,0.21650803089141846,0.2,10
n02097047,0.20742568373680115,0.0,10
n02097130,0.2922123968601227,0.2,10
n02097209,0.2291496992111206,0.1,10
n02097298,0.29799550771713257,0.4,10
n02097474,0.23083409667015076,0.0,10
n02097658,0.3171723783016205,0.7,10
n02098105,0.3022631108760834,0.3,10
n02098286,0.3133831024169922,0.1,10
n02098413,0.22238266468048096,0.3,10
n02099267,0.3152461647987366,0.3,10
n02099429,0.2799028754234314,0.4,10
n02099601,0.18398216366767883,0.0,10
n02099712,0.2676863670349121,0.2,10
n02099849,0.38040000200271606,0.2,10
n02100236,0.3074413537979126,0.2,10
n02100583,0.2849419116973877,0.2,10
n02100735,0.2390328198671341,0.2,10
n02100877,0.22957797348499298,0.1,10
n02101006,0.30253463983535767,0.4,10
n02101388,0.23616182804107666,0.1,10
n02101556,0.1623329520225525,0.1,10
n02102040,0.23688197135925293,0.1,10
n02102177,0.1845395565032959,0.2,10
n02102318,0.24055734276771545,0.3,10
n02102480,0.24257998168468475,0.1,10
n02102973,0.2628939747810364,0.1,10
n02104029,0.2313874214887619,0.2,10
n02104365,0.29103559255599976,0.2,10
n02105056,0.26334086060523987,0.2,10
n02105162,0.23180195689201355,0.0,10
n02105251,0.26477181911468506,0.2,10
n02105412,0.24666795134544373,0.4,10
n02105505,0.2629064917564392,0.1,10
n02105641,0.23337027430534363,0.3,10
n02105855,0.16619141399860382,0.5,10
n02106030,0.13845065236091614,0.1,10
n02106166,0.25381213426589966,0.1,10
n02106382,0.22300919890403748,0.1,10
n02106550,0.24380216002464294,0.2,10
n02106662,0.20159335434436798,0.2,10
n02107142,0.25103121995925903,0.1,10
n02107312,0.22086623311042786,0.1,10
n02107574,0.25205302238464355,0.5,10
n02107683,0.22725121676921844,0.2,10
n02107908,0.21777358651161194,0.5,10
n02108000,0.14973554015159607,0.0,10
n02108089,0.30165156722068787,0.1,10
n02108422,0.3454754054546356,0.5,10
n02108551,0.21680688858032227,0.0,10
n02108915,0.24303114414215088,0.4,10
n02109047,0.3303224444389343,0.7,10
n02109525,0.22555236518383026,0.2,10
n02109961,0.25006476044654846,0.4,10
n02110063,0.2768614888191223,0.2,10
n02110185,0.2769576907157898,0.3,10
n02110341,0.30797654390335083,0.0,10
n02110627,0.23623518645763397,0.0,10
n02110806,0.2129189521074295,0.0,10
n02110958,0.33382660150527954,0.4,10
n02111129,0.262012779712677,0.2,10
n02111277,0.28832799196243286,0.5,10
n02111500,0.3081129193305969,0.4,10
n02111889,0.2595784068107605,0.2,10
n02112018,0.2558952867984772,0.4,10
n02112137,0.2543231248855591,0.1,10
n02112350,0.22744198143482208,0.2,10
n02112706,0.2406802624464035,0.4,10
n02113023,0.28289687633514404,0.0,10
n02113186,0.22458907961845398,0.2,10
n02113624,0.2775319218635559,0.3,10
n02113712,0.20323917269706726,0.7,10
n02113799,0.3568372130393982,0.4,10
n02113978,0.27374452352523804,0.0,10
n02114367,0.2785354256629944,0.2,10
n02114548,0.28353768587112427,0.5,10
n02114712,0.1873822808265686,0.5,10
n02114855,0.24823692440986633,0.0,10
n02115641,0.24440202116966248,0.3,10
n02115913,0.2591403126716614,0.1,10
n02116738,0.17742769420146942,0.0,10
n02117135,0.2281998097896576,0.0,10
n02119022,0.2604086399078369,0.1,10
n02119789,0.32561278343200684,0.8,10
n02120079,0.3400249779224396,0.2,10
n02120505,0.2216474562883377,0.1,10
n02123045,0.22914406657218933,0.1,10
n02123159,0.3028532862663269,0.7,10
n02123394,0.2466472089290619,0.1,10
n02123597,0.17032115161418915,0.0,10
n02124075,0.3592762351036072,0.5,10
n02125311,0.29862791299819946,0.2,10
n02127052,0.2670825123786926,0.3,10
n02128385,0.22956280410289764,0.2,10
n02128757,0.19570133090019226,0.2,10
n02128925,0.3879877030849457,0.6,10
n02129165,0.314362108707428,0.4,10
n02129604,0.27052485942840576,0.0,10
n02130308,0.30044272541999817,0.1,10
n02132136,0.23888330161571503,0.0,10
n02133161,0.32201606035232544,0.1,10
n02134084,0.21642248332500458,0.0,10
n02134418,0.23407307267189026,0.2,10
n02137549,0.3877217769622803,0.1,10
n02138441,0.28121423721313477,0.0,10
n02165105,0.24939103424549103,0.2,10
n02165456,0.22847120463848114,0.1,10
n02167151,0.32598209381103516,0.4,10
n02168699,0.4344567358493805,1.0,10
n02169497,0.3025035262107849,0.5,10
n02172182,0.3829989433288574,0.1,10
n02174001,0.36187443137168884,0.3,10
n02177972,0.33771803975105286,0.2,10
n02190166,0.2877928614616394,0.2,10
n02206856,0.34860414266586304,0.4,10
n02219486,0.32220926880836487,0.2,10
n02226429,0.3096715807914734,0.6,10
n02229544,0.36901798844337463,0.1,10
n02231487,0.35747483372688293,0.1,10
n02233338,0.43954142928123474,0.4,10
n02236044,0.3799011707305908,0.4,10
n02256656,0.31904837489128113,0.1,10
n02259212,0.223480224609375,0.3,10
n02264363,0.23846575617790222,0.1,10
n02268443,0.5093817710876465,0.8,10
n02268853,0.2790057063102722,0.2,10
n02276258,0.2882079780101776,0.2,10
n02277742,0.19912071526050568,0.2,10
n02279972,0.20755672454833984,0.1,10
n02280649,0.2520598769187927,0.2,10
n02281406,0.19470813870429993,0.0,10
n02281787,0.29251059889793396,0.1,10
n02317335,0.2762989103794098,0.2,10
n02319095,0.34200185537338257,0.4,10
n02321529,0.3238312900066376,0.2,10
n02325366,0.2194003313779831,0.1,10
n02326432,0.2779720723628998,0.3,10
n02328150,0.27166539430618286,0.1,10
n02342885,0.2770914137363434,0.2,10
n02346627,0.41996902227401733,0.4,10
n02356798,0.26103299856185913,0.2,10
n02361337,0.32763051986694336,0.3,10
n02363005,0.37214213609695435,0.3,10
n02364673,0.3399433493614197,0.1,10
n02389026,0.2836516201496124,0.0,10
n02391049,0.34929797053337097,0.2,10
n02395406,0.4174962043762207,0.3,10
n02396427,0.3168204724788666,0.3,10
n02397096,0.4408871531486511,0.5,10
n02398521,0.40592366456985474,0.2,10
n02403003,0.36797791719436646,0.4,10
n02408429,0.32681313157081604,0.4,10
n02410509,0.37450045347213745,0.3,10
n02412080,0.2956112325191498,0.6,10
n02415577,0.3503466248512268,0.3,10
n02417914,0.40170755982398987,0.2,10
n02422106,0.24024882912635803,0.0,10
n02422699,0.38862577080726624,0.5,10
n02423022,0.17765209078788757,0.0,10
n02437312,0.3900315761566162,0.4,10
n02437616,0.28331103920936584,0.3,10
n02441942,0.19544994831085205,0.1,10
n02442845,0.30985140800476074,0.3,10
n02443114,0.2317618429660797,0.1,10
n02443484,0.3079909682273865,0.1,10
n02444819,0.31121572852134705,0.0,10
n02445715,0.26883620023727417,0.0,10
n02447366,0.24312829971313477,0.2,10
n02454379,0.3322398066520691,0.4,10
n02457408,0.4355875551700592,0.4,10
n02480495,0.31845250725746155,0.0,10
n02480855,0.24564456939697266,0.1,10
n02481823,0.29565152525901794,0.2,10
n02483362,0.23642317950725555,0.2,10
n02483708,0.30418506264686584,0.1,10
n02484975,0.4290265440940857,0.8,10
n02486261,0.1657383292913437,0.3,10
n02486410,0.2867637276649475,0.2,10
n02487347,0.2057259976863861,0.0,10
n02488291,0.22419318556785583,0.0,10
n02488702,0.32373327016830444,0.5,10
n02489166,0.33857160806655884,0.2,10
n02490219,0.27791905403137207,0.1,10
n02492035,0.2652965188026428,0.3,10
n02492660,0.30344924330711365,0.1,10
n02493509,0.3620118498802185,0.4,10
n02493793,0.3239309787750244,0.2,10
n02494079,0.17712266743183136,0.0,10
n02497673,0.2935332953929901,0.3,10
n02500267,0.3624522089958191,0.1,10
n02504013,0.2763310372829437,0.1,10
n02504458,0.35436496138572693,0.2,10
n02509815,0.13082042336463928,0.0,10
n02510455,0.2568376958370209,0.1,10
n02514041,0.33573493361473083,0.2,10
n02526121,0.42077726125717163,0.3,10
n02536864,0.38133662939071655,0.3,10
n02606052,0.15764978528022766,0.0,10
n02607072,0.2965634763240814,0.2,10
n02640242,0.4110516905784607,0.4,10
n02641379,0.43385282158851624,0.6,10
n02643566,0.36175769567489624,0.2,10
n02655020,0.3347128629684448,0.3,10
n02666196,0.33706074953079224,0.1,10
n02667093,0.32741275429725647,0.3,10
n02669723,0.3225560188293457,0.2,10
n02672831,0.35452717542648315,0.1,10
n02676566,0.34052610397338867,0.3,10
n02687172,0.49794715642929077,0.6,10
n02690373,0.39627382159233093,0.2,10
n02692877,0.41842976212501526,0.2,10
n02699494,0.49230194091796875,0.5,10
n02701002,0.1884637326002121,0.0,10
n02704792,0.39707109332084656,0.4,10
n02708093,0.1923246830701828,0.1,10
n02727426,0.47231191396713257,0.3,10
n02730930,0.382018119096756,0.6,10
n02747177,0.4049450755119324,0.4,10
n02749479,0.3773375451564789,0.3,10
n02769748,0.33872324228286743,0.3,10
n02776631,0.38318437337875366,0.7,10
n02777292,0.27453556656837463,0.1,10
n02782093,0.3461001515388489,0.3,10
n02783161,0.22992368042469025,0.2,10
n02786058,0.23350496590137482,0.1,10
n02787622,0.34669071435928345,0.2,10
n02788148,0.3065599799156189,0.2,10
n02790996,0.4030800461769104,0.5,10
n02791124,0.461361825466156,0.4,10
n02791270,0.41670626401901245,0.6,10
n02793495,0.45174068212509155,0.1,10
n02794156,0.24507765471935272,0.5,10
n02795169,0.3295794129371643,0.4,10
n02797295,0.41495832800865173,0.2,10
n02799071,0.28565332293510437,0.3,10
n02802426,0.31713783740997314,0.2,10
n02804414,0.36194154620170593,0.3,10
n02804610,0.31057244539260864,0.3,10
n02807133,0.28097668290138245,0.1,10
n02808304,0.34300583600997925,0.7,10
n02808440,0.40985384583473206,0.8,10
n02814533,0.39507853984832764,0.4,10
n02814860,0.40264225006103516,0.1,10
n02815834,0.4038345217704773,0.2,10
n02817516,0.28026849031448364,0.0,10
n02823428,0.26736292243003845,0.1,10
n02823750,0.33159056305885315,0.1,10
n02825657,0.39129161834716797,0.5,10
n02834397,0.3498166799545288,0.4,10
n02835271,0.41070908308029175,0.5,10
n02837789,0.2881908416748047,0.2,10
n02840245,0.3416869640350342,0.1,10
n02841315,0.2941965162754059,0.2,10
n02843684,0.3213621973991394,0.0,10
n02859443,0.5013262033462524,0.4,10
n02860847,0.39787527918815613,0.2,10
n02865351,0.29295748472213745,0.4,10
n02869837,0.35548126697540283,0.3,10
n02870880,0.33670762181282043,0.2,10
n02871525,0.4114530682563782,0.2,10
n02877765,0.35150352120399475,0.4,10
n02879718,0.4360615611076355,0.5,10
n02883205,0.22020292282104492,0.1,10
n02892201,0.42169371247291565,0.2,10
n02892767,0.27519720792770386,0.2,10
n02894605,0.4488801956176758,0.4,10
n02895154,0.3376571536064148,0.1,10
n02906734,0.44069904088974,0.7,10
n02909870,0.34468743205070496,0.5,10
n02910353,0.3228788673877716,0.2,10
n02916936,0.31589630246162415,0.2,10
n02917067,0.39364486932754517,0.4,10
n02927161,0.3717688024044037,0.1,10
n02930766,0.3298443853855133,0.1,10
n02939185,0.3863324820995331,0.3,10
n02948072,0.30678313970565796,0.2,10
n02950826,0.3923299014568329,0.2,10
n02951358,0.40414541959762573,0.2,10
n02951585,0.31182414293289185,0.1,10
n02963159,0.3418508470058441,0.4,10
n02965783,0.2088145762681961,0.0,10
n02966193,0.5328260064125061,0.4,10
n02966687,0.3786143660545349,0.4,10
n02971356,0.37720200419425964,0.8,10
n02974003,0.2677503824234009,0.0,10
n02977058,0.395728200674057,0.6,10
n02978881,0.29823270440101624,0.3,10
n02979186,0.24321098625659943,0.4,10
n02980441,0.4712117612361908,0.3,10
n02981792,0.37187695503234863,0.5,10
n02988304,0.2216564416885376,0.3,10
n02992211,0.34744057059288025,0.3,10
n02992529,0.19633713364601135,0.2,10
n02999410,0.32246512174606323,0.2,10
n03000134,0.4255392551422119,0.4,10
n03000247,0.4733695387840271,0.7,10
n03000684,0.286406934261322,0.3,10
n03014705,0.39229831099510193,0.2,10
n03016953,0.25307947397232056,0.0,10
n03017168,0.27853769063949585,0.2,10
n03018349,0.3817611634731293,0.4,10
n03026506,0.28348198533058167,0.1,10
n03028079,0.39430636167526245,0.4,10
n03032252,0.4277552664279938,0.4,10
n03041632,0.3463601768016815,0.1,10
n03042490,0.494976282119751,0.4,10
n03045698,0.3244207501411438,0.2,10
n03047690,0.3199734091758728,0.2,10
n03062245,0.2917640805244446,0.4,10
n03063599,0.22108586132526398,0.1,10
n03063689,0.2362225353717804,0.4,10
n03065424,0.3682815134525299,0.1,10
n03075370,0.2861150801181793,0.4,10
n03085013,0.21874181926250458,0.3,10
n03089624,0.39694494009017944,0.1,10
n03095699,0.3724813461303711,0.0,10
n03100240,0.35071510076522827,0.4,10
n03109150,0.3899669945240021,0.4,10
n03110669,0.422346293926239,0.6,10
n03124043,0.40367889404296875,0.3,10
n03124170,0.2637096047401428,0.2,10
n03125729,0.3412315249443054,0.4,10
n03126707,0.41936835646629333,0.2,10
n03127747,0.3132987916469574,0.1,10
n03127925,0.40667885541915894,0.4,10
n03131574,0.3471022844314575,0.0,10
n03133878,0.3185385763645172,0.6,10
n03134739,0.33045512437820435,0.1,10
n03141823,0.37545496225357056,0.6,10
n03146219,0.4274033010005951,0.5,10
n03160309,0.49068936705589294,0.4,10
n03179701,0.3965436816215515,0.1,10
n03180011,0.23640859127044678,0.4,10
n03187595,0.31231850385665894,0.5,10
n03188531,0.3359094560146332,0.3,10
n03196217,0.25433164834976196,0.2,10
n03197337,0.2702617049217224,0.4,10
n03201208,0.4235593378543854,0.2,10
n03207743,0.4800466001033783,0.7,10
n03207941,0.3203045427799225,0.7,10
n03208938,0.2998124957084656,0.2,10
n03216828,0.42739230394363403,0.2,10
n03218198,0.3874463438987732,0.0,10
n03220513,0.3651147782802582,0.4,10
n03223299,0.4820213317871094,0.8,10
n03240683,0.3991766571998596,0.1,10
n03249569,0.3578065037727356,0.2,10
n03250847,0.2884954810142517,0.3,10
n03255030,0.3084624707698822,0.2,10
n03259280,0.3334839642047882,0.7,10
n03271574,0.44180482625961304,0.2,10
n03272010,0.3664626479148865,0.3,10
n03272562,0.30843988060951233,0.2,10
n03290653,0.22731149196624756,0.1,10
n03291819,0.3565479815006256,0.4,10
n03297495,0.16039404273033142,0.2,10
n03314780,0.2560138702392578,0.2,10
n03325584,0.4204913079738617,0.4,10
n03337140,0.36744609475135803,0.3,10
n03344393,0.26115882396698,0.0,10
n03345487,0.3549540936946869,0.1,10
n03347037,0.31147781014442444,0.2,10
n03355925,0.3375019431114197,0.1,10
n03372029,0.3708614408969879,0.4,10
n03376595,0.35069891810417175,0.2,10
n03379051,0.34206923842430115,0.1,10
n03384352,0.3987138569355011,0.3,10
n03388043,0.48937398195266724,0.4,10
n03388183,0.24592964351177216,0.2,10
n03388549,0.3817000389099121,0.4,10
n03393912,0.3825124502182007,0.3,10
n03394916,0.3729371428489685,0.5,10
n03400231,0.28892457485198975,0.1,10
n03404251,0.4722370505332947,0.5,10
n03417042,0.3899613618850708,0.4,10
n03424325,0.30313241481781006,0.3,10
n03425413,0.4247213900089264,0.4,10
n03443371,0.38776591420173645,0.4,10
n03444034,0.36223146319389343,0.1,10
n03445777,0.3344342112541199,0.4,10
n03445924,0.3894616663455963,0.2,10
n03447447,0.22411289811134338,0.1,10
n03447721,0.3028850555419922,0.2,10
n03450230,0.42107295989990234,0.5,10
n03452741,0.34583720564842224,0.2,10
n03457902,0.5003007650375366,0.1,10
n03459775,0.3379800319671631,0.5,10
n03461385,0.4869188368320465,0.4,10
n03467068,0.48970842361450195,0.4,10
n03476684,0.34964078664779663,0.4,10
n03476991,0.26964500546455383,0.8,10
n03478589,0.3704875707626343,0.3,10
n03481172,0.3596486449241638,0.5,10
n03482405,0.44533610343933105,0.4,10
n03483316,0.3034389913082123,0.6,10
n03485407,0.18048188090324402,0.2,10
n03485794,0.4247573912143707,0.3,10
n03492542,0.2630068063735962,0.2,10
n03494278,0.35743045806884766,0.3,10
n03495258,0.4555737376213074,0.4,10
n03496892,0.37341657280921936,0.4,10
n03498962,0.3232453465461731,0.5,10
n03527444,0.3861299753189087,0.1,10
n03529860,0.3246690630912781,0.1,10
n03530642,0.4757762849330902,0.5,10
n03532672,0.35399603843688965,0.0,10
n03534580,0.40706396102905273,0.3,10
n03535780,0.3707250654697418,0.4,10
n03538406,0.4282633364200592,0.4,10
n03544143,0.25129902362823486,0.0,10
n03584254,0.261728435754776,0.1,10
n03584829,0.32395634055137634,0.4,10
n03590841,0.17898298799991608,0.0,10
n03594734,0.3614736497402191,0.2,10
n03594945,0.4516993463039398,0.7,10
n03595614,0.28511732816696167,0.2,10
n03598930,0.48910245299339294,0.7,10
n03599486,0.41011494398117065,0.2,10
n03602883,0.2457362711429596,0.2,10
n03617480,0.4098927974700928,0.5,10
n03623198,0.21428537368774414,0.1,10
n03627232,0.39184123277664185,0.3,10
n03630383,0.2571316659450531,0.1,10
n03633091,0.3468030095100403,0.3,10
n03637318,0.3574008047580719,0.5,10
n03642806,0.25259649753570557,0.4,10
n03649909,0.28987282514572144,0.2,10
n03657121,0.29635581374168396,0.5,10
n03658185,0.31425023078918457,0.1,10
n03661043,0.4164300858974457,0.3,10
n03662601,0.32112136483192444,0.1,10
n03666591,0.23271453380584717,0.2,10
n03670208,0.36925238370895386,0.1,10
n03673027,0.33609622716903687,0.0,10
n03676483,0.3530086874961853,0.5,10
n03680355,0.37509074807167053,0.5,10
n03690938,0.18802586197853088,0.1,10
n03691459,0.30680522322654724,0.4,10
n03692522,0.2533411383628845,0.4,10
n03697007,0.4507531523704529,0.1,10
n03706229,0.3215332627296448,0.3,10
n03709823,0.3138791024684906,0.2,10
n03710193,0.30017632246017456,0.4,10
n03710637,0.3100565969944,0.7,10
n03710721,0.3880416750907898,0.2,10
n03717622,0.47825464606285095,0.8,10
n03720891,0.23928765952587128,0.1,10
n03721384,0.3700610101222992,0.5,10
n03724870,0.3633529543876648,0.2,10
n03729826,0.32071253657341003,0.2,10
n03733131,0.37054771184921265,0.2,10
n03733281,0.4425434470176697,0.1,10
n03733805,0.33059558272361755,0.2,10
n03742115,0.4376789927482605,0.3,10
n03743016,0.46448221802711487,0.3,10
n03759954,0.3008947968482971,0.5,10
n03761084,0.3328601121902466,0.3,10
n03763968,0.34960538148880005,0.3,10
n03764736,0.3707953691482544,0.5,10
n03769881,0.2644452452659607,0.1,10
n03770439,0.42091917991638184,0.2,10
n03770679,0.4015684127807617,0.2,10
n03773504,0.4155949652194977,0.4,10
n03775071,0.305860698223114,0.4,10
n03775546,0.26894518733024597,0.3,10
n03776460,0.4124557375907898,0.3,10
n03777568,0.42260974645614624,0.2,10
n03777754,0.21938610076904297,0.1,10
n03781244,0.4421282410621643,0.1,10
n03782006,0.360166072845459,0.1,10
n03785016,0.3469208776950836,0.0,10
n03786901,0.34142976999282837,0.2,10
n03787032,0.24961745738983154,0.2,10
n03788195,0.38384395837783813,0.0,10
n03788365,0.5101105570793152,0.6,10
n03791053,0.3898653984069824,0.2,10
n03792782,0.4192299246788025,0.1,10
n03792972,0.47218266129493713,0.1,10
n03793489,0.3717525899410248,0.1,10
n03794056,0.33814412355422974,0.1,10
