wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.6928991675376892,0.9,10
n01443537,0.5256314873695374,0.5,10
n01484850,0.5919936895370483,0.6,10
n01491361,0.5994389057159424,0.9,10
n01494475,0.5407601594924927,0.8,10
n01496331,0.6566386222839355,0.9,10
n01498041,0.669696569442749,0.7,10
n01514668,0.6452645063400269,0.9,10
n01514859,0.6779159307479858,0.8,10
n01518878,0.7462742328643799,1.0,10
n01530575,0.6896857023239136,0.9,10
n01531178,0.5156570076942444,0.4,10
n01532829,0.738233208656311,0.9,10
n01534433,0.7822543382644653,0.9,10
n01537544,0.5795398950576782,0.7,10
n01558993,0.681610107421875,0.7,10
n01560419,0.627906084060669,0.7,10
n01580077,0.7373558878898621,1.0,10
n01582220,0.5720261335372925,0.6,10
n01592084,0.8012911081314087,0.9,10
n01601694,0.6983626484870911,0.7,10
n01608432,0.6287123560905457,0.7,10
n01614925,0.5757508873939514,0.5,10
n01616318,0.6969135999679565,0.9,10
n01622779,0.7681293487548828,0.8,10
n01629819,0.3826490044593811,0.1,10
n01630670,0.6601388454437256,0.9,10
n01631663,0.6678265333175659,0.8,10
n01632458,0.5379876494407654,0.6,10
n01632777,0.6958245635032654,0.9,10
n01641577,0.8273460268974304,1.0,10
n01644373,0.6959185600280762,0.9,10
n01644900,0.7465837597846985,0.9,10
n01664065,0.6694246530532837,1.0,10
n01665541,0.748836100101471,1.0,10
n01667114,0.8063558340072632,1.0,10
n01667778,0.752515435218811,0.8,10
n01669191,0.7422478795051575,0.9,10
n01675722,0.7628520131111145,1.0,10
n01677366,0.728731632232666,0.8,10
n01682714,0.7044222354888916,0.9,10
n01685808,0.7602713704109192,1.0,10
n01687978,0.763577401638031,1.0,10
n01688243,0.7672042846679688,1.0,10
n01689811,0.7943236231803894,1.0,10
n01692333,0.6593064069747925,0.7,10
n01693334,0.7285231351852417,0.9,10
n01694178,0.7435470819473267,1.0,10
n01695060,0.8033360242843628,1.0,10
n01697457,0.7904148697853088,1.0,10
n01698640,0.7268160581588745,0.9,10
n01704323,0.6916173696517944,0.9,10
n01728572,0.6906858682632446,1.0,10
n01728920,0.7307533025741577,0.9,10
n01729322,0.7543331980705261,1.0,10
n01729977,0.7568264603614807,1.0,10
n01734418,0.6433090567588806,0.7,10
n01735189,0.6927435994148254,0.6,10
n01737021,0.7335127592086792,1.0,10
n01739381,0.638710618019104,0.8,10
n01740131,0.7335240244865417,1.0,10
n01742172,0.7356704473495483,1.0,10
n01744401,0.49539774656295776,0.4,10
n01748264,0.7560621500015259,0.9,10
n01749939,0.6564580202102661,0.9,10
n01751748,0.5804128646850586,0.7,10
n01753488,0.651534914970398,0.8,10
n01755581,0.7668498158454895,1.0,10
n01756291,0.6933482885360718,1.0,10
n01768244,0.7379215359687805,0.9,10
n01770081,0.6700605154037476,1.0,10
n01770393,0.7711467146873474,0.8,10
n01773157,0.7279793620109558,0.7,10
n01773549,0.7603620290756226,1.0,10
n01773797,0.5658506155014038,0.7,10
n01774384,0.7616867423057556,1.0,10
n01774750,0.8177727460861206,1.0,10
n01775062,0.7948161363601685,1.0,10
n01776313,0.675780177116394,1.0,10
n01784675,0.48149412870407104,0.4,10
n01795545,0.48287200927734375,0.4,10
n01796340,0.6814126372337341,0.6,10
n01797886,0.786675751209259,1.0,10
n01798484,0.6736012697219849,0.8,10
n01806143,0.6984399557113647,0.9,10
n01806567,0.6184292435646057,0.5,10
n01807496,0.6746804714202881,1.0,10
n01817953,0.6729580163955688,0.8,10
n01818515,0.7657321691513062,0.8,10
n01819313,0.5550234317779541,0.7,10
n01820546,0.6190561652183533,0.7,10
n01824575,0.6428579688072205,0.8,10
n01828970,0.6635948419570923,0.6,10
n01829413,0.740871787071228,0.8,10
n01833805,0.694291889667511,0.6,10
n01843065,0.8442829251289368,1.0,10
n01843383,0.7149235010147095,0.6,10
n01847000,0.7688695788383484,0.9,10
n01855032,0.6709685325622559,0.6,10
n01855672,0.6631002426147461,0.7,10
n01860187,0.5967074036598206,0.5,10
n01871265,0.6438483595848083,0.7,10
n01872401,0.9044348001480103,1.0,10
n01873310,0.780600905418396,1.0,10
n01877812,0.7784317135810852,1.0,10
n01882714,0.876263439655304,1.0,10
n01883070,0.8000814318656921,1.0,10
n01910747,0.38393935561180115,0.4,10
n01914609,0.5098102688789368,0.4,10
n01917289,0.23268012702465057,0.2,10
n01924916,0.5006955862045288,0.2,10
n01930112,0.657025933265686,0.7,10
n01943899,0.6063122749328613,0.7,10
n01944390,0.7488313913345337,1.0,10
n01945685,0.7200561761856079,1.0,10
n01950731,0.500333309173584,0.3,10
n01955084,0.6729246973991394,1.0,10
n01968897,0.6735820770263672,0.8,10
n01978287,0.7444941401481628,0.9,10
n01978455,0.7213031053543091,1.0,10
n01980166,0.7854622602462769,1.0,10
n01981276,0.6099421977996826,0.4,10
n01983481,0.7482963800430298,1.0,10
n01984695,0.7714630961418152,1.0,10
n01985128,0.7957576513290405,1.0,10
n01986214,0.6851376891136169,0.9,10
n01990800,0.6537875533103943,0.8,10
n02002556,0.5483430027961731,0.5,10
n02002724,0.6241812705993652,0.5,10
n02006656,0.7025907635688782,0.8,10
n02007558,0.7616478204727173,0.8,10
n02009229,0.7741044759750366,0.9,10
n02009912,0.6627551913261414,0.6,10
n02011460,0.8045964241027832,1.0,10
n02012849,0.6736335158348083,0.8,10
n02013706,0.7815280556678772,0.9,10
n02017213,0.5214298963546753,0.3,10
n02018207,0.5956509113311768,0.7,10
n02018795,0.7850446701049805,0.8,10
n02025239,0.5406414270401001,0.4,10
n02027492,0.6900149583816528,0.9,10
n02028035,0.5886372923851013,0.6,10
n02033041,0.7943033576011658,1.0,10
n02037110,0.5214342474937439,0.4,10
n02051845,0.7819615602493286,1.0,10
n02056570,0.6850427985191345,0.8,10
n02058221,0.7381945848464966,0.8,10
n02066245,0.7856515049934387,1.0,10
n02071294,0.6910719871520996,1.0,10
n02074367,0.7239781022071838,1.0,10
n02077923,0.7000732421875,0.8,10
n02085620,0.6299219131469727,0.7,10
n02085782,0.4887990951538086,0.4,10
n02085936,0.5943624973297119,0.6,10
n02086079,0.544367790222168,0.7,10
n02086240,0.48159074783325195,0.4,10
n02086646,0.38843515515327454,0.2,10
n02086910,0.5323578119277954,0.8,10
n02087046,0.5514572262763977,0.7,10
n02087394,0.6126388311386108,0.8,10
n02088094,0.6578298211097717,0.8,10
n02088238,0.5222662687301636,0.4,10
n02088364,0.5059800148010254,0.6,10
n02088466,0.6466526389122009,0.8,10
n02088632,0.6629083752632141,0.8,10
n02089078,0.5430271029472351,0.5,10
n02089867,0.4998009204864502,0.5,10
n02089973,0.5723665356636047,0.6,10
n02090379,0.6335546374320984,0.8,10
n02090622,0.564782977104187,0.5,10
n02090721,0.6616178750991821,1.0,10
n02091032,0.6037785410881042,0.9,10
n02091134,0.5991809368133545,0.7,10
n02091244,0.577953040599823,0.7,10
n02091467,0.7225428819656372,1.0,10
n02091635,0.5965715646743774,1.0,10
n02091831,0.6015509963035583,0.8,10
n02092002,0.6439478993415833,0.9,10
n02092339,0.7004631161689758,0.7,10
n02093256,0.6521295309066772,1.0,10
n02093428,0.6114245057106018,0.6,10
n02093647,0.5292435884475708,0.6,10
n02093754,0.7371857166290283,1.0,10
n02093859,0.5916225910186768,0.7,10
n02093991,0.5361802577972412,0.7,10
n02094114,0.6032790541648865,1.0,10
n02094258,0.6815787553787231,1.0,10
n02094433,0.6190566420555115,0.9,10
n02095314,0.5022451281547546,0.4,10
n02095570,0.5212123394012451,0.5,10
n02095889,0.5851588845252991,0.7,10
n02096051,0.49526065587997437,0.5,10
n02096177,0.7018702030181885,1.0,10
n02096294,0.6345097422599792,1.0,10
n02096437,0.5539376735687256,0.9,10
n02096585,0.5382078289985657,0.1,10
n02097047,0.5920664072036743,0.8,10
n02097130,0.5940840840339661,0.7,10
n02097209,0.6297549605369568,1.0,10
n02097298,0.6463475227355957,0.8,10
n02097474,0.5342194437980652,0.7,10
n02097658,0.555289626121521,0.7,10
n02098105,0.521894097328186,0.6,10
n02098286,0.6005159020423889,1.0,10
n02098413,0.6390308141708374,1.0,10
n02099267,0.6024805307388306,0.6,10
n02099429,0.5252598524093628,0.6,10
n02099601,0.6478613615036011,0.8,10
n02099712,0.6311431527137756,0.7,10
n02099849,0.6207219362258911,0.6,10
n02100236,0.6911700963973999,1.0,10
n02100583,0.6649235486984253,0.7,10
n02100735,0.6482096910476685,0.9,10
n02100877,0.6365072131156921,0.9,10
n02101006,0.5348320007324219,0.7,10
n02101388,0.5347467064857483,0.7,10
n02101556,0.5631008148193359,0.6,10
n02102040,0.4341225028038025,0.2,10
n02102177,0.396048367023468,0.2,10
n02102318,0.5895012617111206,0.6,10
n02102480,0.6935335397720337,0.8,10
n02102973,0.48861756920814514,0.3,10
n02104029,0.5137048363685608,0.8,10
n02104365,0.6318985223770142,0.7,10
n02105056,0.6279367208480835,1.0,10
n02105162,0.6575556993484497,0.7,10
n02105251,0.6399720311164856,0.8,10
n02105412,0.6886604428291321,0.9,10
n02105505,0.6574814319610596,0.9,10
n02105641,0.5661300420761108,0.6,10
n02105855,0.6259297132492065,1.0,10
n02106030,0.496293842792511,0.4,10
n02106166,0.5081456303596497,0.7,10
n02106382,0.6557692885398865,0.8,10
n02106550,0.5552276372909546,0.7,10
n02106662,0.5993227362632751,0.8,10
n02107142,0.5166611671447754,0.7,10
n02107312,0.6014404296875,0.8,10
n02107574,0.38424426317214966,0.1,10
n02107683,0.4703226089477539,0.3,10
n02107908,0.5252732038497925,0.9,10
n02108000,0.4964525103569031,1.0,10
n02108089,0.5567319989204407,0.5,10
n02108422,0.7317742705345154,0.9,10
n02108551,0.6828820705413818,0.9,10
n02108915,0.6242251992225647,0.6,10
n02109047,0.6712668538093567,0.9,10
n02109525,0.4833641052246094,0.3,10
n02109961,0.6743348836898804,1.0,10
n02110063,0.5663034319877625,0.9,10
n02110185,0.6772682666778564,0.8,10
n02110341,0.7359433174133301,0.8,10
n02110627,0.6407668590545654,0.9,10
n02110806,0.5787004232406616,0.9,10
n02110958,0.5994923710823059,0.7,10
n02111129,0.6926085948944092,1.0,10
n02111277,0.5460581183433533,0.8,10
n02111500,0.5964974761009216,0.7,10
n02111889,0.4648396074771881,0.3,10
n02112018,0.6057663559913635,0.8,10
n02112137,0.5149747133255005,0.3,10
n02112350,0.7391170263290405,0.9,10
n02112706,0.6083675622940063,0.9,10
n02113023,0.5226426720619202,0.3,10
n02113186,0.5196182727813721,0.5,10
n02113624,0.541904091835022,0.8,10
n02113712,0.4637870788574219,0.6,10
n02113799,0.5154353976249695,0.7,10
n02113978,0.7182876467704773,0.9,10
n02114367,0.7496317625045776,1.0,10
n02114548,0.6322206258773804,0.9,10
n02114712,0.7942671775817871,0.9,10
n02114855,0.760974645614624,1.0,10
n02115641,0.6479953527450562,1.0,10
n02115913,0.6415342092514038,0.8,10
n02116738,0.6218557357788086,0.6,10
n02117135,0.6721435785293579,0.8,10
n02119022,0.6528931856155396,0.6,10
n02119789,0.6773253679275513,0.8,10
n02120079,0.7424720525741577,0.9,10
n02120505,0.7774006128311157,0.9,10
n02123045,0.7186017036437988,0.7,10
n02123159,0.7020912170410156,0.9,10
n02123394,0.605938196182251,0.4,10
n02123597,0.7489590644836426,0.8,10
n02124075,0.7839443683624268,0.9,10
n02125311,0.8074051737785339,0.9,10
n02127052,0.7708983421325684,1.0,10
n02128385,0.7673331499099731,1.0,10
n02128757,0.7977343797683716,1.0,10
n02128925,0.7561622858047485,1.0,10
n02129165,0.7797621488571167,0.9,10
n02129604,0.7462493777275085,0.8,10
n02130308,0.7551487684249878,0.8,10
n02132136,0.759829044342041,1.0,10
n02133161,0.7307841181755066,1.0,10
n02134084,0.6746875643730164,0.6,10
n02134418,0.7151685357093811,0.8,10
n02137549,0.8072646856307983,1.0,10
n02138441,0.7549728155136108,0.9,10
n02165105,0.5708930492401123,0.5,10
n02165456,0.47594842314720154,0.3,10
n02167151,0.6555717587471008,0.8,10
n02168699,0.627458930015564,0.9,10
n02169497,0.5004074573516846,0.4,10
n02172182,0.6398345828056335,0.6,10
n02174001,0.7242865562438965,1.0,10
n02177972,0.629492461681366,0.8,10
n02190166,0.6639230847358704,0.7,10
n02206856,0.4925152659416199,0.2,10
n02219486,0.5852177143096924,0.7,10
n02226429,0.7350400686264038,1.0,10
n02229544,0.7757036685943604,1.0,10
n02231487,0.6754634380340576,0.9,10
n02233338,0.6668334603309631,0.8,10
n02236044,0.6936203241348267,0.8,10
