wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.20003311336040497,0.0,10
n01443537,0.3712431788444519,0.2,10
n01484850,0.2606615126132965,0.2,10
n01491361,0.33628302812576294,0.4,10
n01494475,0.3549918532371521,0.1,10
n01496331,0.35317304730415344,0.5,10
n01498041,0.19938543438911438,0.0,10
n01514668,0.11641038954257965,0.2,10
n01514859,0.11975614726543427,0.0,10
n01518878,0.13281100988388062,0.0,10
n01530575,0.15583734214305878,0.1,10
n01531178,0.08234662562608719,0.0,10
n01532829,0.1215117946267128,0.1,10
n01534433,0.08518065512180328,0.0,10
n01537544,0.1296713650226593,0.0,10
n01558993,0.12364151328802109,0.0,10
n01560419,0.11088579893112183,0.0,10
n01580077,0.08606021106243134,0.0,10
n01582220,0.19712266325950623,0.2,10
n01592084,0.20328958332538605,0.0,10
n01601694,0.18348675966262817,0.1,10
n01608432,0.22831961512565613,0.1,10
n01614925,0.19546470046043396,0.1,10
n01616318,0.19238367676734924,0.1,10
n01622779,0.21202583611011505,0.0,10
n01629819,0.0702577531337738,0.0,10
n01630670,0.1417883038520813,0.2,10
n01631663,0.1117381900548935,0.0,10
n01632458,0.10861003398895264,0.1,10
n01632777,0.2994568347930908,0.1,10
n01641577,0.21251721680164337,0.0,10
n01644373,0.165961354970932,0.1,10
n01644900,0.2496640682220459,0.1,10
n01664065,0.20042824745178223,0.0,10
n01665541,0.29584255814552307,0.4,10
n01667114,0.22520919144153595,0.2,10
n01667778,0.2347051203250885,0.2,10
n01669191,0.17325809597969055,0.1,10
n01675722,0.19688555598258972,0.1,10
n01677366,0.12516051530838013,0.0,10
n01682714,0.24489076435565948,0.2,10
n01685808,0.11328212916851044,0.0,10
n01687978,0.11610467731952667,0.1,10
n01688243,0.20144939422607422,0.1,10
n01689811,0.1948888897895813,0.3,10
n01692333,0.19183722138404846,0.0,10
n01693334,0.19127647578716278,0.0,10
n01694178,0.22177131474018097,0.0,10
n01695060,0.15709690749645233,0.0,10
n01697457,0.23699530959129333,0.1,10
n01698640,0.29079145193099976,0.2,10
n01704323,0.28513044118881226,0.2,10
n01728572,0.12178704887628555,0.3,10
n01728920,0.1750662624835968,0.2,10
n01729322,0.18248431384563446,0.2,10
n01729977,0.15810513496398926,0.3,10
n01734418,0.12660333514213562,0.1,10
n01735189,0.12927374243736267,0.1,10
n01737021,0.1966974288225174,0.0,10
n01739381,0.16594569385051727,0.1,10
n01740131,0.18956179916858673,0.3,10
n01742172,0.17448559403419495,0.2,10
n01744401,0.20650887489318848,0.1,10
n01748264,0.19225355982780457,0.2,10
n01749939,0.17856094241142273,0.2,10
n01751748,0.15643134713172913,0.3,10
n01753488,0.1640949249267578,0.3,10
n01755581,0.1779499053955078,0.1,10
n01756291,0.1979856640100479,0.3,10
n01768244,0.24119159579277039,0.1,10
n01770081,0.17113520205020905,0.0,10
n01770393,0.21031519770622253,0.0,10
n01773157,0.10695981979370117,0.0,10
n01773549,0.20538082718849182,0.1,10
n01773797,0.07030604034662247,0.1,10
n01774384,0.1694919764995575,0.1,10
n01774750,0.13455434143543243,0.1,10
n01775062,0.12288142740726471,0.0,10
n01776313,0.15118180215358734,0.0,10
n01784675,0.20821908116340637,0.2,10
n01795545,0.20673921704292297,0.1,10
n01796340,0.25037461519241333,0.2,10
n01797886,0.23197777569293976,0.1,10
n01798484,0.18691600859165192,0.0,10
n01806143,0.17048655450344086,0.0,10
n01806567,0.0976022332906723,0.0,10
n01807496,0.1570460945367813,0.1,10
n01817953,0.26857152581214905,0.1,10
n01818515,0.11826391518115997,0.1,10
n01819313,0.18758635222911835,0.1,10
n01820546,0.10010971873998642,0.0,10
n01824575,0.22117137908935547,0.2,10
n01828970,0.11494332551956177,0.0,10
n01829413,0.1729874461889267,0.0,10
n01833805,0.1503221094608307,0.2,10
n01843065,0.09479935467243195,0.1,10
n01843383,0.15469932556152344,0.1,10
n01847000,0.14217573404312134,0.0,10
n01855032,0.14146046340465546,0.0,10
n01855672,0.16607621312141418,0.1,10
n01860187,0.1692955046892166,0.2,10
n01871265,0.1669224500656128,0.0,10
n01872401,0.14944258332252502,0.0,10
n01873310,0.4024801254272461,0.4,10
n01877812,0.20319604873657227,0.1,10
n01882714,0.22770729660987854,0.3,10
n01883070,0.20777997374534607,0.1,10
n01910747,0.4018147587776184,0.3,10
n01914609,0.14147409796714783,0.0,10
n01917289,0.1785682886838913,0.0,10
n01924916,0.10439132153987885,0.2,10
n01930112,0.2900223433971405,0.2,10
n01943899,0.2828861176967621,0.0,10
n01944390,0.1967296600341797,0.1,10
n01945685,0.2562735080718994,0.2,10
n01950731,0.17034831643104553,0.1,10
n01955084,0.17170000076293945,0.2,10
n01968897,0.1870175302028656,0.1,10
n01978287,0.15407516062259674,0.1,10
n01978455,0.16655203700065613,0.2,10
n01980166,0.18024969100952148,0.0,10
n01981276,0.1469326764345169,0.0,10
n01983481,0.2418324500322342,0.2,10
n01984695,0.21419870853424072,0.1,10
n01985128,0.19299253821372986,0.3,10
n01986214,0.2333579957485199,0.1,10
n01990800,0.21246056258678436,0.2,10
n02002556,0.13051068782806396,0.0,10
n02002724,0.2320314347743988,0.0,10
n02006656,0.10716839879751205,0.1,10
n02007558,0.20394977927207947,0.1,10
n02009229,0.18343040347099304,0.0,10
n02009912,0.15520772337913513,0.1,10
n02011460,0.14747273921966553,0.0,10
n02012849,0.1969917118549347,0.1,10
n02013706,0.06365826725959778,0.0,10
n02017213,0.08045230060815811,0.0,10
n02018207,0.1713157594203949,0.1,10
n02018795,0.10074223577976227,0.0,10
n02025239,0.14273829758167267,0.0,10
n02027492,0.1442948579788208,0.0,10
n02028035,0.11011558771133423,0.0,10
n02033041,0.14230959117412567,0.0,10
n02037110,0.15542171895503998,0.1,10
n02051845,0.13808169960975647,0.3,10
n02056570,0.22045953571796417,0.1,10
n02058221,0.19387438893318176,0.0,10
n02066245,0.27563604712486267,0.0,10
n02071294,0.25363999605178833,0.1,10
n02074367,0.3641394078731537,0.0,10
n02077923,0.23553423583507538,0.2,10
n02085620,0.22672560811042786,0.3,10
n02085782,0.18160894513130188,0.2,10
n02085936,0.2237488329410553,0.3,10
n02086079,0.2226221114397049,0.2,10
n02086240,0.19549338519573212,0.0,10
n02086646,0.16137096285820007,0.1,10
n02086910,0.18077398836612701,0.3,10
n02087046,0.22391121089458466,0.2,10
n02087394,0.12873315811157227,0.1,10
n02088094,0.17859938740730286,0.1,10
n02088238,0.19840076565742493,0.3,10
n02088364,0.2014162540435791,0.4,10
n02088466,0.17861489951610565,0.4,10
n02088632,0.1704198569059372,0.1,10
n02089078,0.11926601827144623,0.2,10
n02089867,0.14186665415763855,0.1,10
n02089973,0.13254263997077942,0.0,10
n02090379,0.177242249250412,0.5,10
n02090622,0.1938803791999817,0.0,10
n02090721,0.14140471816062927,0.1,10
n02091032,0.16504943370819092,0.0,10
n02091134,0.18818774819374084,0.1,10
n02091244,0.17989835143089294,0.2,10
n02091467,0.17922882735729218,0.0,10
n02091635,0.1173773780465126,0.0,10
n02091831,0.18142107129096985,0.1,10
n02092002,0.18616747856140137,0.2,10
n02092339,0.11770077794790268,0.0,10
n02093256,0.22434429824352264,0.3,10
n02093428,0.14299631118774414,0.1,10
n02093647,0.15178610384464264,0.1,10
n02093754,0.2007516622543335,0.1,10
n02093859,0.3058989644050598,0.6,10
n02093991,0.13691739737987518,0.1,10
n02094114,0.139242485165596,0.2,10
n02094258,0.16508916020393372,0.2,10
n02094433,0.19259721040725708,0.1,10
n02095314,0.12200842052698135,0.1,10
n02095570,0.22801759839057922,0.1,10
n02095889,0.16476432979106903,0.1,10
n02096051,0.1586454063653946,0.2,10
n02096177,0.14632022380828857,0.2,10
n02096294,0.15051007270812988,0.2,10
n02096437,0.2133486568927765,0.3,10
n02096585,0.1734774112701416,0.0,10
n02097047,0.16746525466442108,0.3,10
n02097130,0.1907363086938858,0.2,10
n02097209,0.12131746113300323,0.0,10
n02097298,0.20620253682136536,0.2,10
n02097474,0.18974995613098145,0.3,10
n02097658,0.22155356407165527,0.7,10
n02098105,0.19597969949245453,0.3,10
n02098286,0.2633349895477295,0.2,10
n02098413,0.23078560829162598,0.1,10
n02099267,0.2196158468723297,0.1,10
n02099429,0.29760074615478516,0.4,10
n02099601,0.179826557636261,0.2,10
n02099712,0.2295599728822708,0.2,10
n02099849,0.33310753107070923,0.1,10
n02100236,0.16584590077400208,0.3,10
n02100583,0.14162400364875793,0.3,10
n02100735,0.15041175484657288,0.2,10
n02100877,0.2510296702384949,0.2,10
n02101006,0.311172217130661,0.8,10
n02101388,0.15505217015743256,0.1,10
n02101556,0.13778647780418396,0.0,10
n02102040,0.23750963807106018,0.2,10
n02102177,0.16792528331279755,0.2,10
n02102318,0.1685200184583664,0.0,10
n02102480,0.19013269245624542,0.2,10
n02102973,0.22003822028636932,0.1,10
n02104029,0.2514260411262512,0.3,10
n02104365,0.2772524356842041,0.1,10
n02105056,0.23476961255073547,0.1,10
n02105162,0.15813489258289337,0.0,10
n02105251,0.17183485627174377,0.1,10
n02105412,0.1725877821445465,0.2,10
n02105505,0.23474498093128204,0.3,10
n02105641,0.22145554423332214,0.1,10
n02105855,0.1278184950351715,0.2,10
n02106030,0.09379591792821884,0.1,10
n02106166,0.1794179230928421,0.1,10
n02106382,0.18735232949256897,0.1,10
n02106550,0.1869896948337555,0.4,10
n02106662,0.140569806098938,0.1,10
n02107142,0.140999436378479,0.1,10
n02107312,0.11709175258874893,0.2,10
n02107574,0.14016012847423553,0.1,10
n02107683,0.19904044270515442,0.3,10
n02107908,0.19732892513275146,0.4,10
n02108000,0.13314934074878693,0.3,10
n02108089,0.16723108291625977,0.2,10
n02108422,0.19079884886741638,0.2,10
n02108551,0.20107798278331757,0.2,10
n02108915,0.21686653792858124,0.2,10
n02109047,0.19333989918231964,0.3,10
n02109525,0.23715372383594513,0.1,10
n02109961,0.15227003395557404,0.3,10
n02110063,0.1052996888756752,0.1,10
n02110185,0.1530531644821167,0.0,10
n02110341,0.15780094265937805,0.1,10
n02110627,0.2857891917228699,0.2,10
n02110806,0.16481664776802063,0.1,10
n02110958,0.22567138075828552,0.2,10
n02111129,0.14061328768730164,0.2,10
n02111277,0.21215777099132538,0.3,10
n02111500,0.16672112047672272,0.0,10
n02111889,0.2544099688529968,0.1,10
n02112018,0.17368540167808533,0.1,10
n02112137,0.14063021540641785,0.0,10
n02112350,0.146820530295372,0.1,10
n02112706,0.21768493950366974,0.3,10
n02113023,0.1710788607597351,0.0,10
n02113186,0.14143860340118408,0.1,10
n02113624,0.3236212134361267,0.3,10
n02113712,0.1945335566997528,0.4,10
n02113799,0.1895594447851181,0.1,10
n02113978,0.21126246452331543,0.0,10
n02114367,0.11380883306264877,0.0,10
n02114548,0.15870395302772522,0.0,10
n02114712,0.30653730034828186,0.6,10
n02114855,0.25248780846595764,0.2,10
n02115641,0.13027456402778625,0.1,10
n02115913,0.17841030657291412,0.1,10
n02116738,0.09661397337913513,0.0,10
n02117135,0.21408133208751678,0.0,10
n02119022,0.17405852675437927,0.1,10
n02119789,0.14698609709739685,0.3,10
n02120079,0.2525078356266022,0.2,10
n02120505,0.1954818069934845,0.1,10
n02123045,0.28969117999076843,0.2,10
n02123159,0.16222761571407318,0.4,10
n02123394,0.20404991507530212,0.0,10
n02123597,0.17128674685955048,0.0,10
n02124075,0.24357321858406067,0.3,10
n02125311,0.1406591832637787,0.1,10
n02127052,0.1651352494955063,0.2,10
n02128385,0.10331704467535019,0.3,10
n02128757,0.11210378259420395,0.0,10
n02128925,0.10397710651159286,0.3,10
n02129165,0.264415442943573,0.1,10
n02129604,0.13575682044029236,0.0,10
n02130308,0.10201134532690048,0.0,10
n02132136,0.2281746119260788,0.3,10
n02133161,0.3153364360332489,0.3,10
n02134084,0.3369537591934204,0.2,10
n02134418,0.3164795935153961,0.5,10
n02137549,0.18833141028881073,0.1,10
n02138441,0.17430411279201508,0.0,10
n02165105,0.08899778127670288,0.0,10
n02165456,0.12405999004840851,0.0,10
n02167151,0.13392773270606995,0.1,10
n02168699,0.16234907507896423,0.2,10
n02169497,0.14402982592582703,0.0,10
n02172182,0.275523841381073,0.1,10
n02174001,0.2106032371520996,0.1,10
n02177972,0.20767951011657715,0.1,10
n02190166,0.1225980743765831,0.0,10
n02206856,0.1991967111825943,0.2,10
n02219486,0.1833617091178894,0.0,10
n02226429,0.20504513382911682,0.3,10
n02229544,0.24775414168834686,0.2,10
n02231487,0.18277311325073242,0.1,10
n02233338,0.37690049409866333,0.2,10
n02236044,0.19308042526245117,0.0,10
n02256656,0.15464472770690918,0.0,10
n02259212,0.17929112911224365,0.0,10
n02264363,0.2070871889591217,0.2,10
n02268443,0.10998980700969696,0.1,10
n02268853,0.08702895790338516,0.0,10
n02276258,0.0954739898443222,0.1,10
n02277742,0.11006158590316772,0.0,10
n02279972,0.0763225257396698,0.0,10
n02280649,0.14047273993492126,0.1,10
n02281406,0.1204911470413208,0.0,10
n02281787,0.22385597229003906,0.2,10
n02317335,0.186746284365654,0.2,10
n02319095,0.15065613389015198,0.1,10
n02321529,0.2653922438621521,0.2,10
n02325366,0.168392151594162,0.1,10
n02326432,0.13974355161190033,0.2,10
n02328150,0.20882482826709747,0.0,10
n02342885,0.22351261973381042,0.1,10
n02346627,0.1835586428642273,0.1,10
n02356798,0.170833557844162,0.1,10
n02361337,0.17460274696350098,0.1,10
n02363005,0.2508305013179779,0.2,10
n02364673,0.34516048431396484,0.3,10
n02389026,0.18758046627044678,0.0,10
n02391049,0.11847738921642303,0.0,10
n02395406,0.18176403641700745,0.1,10
n02396427,0.2134963572025299,0.1,10
n02397096,0.18858234584331512,0.1,10
n02398521,0.2104111909866333,0.1,10
n02403003,0.24735717475414276,0.3,10
n02408429,0.16902285814285278,0.0,10
n02410509,0.20315420627593994,0.0,10
n02412080,0.12011697143316269,0.2,10
n02415577,0.19140543043613434,0.2,10
n02417914,0.1500297486782074,0.0,10
n02422106,0.23197941482067108,0.1,10
n02422699,0.19958369433879852,0.2,10
n02423022,0.18016669154167175,0.2,10
n02437312,0.17947211861610413,0.3,10
n02437616,0.20376059412956238,0.1,10
n02441942,0.18217241764068604,0.1,10
n02442845,0.21449866890907288,0.0,10
n02443114,0.23446142673492432,0.0,10
n02443484,0.1694447249174118,0.0,10
n02444819,0.30749964714050293,0.3,10
n02445715,0.3604430556297302,0.4,10
n02447366,0.210389643907547,0.2,10
n02454379,0.17855268716812134,0.0,10
n02457408,0.21348567306995392,0.2,10
n02480495,0.22012309730052948,0.1,10
n02480855,0.18545442819595337,0.1,10
n02481823,0.20992258191108704,0.0,10
n02483362,0.20426276326179504,0.3,10
n02483708,0.32884126901626587,0.2,10
n02484975,0.1370195895433426,0.0,10
n02486261,0.259222149848938,0.5,10
n02486410,0.16865241527557373,0.1,10
n02487347,0.16062036156654358,0.0,10
n02488291,0.2602062523365021,0.1,10
n02488702,0.2700050473213196,0.2,10
n02489166,0.09756602346897125,0.0,10
n02490219,0.1859266459941864,0.1,10
n02492035,0.10912660509347916,0.1,10
n02492660,0.2430550754070282,0.3,10
n02493509,0.22220739722251892,0.4,10
n02493793,0.21291422843933105,0.3,10
n02494079,0.12667901813983917,0.1,10
n02497673,0.14534954726696014,0.1,10
n02500267,0.2015119343996048,0.0,10
n02504013,0.31362026929855347,0.3,10
n02504458,0.19834277033805847,0.3,10
n02509815,0.14277538657188416,0.0,10
n02510455,0.20871774852275848,0.0,10
n02514041,0.18851624429225922,0.1,10
n02526121,0.2216305285692215,0.2,10
n02536864,0.26240450143814087,0.3,10
n02606052,0.13895684480667114,0.1,10
n02607072,0.13162225484848022,0.0,10
n02640242,0.23156574368476868,0.1,10
n02641379,0.21179699897766113,0.5,10
n02643566,0.07673662155866623,0.1,10
n02655020,0.2523599863052368,0.1,10
n02666196,0.15978404879570007,0.1,10
n02667093,0.5073344707489014,0.8,10
n02669723,0.17197079956531525,0.4,10
n02672831,0.26076269149780273,0.2,10
n02676566,0.20343752205371857,0.2,10
n02687172,0.2856834828853607,0.2,10
n02690373,0.2531406879425049,0.3,10
n02692877,0.3326674699783325,0.2,10
n02699494,0.151637002825737,0.1,10
n02701002,0.12083575874567032,0.0,10
n02704792,0.22125084698200226,0.4,10
n02708093,0.2232361137866974,0.1,10
n02727426,0.2803186774253845,0.1,10
n02730930,0.21058931946754456,0.2,10
n02747177,0.24423746764659882,0.1,10
n02749479,0.2221713811159134,0.2,10
n02769748,0.3490538001060486,0.5,10
n02776631,0.19409385323524475,0.7,10
