wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.4210317134857178,0.4,10
n01443537,0.6111052632331848,0.8,10
n01484850,0.5088878870010376,0.6,10
n01491361,0.5811542272567749,0.7,10
n01494475,0.6176429986953735,0.5,10
n01496331,0.5033746957778931,0.5,10
n01498041,0.4598608911037445,0.4,10
n01514668,0.2938753664493561,0.3,10
n01514859,0.39796707034111023,0.4,10
n01518878,0.27473801374435425,0.1,10
n01530575,0.4711151123046875,0.3,10
n01531178,0.43346643447875977,0.3,10
n01532829,0.45182308554649353,0.3,10
n01534433,0.570354163646698,0.4,10
n01537544,0.29453906416893005,0.1,10
n01558993,0.3335205614566803,0.3,10
n01560419,0.44949039816856384,0.3,10
n01580077,0.2478087842464447,0.0,10
n01582220,0.34190070629119873,0.3,10
n01592084,0.5202800631523132,0.4,10
n01601694,0.3900656998157501,0.4,10
n01608432,0.5367878675460815,0.7,10
n01614925,0.6184769868850708,0.7,10
n01616318,0.37664276361465454,0.5,10
n01622779,0.4198358654975891,0.4,10
n01629819,0.1962260901927948,0.0,10
n01630670,0.3491705358028412,0.2,10
n01631663,0.38565337657928467,0.3,10
n01632458,0.3374645411968231,0.3,10
n01632777,0.7648706436157227,0.7,10
n01641577,0.4267028868198395,0.3,10
n01644373,0.558662474155426,0.6,10
n01644900,0.4587104320526123,0.3,10
n01664065,0.384520560503006,0.1,10
n01665541,0.456411212682724,0.7,10
n01667114,0.4414955675601959,0.5,10
n01667778,0.4801216721534729,0.6,10
n01669191,0.37092167139053345,0.3,10
n01675722,0.47648078203201294,0.4,10
n01677366,0.18803083896636963,0.0,10
n01682714,0.5849461555480957,0.7,10
n01685808,0.26528292894363403,0.2,10
n01687978,0.26710790395736694,0.2,10
n01688243,0.4353025555610657,0.4,10
n01689811,0.37622809410095215,0.5,10
n01692333,0.32172277569770813,0.0,10
n01693334,0.41901880502700806,0.2,10
n01694178,0.35211998224258423,0.0,10
n01695060,0.27300137281417847,0.2,10
n01697457,0.39664021134376526,0.3,10
n01698640,0.4044967293739319,0.2,10
n01704323,0.6055582165718079,0.5,10
n01728572,0.4488772749900818,0.5,10
n01728920,0.5022233128547668,0.5,10
n01729322,0.3548034131526947,0.5,10
n01729977,0.5365568399429321,0.7,10
n01734418,0.36137819290161133,0.6,10
n01735189,0.295746773481369,0.3,10
n01737021,0.4006686806678772,0.0,10
n01739381,0.4802890717983246,0.5,10
n01740131,0.3768949508666992,0.6,10
n01742172,0.3987747132778168,0.7,10
n01744401,0.4754599630832672,0.3,10
n01748264,0.383802592754364,0.5,10
n01749939,0.5810355544090271,0.7,10
n01751748,0.24793274700641632,0.5,10
n01753488,0.43472233414649963,0.4,10
n01755581,0.39616239070892334,0.3,10
n01756291,0.3859005272388458,0.3,10
n01768244,0.49760007858276367,0.4,10
n01770081,0.4256877303123474,0.4,10
n01770393,0.41788482666015625,0.3,10
n01773157,0.26573243737220764,0.0,10
n01773549,0.35818326473236084,0.4,10
n01773797,0.39181238412857056,0.5,10
n01774384,0.3961823880672455,0.5,10
n01774750,0.3759991526603699,0.5,10
n01775062,0.23430423438549042,0.0,10
n01776313,0.4239087998867035,0.2,10
n01784675,0.40356168150901794,0.5,10
n01795545,0.4372778534889221,0.2,10
n01796340,0.35411179065704346,0.3,10
n01797886,0.35747623443603516,0.1,10
n01798484,0.45791664719581604,0.2,10
n01806143,0.25904741883277893,0.1,10
n01806567,0.2770764231681824,0.1,10
n01807496,0.4040350019931793,0.4,10
n01817953,0.6394021511077881,0.8,10
n01818515,0.4389980435371399,0.3,10
n01819313,0.5403658151626587,0.5,10
n01820546,0.27087172865867615,0.0,10
n01824575,0.40129345655441284,0.4,10
n01828970,0.5314955115318298,0.6,10
n01829413,0.3686414659023285,0.1,10
n01833805,0.4477073550224304,0.4,10
n01843065,0.435529887676239,0.2,10
n01843383,0.4367120862007141,0.3,10
n01847000,0.44216829538345337,0.4,10
n01855032,0.2455858737230301,0.1,10
n01855672,0.45143523812294006,0.2,10
