wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.6500664353370667,0.7,10
n01443537,0.649251401424408,0.6,10
n01484850,0.47108975052833557,0.8,10
n01491361,0.44970107078552246,0.6,10
n01494475,0.43340593576431274,0.1,10
n01496331,0.4956045150756836,0.6,10
n01498041,0.46589142084121704,0.2,10
n01514668,0.374419242143631,0.2,10
n01514859,0.5314549207687378,0.5,10
n01518878,0.4275244176387787,0.3,10
n01530575,0.5365752577781677,0.3,10
n01531178,0.40995851159095764,0.3,10
n01532829,0.5216158628463745,0.5,10
n01534433,0.39820271730422974,0.2,10
n01537544,0.2571296989917755,0.1,10
n01558993,0.41987085342407227,0.4,10
n01560419,0.49472156167030334,0.3,10
n01580077,0.3988876938819885,0.2,10
n01582220,0.3686613440513611,0.2,10
n01592084,0.5977162718772888,0.6,10
n01601694,0.4685978889465332,0.4,10
n01608432,0.5157198905944824,0.4,10
n01614925,0.4889804422855377,0.5,10
n01616318,0.4661544859409332,0.3,10
n01622779,0.5471394658088684,0.5,10
n01629819,0.3269735276699066,0.1,10
n01630670,0.5055912137031555,0.3,10
n01631663,0.4502996802330017,0.2,10
n01632458,0.5119714140892029,0.4,10
n01632777,0.6296593546867371,0.6,10
n01641577,0.6313744783401489,0.7,10
n01644373,0.45210686326026917,0.2,10
n01644900,0.5672633051872253,0.4,10
n01664065,0.6130692958831787,0.8,10
n01665541,0.583844006061554,0.6,10
n01667114,0.5583427548408508,0.4,10
n01667778,0.6287668943405151,0.7,10
n01669191,0.611105740070343,0.8,10
n01675722,0.7183148264884949,0.9,10
n01677366,0.41381192207336426,0.2,10
n01682714,0.5905192494392395,0.6,10
n01685808,0.5113955140113831,0.3,10
n01687978,0.537966787815094,0.6,10
n01688243,0.6265516877174377,0.5,10
n01689811,0.6401916146278381,0.7,10
n01692333,0.6391419172286987,0.7,10
n01693334,0.5522257089614868,0.6,10
n01694178,0.5411038398742676,0.3,10
n01695060,0.6493086218833923,0.6,10
n01697457,0.5771597027778625,0.8,10
n01698640,0.581292986869812,0.6,10
n01704323,0.6139867305755615,0.5,10
n01728572,0.6907997131347656,0.8,10
n01728920,0.6114851832389832,0.6,10
n01729322,0.6679342985153198,1.0,10
n01729977,0.5751582384109497,0.7,10
n01734418,0.5841621160507202,0.5,10
n01735189,0.6027359366416931,0.7,10
n01737021,0.6016653776168823,0.6,10
n01739381,0.4351678490638733,0.2,10
n01740131,0.5599299669265747,0.7,10
n01742172,0.6030153036117554,0.8,10
n01744401,0.7287840247154236,0.8,10
n01748264,0.6024996638298035,0.7,10
