wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.8179537057876587,1.0,10
n01443537,0.7425357103347778,0.9,10
n01484850,0.7360818386077881,0.8,10
n01491361,0.7261377573013306,1.0,10
n01494475,0.7782624959945679,1.0,10
n01496331,0.6342642307281494,0.8,10
n01498041,0.7488157153129578,0.9,10
n01514668,0.6989865303039551,0.8,10
n01514859,0.8423694372177124,1.0,10
n01518878,0.6378437280654907,0.8,10
n01530575,0.7556885480880737,0.9,10
n01531178,0.7769383192062378,0.9,10
n01532829,0.8446289896965027,1.0,10
n01534433,0.7751082181930542,0.9,10
n01537544,0.6688594818115234,0.8,10
n01558993,0.7979592084884644,0.8,10
n01560419,0.8065654039382935,0.9,10
n01580077,0.8120001554489136,0.9,10
n01582220,0.8489365577697754,1.0,10
n01592084,0.8754579424858093,1.0,10
n01601694,0.7895170450210571,1.0,10
n01608432,0.8135262727737427,1.0,10
n01614925,0.8990874290466309,1.0,10
n01616318,0.7894691824913025,0.9,10
n01622779,0.7706878185272217,0.8,10
n01629819,0.7520376443862915,0.8,10
n01630670,0.7636973261833191,0.7,10
n01631663,0.7080334424972534,0.8,10
n01632458,0.7810016870498657,0.7,10
n01632777,0.7613111734390259,0.8,10
n01641577,0.8606176376342773,1.0,10
n01644373,0.825853705406189,1.0,10
n01644900,0.8310418128967285,1.0,10
n01664065,0.7838380336761475,1.0,10
n01665541,0.827983558177948,1.0,10
n01667114,0.826121985912323,1.0,10
n01667778,0.8467313647270203,1.0,10
n01669191,0.8211015462875366,1.0,10
n01675722,0.8208931088447571,0.9,10
n01677366,0.8642579913139343,1.0,10
n01682714,0.8004909753799438,1.0,10
n01685808,0.7437203526496887,0.7,10
n01687978,0.8362432718276978,1.0,10
n01688243,0.8569191098213196,1.0,10
n01689811,0.8405084609985352,1.0,10
n01692333,0.8120120763778687,0.9,10
n01693334,0.8464428782463074,1.0,10
n01694178,0.7383557558059692,0.8,10
n01695060,0.9069016575813293,1.0,10
n01697457,0.7618626356124878,1.0,10
n01698640,0.8778761029243469,1.0,10
n01704323,0.8998688459396362,1.0,10
n01728572,0.7950423359870911,0.9,10
n01728920,0.7792578935623169,1.0,10
n01729322,0.8206906318664551,1.0,10
n01729977,0.8287383317947388,1.0,10
n01734418,0.8313320875167847,0.9,10
n01735189,0.7335420846939087,0.8,10
n01737021,0.7990541458129883,1.0,10
n01739381,0.7863413095474243,0.8,10
n01740131,0.8030902743339539,1.0,10
n01742172,0.8791597485542297,1.0,10
n01744401,0.8339529037475586,1.0,10
n01748264,0.8406413793563843,1.0,10
n01749939,0.8311269879341125,1.0,10
n01751748,0.7017439603805542,0.8,10
n01753488,0.7087511420249939,0.8,10
n01755581,0.8051233291625977,1.0,10
n01756291,0.6456555128097534,0.5,10
n01768244,0.8310897946357727,1.0,10
n01770081,0.8152289390563965,1.0,10
n01770393,0.8990041017532349,1.0,10
n01773157,0.8357234001159668,0.9,10
n01773549,0.7542043924331665,0.9,10
n01773797,0.7408421635627747,1.0,10
n01774384,0.7781065106391907,0.9,10
n01774750,0.8821443319320679,1.0,10
n01775062,0.8025305867195129,0.9,10
n01776313,0.6888312697410583,0.7,10
n01784675,0.6213164329528809,0.6,10
n01795545,0.7048527002334595,0.9,10
n01796340,0.7948236465454102,0.9,10
n01797886,0.8048223257064819,1.0,10
n01798484,0.7514573335647583,1.0,10
n01806143,0.7790411114692688,0.8,10
n01806567,0.839380145072937,1.0,10
n01807496,0.7372373342514038,0.8,10
n01817953,0.8607460260391235,1.0,10
n01818515,0.8998018503189087,1.0,10
n01819313,0.8252857327461243,1.0,10
n01820546,0.630763828754425,0.6,10
n01824575,0.8065876960754395,0.8,10
n01828970,0.7827643156051636,0.9,10
n01829413,0.8413141369819641,1.0,10
n01833805,0.7147373557090759,0.6,10
n01843065,0.6485468149185181,0.5,10
n01843383,0.7700258493423462,0.9,10
n01847000,0.8560105562210083,1.0,10
n01855032,0.7462180256843567,0.7,10
n01855672,0.7354658842086792,0.8,10
n01860187,0.8179877996444702,0.9,10
n01871265,0.7388652563095093,0.8,10
n01872401,0.8939700126647949,1.0,10
n01873310,0.8383371233940125,1.0,10
n01877812,0.8521302342414856,1.0,10
n01882714,0.7689274549484253,1.0,10
n01883070,0.8212062120437622,1.0,10
n01910747,0.6016733050346375,0.5,10
n01914609,0.7640141248703003,0.8,10
n01917289,0.6030000448226929,0.7,10
n01924916,0.7682496309280396,0.9,10
n01930112,0.5149803161621094,0.4,10
n01943899,0.790247917175293,1.0,10
n01944390,0.7938628196716309,0.9,10
n01945685,0.7132506966590881,1.0,10
n01950731,0.694739818572998,0.8,10
n01955084,0.6944328546524048,0.9,10
n01968897,0.8176377415657043,0.9,10
n01978287,0.8706572651863098,1.0,10
n01978455,0.7768785953521729,1.0,10
n01980166,0.7736871242523193,1.0,10
n01981276,0.8708499073982239,1.0,10
n01983481,0.9006198048591614,1.0,10
n01984695,0.796314537525177,1.0,10
n01985128,0.8992142677307129,1.0,10
n01986214,0.8201042413711548,0.9,10
n01990800,0.7209870219230652,1.0,10
n02002556,0.7808214426040649,1.0,10
n02002724,0.745282769203186,0.8,10
n02006656,0.7612447738647461,1.0,10
n02007558,0.8013067245483398,0.9,10
n02009229,0.8522621989250183,1.0,10
n02009912,0.7715011835098267,0.8,10
n02011460,0.7954441905021667,0.8,10
n02012849,0.798601508140564,1.0,10
n02013706,0.8358449935913086,0.9,10
n02017213,0.5852320790290833,0.5,10
n02018207,0.8183868527412415,1.0,10
n02018795,0.8056429028511047,0.9,10
n02025239,0.8122628927230835,0.9,10
n02027492,0.8391249775886536,1.0,10
n02028035,0.8517557978630066,1.0,10
n02033041,0.8905741572380066,1.0,10
n02037110,0.757939338684082,0.9,10
n02051845,0.8869841694831848,1.0,10
n02056570,0.8106722831726074,1.0,10
n02058221,0.8164572715759277,0.9,10
n02066245,0.7024722695350647,0.6,10
n02071294,0.7439011335372925,0.9,10
n02074367,0.7289462089538574,1.0,10
n02077923,0.7574856877326965,1.0,10
n02085620,0.6939948201179504,0.9,10
n02085782,0.7530618906021118,1.0,10
n02085936,0.7558197379112244,0.9,10
n02086079,0.7615293860435486,1.0,10
n02086240,0.7555441856384277,1.0,10
n02086646,0.8247696161270142,1.0,10
n02086910,0.7473791837692261,0.8,10
n02087046,0.7940748333930969,0.9,10
n02087394,0.7380266785621643,1.0,10
n02088094,0.8503313064575195,1.0,10
n02088238,0.7869607210159302,1.0,10
n02088364,0.6904802322387695,1.0,10
n02088466,0.7810057401657104,1.0,10
n02088632,0.8154581189155579,0.9,10
n02089078,0.6211234927177429,0.6,10
n02089867,0.6475716829299927,0.9,10
n02089973,0.6498891115188599,0.8,10
n02090379,0.711071789264679,1.0,10
n02090622,0.7393678426742554,1.0,10
n02090721,0.6184114217758179,0.9,10
n02091032,0.8400548696517944,1.0,10
n02091134,0.8189447522163391,1.0,10
n02091244,0.7991069555282593,1.0,10
n02091467,0.6885326504707336,0.9,10
n02091635,0.5996036529541016,0.8,10
n02091831,0.7862950563430786,1.0,10
n02092002,0.7258663177490234,0.9,10
n02092339,0.8304380178451538,1.0,10
n02093256,0.766233503818512,0.9,10
n02093428,0.768574595451355,1.0,10
n02093647,0.5966311693191528,0.4,10
n02093754,0.7526377439498901,0.9,10
n02093859,0.7033023834228516,0.9,10
n02093991,0.6866679191589355,0.9,10
n02094114,0.6226292848587036,1.0,10
n02094258,0.691980242729187,0.9,10
n02094433,0.6967169046401978,0.8,10
n02095314,0.5550003051757812,0.6,10
n02095570,0.6456719636917114,0.7,10
n02095889,0.7542079091072083,0.9,10
n02096051,0.5500739812850952,0.5,10
n02096177,0.8040943145751953,0.9,10
n02096294,0.615326464176178,0.8,10
n02096437,0.5644048452377319,0.7,10
n02096585,0.7846409678459167,0.9,10
n02097047,0.6942003965377808,0.7,10
n02097130,0.7341984510421753,1.0,10
n02097209,0.6625164747238159,1.0,10
n02097298,0.7838446497917175,0.9,10
n02097474,0.6422697305679321,1.0,10
n02097658,0.7356483340263367,1.0,10
n02098105,0.7188483476638794,1.0,10
n02098286,0.8376283645629883,1.0,10
n02098413,0.7491970658302307,1.0,10
n02099267,0.7602623105049133,1.0,10
n02099429,0.6844218373298645,1.0,10
n02099601,0.7280260920524597,1.0,10
n02099712,0.6980828046798706,0.9,10
n02099849,0.7521828413009644,1.0,10
n02100236,0.7581093311309814,1.0,10
n02100583,0.7325841784477234,0.9,10
n02100735,0.8155490756034851,1.0,10
n02100877,0.7565703392028809,0.9,10
n02101006,0.667550265789032,0.9,10
n02101388,0.7934920191764832,1.0,10
n02101556,0.7900691032409668,1.0,10
n02102040,0.7484245300292969,0.9,10
n02102177,0.7891248464584351,1.0,10
n02102318,0.7224396467208862,0.8,10
n02102480,0.8339322805404663,1.0,10
n02102973,0.5650179982185364,0.4,10
n02104029,0.7019429206848145,0.9,10
n02104365,0.842856764793396,1.0,10
n02105056,0.7146286368370056,1.0,10
n02105162,0.7569513916969299,0.8,10
n02105251,0.7081974148750305,1.0,10
n02105412,0.7408343553543091,1.0,10
n02105505,0.7329367399215698,1.0,10
n02105641,0.5768349766731262,0.6,10
n02105855,0.6998088955879211,1.0,10
n02106030,0.6246432065963745,0.6,10
n02106166,0.7784253358840942,0.9,10
n02106382,0.6194092035293579,0.6,10
n02106550,0.6968470811843872,0.9,10
n02106662,0.6380770206451416,0.6,10
n02107142,0.6915269494056702,0.8,10
n02107312,0.6934744119644165,0.9,10
n02107574,0.6702673435211182,0.9,10
n02107683,0.6547689437866211,0.9,10
n02107908,0.6392964124679565,0.7,10
n02108000,0.6556307077407837,1.0,10
n02108089,0.7815836668014526,1.0,10
n02108422,0.7949027419090271,1.0,10
n02108551,0.7087528705596924,0.9,10
n02108915,0.7841166257858276,1.0,10
n02109047,0.8223102688789368,1.0,10
n02109525,0.7270868420600891,0.9,10
n02109961,0.7020589709281921,0.7,10
n02110063,0.7145465016365051,0.8,10
n02110185,0.7511810064315796,0.7,10
