wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.9100786447525024,1.0,10
n01443537,0.884397029876709,1.0,10
n01484850,0.7567935585975647,1.0,10
n01491361,0.7778759598731995,0.9,10
n01494475,0.7703017592430115,0.6,10
n01496331,0.7500895857810974,0.9,10
n01498041,0.8189700245857239,0.8,10
n01514668,0.8327299952507019,0.9,10
n01514859,0.8836638331413269,1.0,10
n01518878,0.8277217745780945,1.0,10
n01530575,0.8896366953849792,1.0,10
n01531178,0.8443732261657715,0.9,10
n01532829,0.8870382308959961,0.9,10
n01534433,0.8981900215148926,1.0,10
n01537544,0.7409238815307617,0.7,10
n01558993,0.8975127339363098,1.0,10
n01560419,0.8255816698074341,0.9,10
n01580077,0.7764841914176941,0.8,10
n01582220,0.7671008706092834,0.9,10
n01592084,0.8851688504219055,1.0,10
n01601694,0.7711207866668701,0.8,10
n01608432,0.8118383288383484,0.8,10
n01614925,0.8235791921615601,1.0,10
n01616318,0.835314929485321,0.9,10
n01622779,0.8448299169540405,1.0,10
n01629819,0.8770269155502319,0.9,10
n01630670,0.9249372482299805,1.0,10
n01631663,0.9386680722236633,1.0,10
n01632458,0.9285133481025696,1.0,10
n01632777,0.9106270670890808,1.0,10
n01641577,0.8839228749275208,1.0,10
n01644373,0.858572781085968,1.0,10
n01644900,0.8805813789367676,1.0,10
n01664065,0.8723386526107788,1.0,10
n01665541,0.8715492486953735,1.0,10
n01667114,0.8795315623283386,0.9,10
n01667778,0.8916419148445129,1.0,10
n01669191,0.8541591763496399,1.0,10
n01675722,0.9145748019218445,1.0,10
n01677366,0.8368514776229858,0.8,10
n01682714,0.8741811513900757,1.0,10
n01685808,0.9096829295158386,1.0,10
n01687978,0.8452867269515991,1.0,10
n01688243,0.903175950050354,1.0,10
n01689811,0.9083959460258484,1.0,10
n01692333,0.9454303979873657,1.0,10
n01693334,0.8875412940979004,1.0,10
n01694178,0.9111560583114624,1.0,10
n01695060,0.9103798866271973,0.9,10
n01697457,0.9098976850509644,1.0,10
n01698640,0.8915786743164062,1.0,10
n01704323,0.839255690574646,0.9,10
n01728572,0.8958004117012024,1.0,10
n01728920,0.8849189877510071,1.0,10
n01729322,0.9190530776977539,1.0,10
n01729977,0.9187477827072144,1.0,10
n01734418,0.9014934301376343,1.0,10
n01735189,0.8637488484382629,1.0,10
n01737021,0.9047149419784546,1.0,10
n01739381,0.7934685349464417,0.9,10
n01740131,0.8797531127929688,1.0,10
n01742172,0.8982540369033813,1.0,10
n01744401,0.914283275604248,1.0,10
n01748264,0.8909645080566406,1.0,10
n01749939,0.9017031788825989,1.0,10
n01751748,0.8147104978561401,0.8,10
n01753488,0.9339010119438171,1.0,10
n01755581,0.8826540112495422,1.0,10
n01756291,0.8943836092948914,0.9,10
n01768244,0.8730699419975281,0.9,10
n01770081,0.8198477029800415,1.0,10
n01770393,0.8691002726554871,0.9,10
n01773157,0.6143261194229126,0.7,10
n01773549,0.7666028738021851,0.9,10
n01773797,0.8869234323501587,1.0,10
n01774384,0.6570903062820435,0.8,10
n01774750,0.7314722537994385,0.7,10
n01775062,0.7042145133018494,0.8,10
n01776313,0.6643610596656799,0.5,10
n01784675,0.8382970690727234,1.0,10
n01795545,0.7943097352981567,0.9,10
n01796340,0.8638137578964233,0.9,10
n01797886,0.872177243232727,0.9,10
n01798484,0.9080163836479187,1.0,10
n01806143,0.8189074397087097,1.0,10
n01806567,0.7945652008056641,0.7,10
n01807496,0.9382622838020325,1.0,10
n01817953,0.9135633707046509,1.0,10
n01818515,0.880726158618927,1.0,10
n01819313,0.8243911862373352,0.9,10
n01820546,0.8881365656852722,1.0,10
n01824575,0.8611151576042175,1.0,10
n01828970,0.7329365611076355,0.9,10
n01829413,0.8607953786849976,1.0,10
n01833805,0.7388893365859985,0.6,10
n01843065,0.8553591966629028,0.8,10
n01843383,0.713478684425354,0.8,10
n01847000,0.8422970771789551,1.0,10
n01855032,0.7854262590408325,0.6,10
n01855672,0.7877182960510254,0.7,10
n01860187,0.747081458568573,0.7,10
n01871265,0.770910918712616,1.0,10
n01872401,0.8849312663078308,1.0,10
n01873310,0.9016415476799011,1.0,10
n01877812,0.9126631617546082,1.0,10
n01882714,0.9519509077072144,1.0,10
n01883070,0.9222553372383118,1.0,10
n01910747,0.7302664518356323,0.6,10
n01914609,0.8156196475028992,0.8,10
n01917289,0.811305820941925,0.9,10
n01924916,0.902739405632019,1.0,10
n01930112,0.8322664499282837,0.9,10
n01943899,0.8191178441047668,1.0,10
n01944390,0.8765457272529602,1.0,10
n01945685,0.9071477055549622,1.0,10
n01950731,0.8516523241996765,1.0,10
n01955084,0.8670504689216614,1.0,10
n01968897,0.7874454259872437,0.9,10
n01978287,0.9175773859024048,1.0,10
n01978455,0.9145075082778931,1.0,10
n01980166,0.8773344159126282,1.0,10
n01981276,0.9141167402267456,1.0,10
n01983481,0.9033650159835815,1.0,10
n01984695,0.8684350252151489,0.9,10
n01985128,0.8881627321243286,1.0,10
n01986214,0.8673683404922485,1.0,10
n01990800,0.8485395312309265,1.0,10
n02002556,0.7328834533691406,0.9,10
n02002724,0.8587595224380493,0.9,10
n02006656,0.7491163611412048,1.0,10
n02007558,0.9098541140556335,1.0,10
n02009229,0.8505438566207886,0.8,10
n02009912,0.6955413222312927,0.6,10
n02011460,0.897903561592102,1.0,10
n02012849,0.8524127006530762,1.0,10
n02013706,0.8169578313827515,0.8,10
n02017213,0.8541328310966492,1.0,10
n02018207,0.758732259273529,0.7,10
n02018795,0.9049327969551086,1.0,10
n02025239,0.8736757040023804,0.9,10
n02027492,0.8583357930183411,1.0,10
n02028035,0.7892705798149109,1.0,10
n02033041,0.7308327555656433,0.4,10
n02037110,0.6284253001213074,0.3,10
n02051845,0.758807361125946,1.0,10
n02056570,0.8321971893310547,0.8,10
n02058221,0.8526510000228882,1.0,10
n02066245,0.8553100824356079,0.8,10
n02071294,0.7652460336685181,0.8,10
n02074367,0.83723384141922,0.9,10
n02077923,0.8324378728866577,0.9,10
n02085620,0.8391240239143372,1.0,10
n02085782,0.8238992691040039,0.9,10
n02085936,0.8841861486434937,1.0,10
n02086079,0.8793011903762817,1.0,10
n02086240,0.9194309115409851,1.0,10
n02086646,0.8729745745658875,0.9,10
n02086910,0.8984208106994629,1.0,10
n02087046,0.8832209706306458,1.0,10
n02087394,0.8844842910766602,1.0,10
n02088094,0.9330365061759949,1.0,10
n02088238,0.8827991485595703,1.0,10
n02088364,0.8836150169372559,1.0,10
n02088466,0.8811835050582886,0.9,10
n02088632,0.8758857846260071,1.0,10
n02089078,0.7879349589347839,1.0,10
n02089867,0.8228238224983215,1.0,10
n02089973,0.8173797726631165,1.0,10
n02090379,0.903400719165802,1.0,10
n02090622,0.8960369825363159,1.0,10
n02090721,0.8505542874336243,0.9,10
n02091032,0.8828780055046082,1.0,10
n02091134,0.9056506156921387,1.0,10
n02091244,0.8561893701553345,0.9,10
n02091467,0.8447279930114746,1.0,10
n02091635,0.9278911352157593,1.0,10
n02091831,0.8162557482719421,0.9,10
n02092002,0.8411680459976196,0.9,10
n02092339,0.8837196230888367,1.0,10
n02093256,0.8095290064811707,1.0,10
n02093428,0.8409323692321777,1.0,10
n02093647,0.9040371179580688,1.0,10
n02093754,0.9097105264663696,1.0,10
n02093859,0.8410808444023132,1.0,10
n02093991,0.9243321418762207,1.0,10
n02094114,0.9137667417526245,1.0,10
n02094258,0.9349160194396973,1.0,10
n02094433,0.9036201238632202,1.0,10
n02095314,0.8888500332832336,1.0,10
n02095570,0.9144812822341919,1.0,10
n02095889,0.8817777633666992,1.0,10
n02096051,0.9056889414787292,1.0,10
n02096177,0.9458038210868835,1.0,10
n02096294,0.900141716003418,1.0,10
n02096437,0.8851495981216431,1.0,10
n02096585,0.7781268358230591,0.9,10
n02097047,0.8463724851608276,1.0,10
n02097130,0.7930415272712708,0.9,10
n02097209,0.8174106478691101,1.0,10
n02097298,0.8571809530258179,0.9,10
n02097474,0.8491202592849731,1.0,10
n02097658,0.877785325050354,1.0,10
n02098105,0.943395733833313,1.0,10
n02098286,0.9339957237243652,1.0,10
n02098413,0.8644412755966187,1.0,10
n02099267,0.827518105506897,0.9,10
n02099429,0.8135890960693359,0.8,10
n02099601,0.9144786596298218,1.0,10
n02099712,0.8108122944831848,0.8,10
n02099849,0.8361517190933228,0.9,10
n02100236,0.8955912590026855,1.0,10
n02100583,0.8878750801086426,1.0,10
n02100735,0.8731895685195923,1.0,10
n02100877,0.8905845880508423,1.0,10
n02101006,0.8816194534301758,1.0,10
n02101388,0.853752613067627,1.0,10
n02101556,0.8936400413513184,1.0,10
n02102040,0.788863480091095,0.9,10
n02102177,0.8932822346687317,1.0,10
n02102318,0.8959861993789673,0.9,10
n02102480,0.8931146860122681,1.0,10
n02102973,0.8528310656547546,1.0,10
n02104029,0.809416651725769,0.9,10
n02104365,0.8196657299995422,1.0,10
n02105056,0.7546371221542358,0.8,10
n02105162,0.9071487188339233,1.0,10
n02105251,0.8952468037605286,1.0,10
n02105412,0.7876176238059998,0.8,10
n02105505,0.8647509813308716,0.9,10
n02105641,0.8705870509147644,1.0,10
n02105855,0.8699987530708313,1.0,10
n02106030,0.9297191500663757,1.0,10
n02106166,0.8347743153572083,1.0,10
n02106382,0.8819795846939087,1.0,10
n02106550,0.8151003122329712,0.9,10
n02106662,0.8003209829330444,0.9,10
n02107142,0.7866491079330444,1.0,10
n02107312,0.842941403388977,1.0,10
n02107574,0.8231066465377808,1.0,10
n02107683,0.8284822702407837,0.9,10
n02107908,0.8094695806503296,1.0,10
n02108000,0.6806256175041199,0.8,10
n02108089,0.8635815382003784,1.0,10
n02108422,0.8679834604263306,1.0,10
n02108551,0.8885971903800964,1.0,10
n02108915,0.8529112935066223,1.0,10
n02109047,0.9022666811943054,1.0,10
n02109525,0.8607476353645325,1.0,10
n02109961,0.8657695651054382,1.0,10
n02110063,0.9202948808670044,1.0,10
n02110185,0.8424479365348816,0.9,10
n02110341,0.8652905225753784,1.0,10
n02110627,0.8818932771682739,1.0,10
n02110806,0.8403867483139038,1.0,10
n02110958,0.8410337567329407,1.0,10
n02111129,0.8482974767684937,1.0,10
n02111277,0.8239551782608032,0.8,10
n02111500,0.8534819483757019,1.0,10
n02111889,0.8889666795730591,1.0,10
n02112018,0.8595141172409058,1.0,10
n02112137,0.8964118957519531,1.0,10
n02112350,0.9111722707748413,1.0,10
n02112706,0.8558138012886047,0.9,10
n02113023,0.8927897214889526,1.0,10
n02113186,0.7406401634216309,0.7,10
n02113624,0.8848806619644165,1.0,10
n02113712,0.8691765666007996,1.0,10
n02113799,0.8671003580093384,1.0,10
n02113978,0.8645740747451782,1.0,10
n02114367,0.9140123128890991,1.0,10
n02114548,0.8156099319458008,1.0,10
n02114712,0.9156719446182251,1.0,10
n02114855,0.8837734460830688,0.9,10
n02115641,0.829060435295105,1.0,10
n02115913,0.9355775117874146,1.0,10
n02116738,0.8823043704032898,0.9,10
n02117135,0.8620966672897339,0.8,10
n02119022,0.7925169467926025,0.9,10
n02119789,0.8848077058792114,1.0,10
n02120079,0.9043505787849426,1.0,10
n02120505,0.8645534515380859,1.0,10
n02123045,0.8832624554634094,1.0,10
n02123159,0.8688383102416992,1.0,10
n02123394,0.8883708715438843,1.0,10
n02123597,0.8323890566825867,0.8,10
n02124075,0.8483765721321106,1.0,10
n02125311,0.9287209510803223,1.0,10
n02127052,0.8884250521659851,1.0,10
n02128385,0.8407011032104492,1.0,10
n02128757,0.9017218351364136,1.0,10
n02128925,0.8574966192245483,1.0,10
n02129165,0.8735459446907043,1.0,10
n02129604,0.8715358972549438,1.0,10
n02130308,0.896192729473114,1.0,10
