wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.17466187477111816,0.0,10
n01443537,0.3032951354980469,0.1,10
n01484850,0.269540011882782,0.4,10
n01491361,0.19945308566093445,0.3,10
n01494475,0.25955039262771606,0.0,10
n01496331,0.1665109097957611,0.1,10
n01498041,0.27658921480178833,0.1,10
n01514668,0.26280611753463745,0.2,10
n01514859,0.31893447041511536,0.3,10
n01518878,0.22831158339977264,0.2,10
n01530575,0.17022982239723206,0.0,10
n01531178,0.261239618062973,0.0,10
n01532829,0.26507872343063354,0.2,10
n01534433,0.24506917595863342,0.1,10
n01537544,0.1868385225534439,0.1,10
n01558993,0.18971791863441467,0.1,10
n01560419,0.21415486931800842,0.0,10
n01580077,0.2936175465583801,0.0,10
n01582220,0.3348744511604309,0.3,10
n01592084,0.27700233459472656,0.0,10
n01601694,0.2501041889190674,0.2,10
n01608432,0.2697177529335022,0.1,10
n01614925,0.29416152834892273,0.1,10
n01616318,0.3135868012905121,0.3,10
n01622779,0.241104394197464,0.0,10
n01629819,0.19204415380954742,0.0,10
n01630670,0.16095496714115143,0.1,10
n01631663,0.19504261016845703,0.1,10
n01632458,0.25240784883499146,0.1,10
n01632777,0.21849584579467773,0.0,10
n01641577,0.22436559200286865,0.0,10
n01644373,0.23096847534179688,0.2,10
n01644900,0.311644583940506,0.2,10
n01664065,0.28382548689842224,0.1,10
n01665541,0.25327327847480774,0.3,10
n01667114,0.3080766499042511,0.1,10
n01667778,0.27346596121788025,0.3,10
n01669191,0.2852288782596588,0.1,10
n01675722,0.2284357100725174,0.1,10
n01677366,0.23304033279418945,0.0,10
n01682714,0.2733142673969269,0.3,10
n01685808,0.17551358044147491,0.0,10
n01687978,0.22516481578350067,0.5,10
n01688243,0.3500308394432068,0.1,10
n01689811,0.32631126046180725,0.2,10
n01692333,0.3164578080177307,0.3,10
n01693334,0.306192010641098,0.1,10
n01694178,0.17640307545661926,0.0,10
n01695060,0.38361650705337524,0.5,10
n01697457,0.38560751080513,0.5,10
n01698640,0.4223553538322449,0.5,10
n01704323,0.3040340542793274,0.0,10
n01728572,0.240469291806221,0.2,10
n01728920,0.2914954721927643,0.1,10
n01729322,0.27393388748168945,0.3,10
n01729977,0.3507727384567261,0.6,10
n01734418,0.3155060410499573,0.3,10
n01735189,0.2854219377040863,0.1,10
n01737021,0.3431093096733093,0.2,10
n01739381,0.27035799622535706,0.1,10
n01740131,0.33261337876319885,0.4,10
n01742172,0.3109329640865326,0.7,10
n01744401,0.34708327054977417,0.0,10
n01748264,0.21875016391277313,0.0,10
n01749939,0.30428189039230347,0.2,10
n01751748,0.24798019230365753,0.1,10
n01753488,0.20788414776325226,0.1,10
n01755581,0.3337995111942291,0.3,10
n01756291,0.2980049252510071,0.8,10
n01768244,0.35011056065559387,0.3,10
n01770081,0.3495970368385315,0.3,10
n01770393,0.2505529522895813,0.0,10
n01773157,0.2525264024734497,0.0,10
n01773549,0.2664940357208252,0.2,10
n01773797,0.3506891429424286,0.7,10
n01774384,0.28629329800605774,0.0,10
n01774750,0.3721107542514801,0.4,10
n01775062,0.24345740675926208,0.1,10
n01776313,0.10494069755077362,0.0,10
n01784675,0.28389233350753784,0.4,10
n01795545,0.22872772812843323,0.0,10
