wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.5497219562530518,0.2,10
n01443537,0.3672424256801605,0.0,10
n01484850,0.3371144235134125,0.3,10
n01491361,0.30286625027656555,0.5,10
n01494475,0.26742789149284363,0.1,10
n01496331,0.4259724020957947,0.3,10
n01498041,0.5067328214645386,0.2,10
n01514668,0.46636947989463806,0.4,10
n01514859,0.5797023773193359,0.5,10
n01518878,0.5733157396316528,0.7,10
n01530575,0.5077143907546997,0.2,10
n01531178,0.44251999258995056,0.2,10
n01532829,0.4797118306159973,0.3,10
n01534433,0.42527875304222107,0.4,10
n01537544,0.34545958042144775,0.2,10
n01558993,0.3144461512565613,0.1,10
n01560419,0.2210511714220047,0.0,10
n01580077,0.3091999590396881,0.0,10
n01582220,0.6286643743515015,0.8,10
n01592084,0.3814792037010193,0.2,10
n01601694,0.4201927185058594,0.3,10
n01608432,0.5144151449203491,0.1,10
n01614925,0.5039153099060059,0.2,10
n01616318,0.6284381747245789,0.5,10
n01622779,0.5798962116241455,0.6,10
n01629819,0.6343389749526978,0.2,10
n01630670,0.4560421407222748,0.3,10
n01631663,0.40697813034057617,0.2,10
n01632458,0.5961304903030396,0.3,10
n01632777,0.4571213722229004,0.4,10
n01641577,0.6266904473304749,0.7,10
n01644373,0.49629315733909607,0.3,10
n01644900,0.672170102596283,0.7,10
n01664065,0.5189600586891174,0.2,10
n01665541,0.5792766809463501,0.5,10
n01667114,0.5962915420532227,0.5,10
n01667778,0.528953492641449,0.4,10
n01669191,0.38557228446006775,0.4,10
n01675722,0.6040136218070984,0.5,10
n01677366,0.619477391242981,0.4,10
n01682714,0.37599265575408936,0.5,10
n01685808,0.46502619981765747,0.1,10
n01687978,0.5027859210968018,0.6,10
n01688243,0.7494620084762573,0.9,10
n01689811,0.6622473001480103,0.8,10
n01692333,0.7070125341415405,0.7,10
n01693334,0.54569411277771,0.7,10
n01694178,0.5728325247764587,0.2,10
n01695060,0.5432758927345276,0.5,10
n01697457,0.6787718534469604,0.5,10
n01698640,0.6881598234176636,0.6,10
n01704323,0.6720369458198547,0.6,10
n01728572,0.5371812582015991,0.3,10
n01728920,0.45901745557785034,0.5,10
n01729322,0.6953870058059692,0.9,10
n01729977,0.4505748748779297,0.4,10
n01734418,0.6313532590866089,0.5,10
n01735189,0.5316634774208069,0.5,10
n01737021,0.5906990766525269,0.3,10
n01739381,0.44025883078575134,0.5,10
n01740131,0.6328380703926086,0.7,10
n01742172,0.6260587573051453,0.8,10
n01744401,0.618467390537262,0.5,10
n01748264,0.4795624315738678,0.4,10
n01749939,0.4247611165046692,0.2,10
n01751748,0.6235284805297852,0.2,10
n01753488,0.5628561973571777,0.7,10
n01755581,0.6196209788322449,0.7,10
n01756291,0.641192615032196,0.7,10
n01768244,0.7549903988838196,0.9,10
n01770081,0.6039852499961853,0.9,10
n01770393,0.6597754955291748,0.6,10
n01773157,0.431851327419281,0.1,10
n01773549,0.5893252491950989,0.6,10
n01773797,0.43928295373916626,0.8,10
n01774384,0.45341426134109497,0.2,10
n01774750,0.5664047598838806,0.5,10
n01775062,0.41159185767173767,0.1,10
n01776313,0.289553165435791,0.1,10
n01784675,0.5031083822250366,0.4,10
n01795545,0.4058128297328949,0.1,10
n01796340,0.6242594718933105,0.7,10
n01797886,0.5294827222824097,0.6,10
n01798484,0.5073820352554321,0.3,10
n01806143,0.6023261547088623,0.2,10
n01806567,0.6129528880119324,0.6,10
n01807496,0.5528508424758911,0.2,10
n01817953,0.6349501013755798,0.4,10
n01818515,0.4974774420261383,0.1,10
n01819313,0.5846160650253296,0.4,10
n01820546,0.42002153396606445,0.1,10
n01824575,0.5495185256004333,0.4,10
n01828970,0.3133147954940796,0.1,10
n01829413,0.5668293237686157,0.5,10
n01833805,0.3903518319129944,0.4,10
n01843065,0.2912144064903259,0.1,10
n01843383,0.45131808519363403,0.2,10
n01847000,0.6528095006942749,0.5,10
n01855032,0.19459450244903564,0.0,10
n01855672,0.444657564163208,0.2,10
n01860187,0.5554220676422119,0.2,10
n01871265,0.6517391204833984,0.3,10
n01872401,0.6346691846847534,0.1,10
n01873310,0.5135737061500549,0.2,10
n01877812,0.6222753524780273,0.2,10
n01882714,0.5903783440589905,0.6,10
n01883070,0.6417654156684875,0.6,10
n01910747,0.47730889916419983,0.4,10
n01914609,0.5474287867546082,0.1,10
n01917289,0.5078005790710449,0.4,10
n01924916,0.6864477396011353,0.5,10
n01930112,0.30581244826316833,0.2,10
n01943899,0.4750237464904785,0.4,10
n01944390,0.5120577812194824,0.4,10
n01945685,0.5143972635269165,0.4,10
n01950731,0.6442475318908691,0.7,10
n01955084,0.6907654404640198,0.5,10
n01968897,0.5442026257514954,0.4,10
n01978287,0.6179358959197998,0.5,10
n01978455,0.7070635557174683,0.6,10
n01980166,0.6274980902671814,0.4,10
n01981276,0.5610100030899048,0.4,10
n01983481,0.7020583152770996,0.9,10
n01984695,0.6586393117904663,0.7,10
n01985128,0.6967294812202454,0.8,10
n01986214,0.6385381817817688,0.5,10
n01990800,0.5002997517585754,0.4,10
n02002556,0.540605902671814,0.4,10
n02002724,0.4782838821411133,0.3,10
n02006656,0.45997753739356995,0.2,10
n02007558,0.4901849329471588,0.2,10
n02009229,0.594844400882721,0.3,10
n02009912,0.524280846118927,0.2,10
n02011460,0.6265011429786682,0.2,10
n02012849,0.4996766149997711,0.5,10
n02013706,0.6328860521316528,0.2,10
n02017213,0.3565675914287567,0.1,10
n02018207,0.4914802610874176,0.4,10
n02018795,0.5993512272834778,0.4,10
n02025239,0.4447705149650574,0.1,10
n02027492,0.4888189435005188,0.2,10
n02028035,0.42006969451904297,0.5,10
n02033041,0.4886724054813385,0.2,10
n02037110,0.33859217166900635,0.3,10
n02051845,0.6814121603965759,0.7,10
n02056570,0.6132524609565735,0.6,10
n02058221,0.46398085355758667,0.2,10
n02066245,0.48862284421920776,0.3,10
n02071294,0.3816828727722168,0.4,10
n02074367,0.327910453081131,0.0,10
n02077923,0.6206836104393005,0.4,10
n02085620,0.29850178956985474,0.0,10
n02085782,0.2801174521446228,0.1,10
n02085936,0.2495223730802536,0.2,10
n02086079,0.36768558621406555,0.1,10
n02086240,0.37205761671066284,0.3,10
n02086646,0.33164674043655396,0.1,10
n02086910,0.2905765473842621,0.2,10
n02087046,0.4296467900276184,0.4,10
n02087394,0.4377427101135254,0.4,10
n02088094,0.6268656253814697,0.6,10
n02088238,0.46054115891456604,0.3,10
n02088364,0.43571266531944275,0.4,10
n02088466,0.44845858216285706,0.6,10
n02088632,0.5895251035690308,0.3,10
n02089078,0.35396677255630493,0.2,10
n02089867,0.3923335671424866,0.3,10
n02089973,0.3575507402420044,0.2,10
n02090379,0.42832136154174805,0.0,10
n02090622,0.49300312995910645,0.7,10
n02090721,0.49178189039230347,0.7,10
n02091032,0.48415690660476685,0.5,10
n02091134,0.5283669233322144,0.8,10
n02091244,0.4873335361480713,0.5,10
n02091467,0.43729323148727417,0.6,10
n02091635,0.4103603959083557,0.2,10
n02091831,0.6011322736740112,0.6,10
n02092002,0.5399171113967896,0.3,10
n02092339,0.44842639565467834,0.2,10
n02093256,0.5290311574935913,0.4,10
n02093428,0.4236099123954773,0.5,10
