wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.8192843198776245,0.8,10
n01443537,0.7148433923721313,0.7,10
n01484850,0.6749609112739563,0.6,10
n01491361,0.5976049304008484,0.7,10
n01494475,0.6245748400688171,0.4,10
n01496331,0.7391824722290039,0.9,10
n01498041,0.7636849284172058,0.9,10
n01514668,0.845851719379425,0.9,10
n01514859,0.8994368314743042,1.0,10
n01518878,0.8014127612113953,0.9,10
n01530575,0.8370758295059204,0.9,10
n01531178,0.8093101382255554,0.7,10
n01532829,0.917568027973175,1.0,10
n01534433,0.836789608001709,0.8,10
n01537544,0.8724174499511719,1.0,10
n01558993,0.9141198396682739,0.9,10
n01560419,0.847077488899231,0.9,10
n01580077,0.8891345262527466,0.9,10
n01582220,0.9029682874679565,1.0,10
n01592084,0.9018428921699524,1.0,10
n01601694,0.8935688734054565,1.0,10
n01608432,0.8029810190200806,0.9,10
n01614925,0.9063998460769653,1.0,10
n01616318,0.8712019920349121,1.0,10
n01622779,0.8598195314407349,0.9,10
n01629819,0.9586365818977356,1.0,10
n01630670,0.8435109257698059,0.9,10
n01631663,0.7608453631401062,0.7,10
n01632458,0.9483290910720825,1.0,10
n01632777,0.7780730724334717,0.8,10
n01641577,0.8946942090988159,1.0,10
n01644373,0.798078179359436,0.9,10
n01644900,0.8193955421447754,0.8,10
n01664065,0.8462088704109192,1.0,10
n01665541,0.8708109855651855,1.0,10
n01667114,0.8890088796615601,1.0,10
n01667778,0.8745291829109192,1.0,10
n01669191,0.8928104639053345,1.0,10
n01675722,0.872412383556366,1.0,10
n01677366,0.93494713306427,1.0,10
n01682714,0.7783242464065552,1.0,10
n01685808,0.9301926493644714,1.0,10
n01687978,0.8781784176826477,1.0,10
n01688243,0.9312676191329956,1.0,10
n01689811,0.8844397664070129,1.0,10
n01692333,0.9154224395751953,1.0,10
n01693334,0.8967204093933105,1.0,10
n01694178,0.8778200149536133,0.8,10
n01695060,0.937386691570282,1.0,10
n01697457,0.8814195394515991,1.0,10
n01698640,0.8931924700737,1.0,10
n01704323,0.8866645097732544,1.0,10
n01728572,0.8385277986526489,0.9,10
n01728920,0.8236351013183594,0.9,10
n01729322,0.9226080179214478,1.0,10
n01729977,0.8886387944221497,1.0,10
