wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.8342264890670776,1.0,10
n01443537,0.8308032155036926,1.0,10
n01484850,0.6847399473190308,0.9,10
n01491361,0.6006245017051697,0.8,10
n01494475,0.6558231115341187,0.5,10
n01496331,0.6246837377548218,0.8,10
n01498041,0.6997734904289246,0.5,10
n01514668,0.6708661317825317,0.7,10
n01514859,0.7184507250785828,0.9,10
n01518878,0.7131212949752808,0.8,10
n01530575,0.8013550639152527,0.9,10
n01531178,0.5973199605941772,0.5,10
n01532829,0.8079236745834351,0.9,10
n01534433,0.7933354377746582,0.6,10
n01537544,0.44907307624816895,0.3,10
n01558993,0.7302577495574951,0.6,10
n01560419,0.6857558488845825,0.6,10
n01580077,0.6348891854286194,0.6,10
n01582220,0.5679386258125305,0.4,10
n01592084,0.7711740732192993,0.8,10
n01601694,0.632032036781311,0.6,10
n01608432,0.7220093607902527,0.7,10
n01614925,0.7592608332633972,1.0,10
n01616318,0.7544184923171997,0.9,10
n01622779,0.6545333862304688,0.6,10
n01629819,0.5913581848144531,0.6,10
n01630670,0.7961728572845459,0.8,10
n01631663,0.7997545599937439,1.0,10
n01632458,0.7194284796714783,0.6,10
n01632777,0.7927291989326477,0.9,10
n01641577,0.7723605632781982,0.9,10
n01644373,0.723715603351593,0.8,10
n01644900,0.7631711959838867,0.7,10
n01664065,0.8224453926086426,1.0,10
n01665541,0.7560121417045593,0.9,10
n01667114,0.7514142990112305,0.6,10
n01667778,0.7959531545639038,1.0,10
n01669191,0.7158074378967285,0.9,10
n01675722,0.8380222320556641,0.9,10
n01677366,0.659614622592926,0.5,10
n01682714,0.7248140573501587,0.7,10
n01685808,0.7279991507530212,0.7,10
n01687978,0.7431133985519409,0.9,10
n01688243,0.8335387110710144,1.0,10
n01689811,0.8264670372009277,0.9,10
n01692333,0.8622822761535645,0.9,10
n01693334,0.7969733476638794,0.8,10
n01694178,0.788486897945404,0.9,10
n01695060,0.8449517488479614,0.9,10
n01697457,0.8280752897262573,1.0,10
n01698640,0.8072723150253296,0.9,10
n01704323,0.7179242372512817,0.7,10
n01728572,0.8206036686897278,1.0,10
n01728920,0.7693034410476685,0.9,10
n01729322,0.8432971835136414,1.0,10
n01729977,0.8112090826034546,1.0,10
n01734418,0.8020898103713989,0.8,10
n01735189,0.7561184167861938,0.8,10
n01737021,0.8450832366943359,1.0,10
n01739381,0.637745201587677,0.6,10
n01740131,0.6715039014816284,0.9,10
n01742172,0.8086768984794617,0.9,10
n01744401,0.8397528529167175,1.0,10
n01748264,0.7965959310531616,1.0,10
n01749939,0.7875948548316956,0.9,10
n01751748,0.6038693785667419,0.5,10
n01753488,0.8557866811752319,1.0,10
n01755581,0.7988080382347107,1.0,10
n01756291,0.8188270330429077,0.8,10
n01768244,0.800064206123352,0.8,10
n01770081,0.698093593120575,0.8,10
n01770393,0.768438994884491,0.5,10
n01773157,0.45012998580932617,0.4,10
n01773549,0.7018458247184753,0.8,10
n01773797,0.7150463461875916,1.0,10
n01774384,0.4909330904483795,0.4,10
n01774750,0.617013156414032,0.6,10
n01775062,0.5981996655464172,0.3,10
n01776313,0.4768471121788025,0.2,10
n01784675,0.7014018297195435,0.9,10
n01795545,0.631447434425354,0.6,10
n01796340,0.7687863707542419,0.8,10
n01797886,0.7454129457473755,0.9,10
n01798484,0.8320492506027222,0.9,10
