wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.5521928668022156,0.8,10
n01443537,0.7157506942749023,0.8,10
n01484850,0.5599716305732727,0.8,10
n01491361,0.6683629751205444,0.9,10
n01494475,0.667694091796875,0.7,10
n01496331,0.7272079586982727,0.9,10
n01498041,0.6408224701881409,0.5,10
n01514668,0.3170747756958008,0.3,10
n01514859,0.40336355566978455,0.3,10
n01518878,0.46115225553512573,0.2,10
n01530575,0.5474609136581421,0.5,10
n01531178,0.3433442711830139,0.1,10
n01532829,0.439133882522583,0.4,10
n01534433,0.5151974558830261,0.4,10
n01537544,0.393437922000885,0.3,10
n01558993,0.44363507628440857,0.4,10
n01560419,0.5488390326499939,0.4,10
n01580077,0.35647594928741455,0.0,10
n01582220,0.40007954835891724,0.5,10
n01592084,0.6494914889335632,0.7,10
n01601694,0.6080662608146667,0.8,10
n01608432,0.4260789453983307,0.3,10
n01614925,0.5448768138885498,0.6,10
n01616318,0.4844796657562256,0.5,10
n01622779,0.3539559841156006,0.2,10
n01629819,0.3446468710899353,0.1,10
n01630670,0.5713744759559631,0.6,10
n01631663,0.5415194630622864,0.5,10
n01632458,0.5048731565475464,0.6,10
n01632777,0.8012133836746216,0.8,10
n01641577,0.6551775336265564,0.6,10
n01644373,0.7182810306549072,0.7,10
n01644900,0.4970189929008484,0.6,10
n01664065,0.6478564739227295,0.8,10
n01665541,0.6294646859169006,0.7,10
n01667114,0.5379481911659241,0.7,10
n01667778,0.6390447020530701,0.5,10
n01669191,0.5224937200546265,0.4,10
n01675722,0.6301930546760559,0.6,10
n01677366,0.332746297121048,0.0,10
n01682714,0.6745597720146179,0.9,10
n01685808,0.2864932119846344,0.1,10
n01687978,0.4349658489227295,0.5,10
n01688243,0.6003748178482056,0.6,10
n01689811,0.4732596278190613,0.4,10
n01692333,0.4453655779361725,0.3,10
n01693334,0.5457183122634888,0.4,10
n01694178,0.40558546781539917,0.2,10
n01695060,0.3813354969024658,0.1,10
n01697457,0.5405613780021667,0.6,10
n01698640,0.4363950788974762,0.3,10
n01704323,0.6553801894187927,0.7,10
n01728572,0.5197154879570007,0.8,10
n01728920,0.5746726989746094,0.6,10
n01729322,0.5396558046340942,0.5,10
n01729977,0.6163788437843323,0.7,10
n01734418,0.46227970719337463,0.4,10
n01735189,0.46733158826828003,0.6,10
n01737021,0.5210215449333191,0.4,10
n01739381,0.5771494507789612,0.5,10
