wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.5938730239868164,0.5,10
n01443537,0.3834828734397888,0.2,10
n01484850,0.39057236909866333,0.6,10
n01491361,0.3743472099304199,0.5,10
n01494475,0.2728091776371002,0.0,10
n01496331,0.6684959530830383,0.8,10
n01498041,0.5789650082588196,0.7,10
n01514668,0.42946362495422363,0.2,10
n01514859,0.5901579856872559,0.7,10
n01518878,0.5431798696517944,0.4,10
n01530575,0.5327058434486389,0.5,10
n01531178,0.39972561597824097,0.3,10
n01532829,0.4394286572933197,0.4,10
n01534433,0.42500409483909607,0.4,10
n01537544,0.2764633595943451,0.1,10
n01558993,0.38147613406181335,0.1,10
n01560419,0.3476335406303406,0.1,10
n01580077,0.36110082268714905,0.2,10
n01582220,0.599574089050293,0.4,10
n01592084,0.43415379524230957,0.1,10
n01601694,0.4913443624973297,0.5,10
n01608432,0.47555238008499146,0.4,10
n01614925,0.5598722696304321,0.6,10
n01616318,0.5852434635162354,0.6,10
n01622779,0.615022599697113,0.6,10
n01629819,0.7035006880760193,0.6,10
n01630670,0.6372002363204956,0.7,10
n01631663,0.5019629001617432,0.3,10
n01632458,0.5863118767738342,0.5,10
n01632777,0.5413411855697632,0.4,10
n01641577,0.8144341707229614,1.0,10
n01644373,0.569893479347229,0.5,10
n01644900,0.7617294192314148,1.0,10
n01664065,0.690207302570343,0.8,10
n01665541,0.7140779495239258,1.0,10
n01667114,0.7186093330383301,0.9,10
n01667778,0.7368585467338562,0.9,10
n01669191,0.5914549827575684,0.8,10
n01675722,0.7254452705383301,0.8,10
n01677366,0.7234337329864502,0.9,10
n01682714,0.4117524027824402,0.3,10
n01685808,0.6945317387580872,0.7,10
n01687978,0.7320786118507385,0.9,10
n01688243,0.7823445200920105,0.9,10
n01689811,0.7486087083816528,1.0,10
n01692333,0.8400601148605347,0.9,10
n01693334,0.589970052242279,0.6,10
n01694178,0.6957839131355286,0.8,10
n01695060,0.8408031463623047,1.0,10
n01697457,0.7998616099357605,1.0,10
n01698640,0.7567952871322632,0.9,10
n01704323,0.6788046956062317,0.5,10
n01728572,0.5251778364181519,0.4,10
n01728920,0.43600478768348694,0.2,10
n01729322,0.7647460699081421,0.9,10
n01729977,0.5342139005661011,0.7,10
n01734418,0.7607120275497437,0.8,10
n01735189,0.585810661315918,0.4,10
n01737021,0.614727795124054,0.5,10
n01739381,0.2732399106025696,0.3,10
n01740131,0.7256389856338501,0.9,10
n01742172,0.7467952966690063,1.0,10
n01744401,0.7561485767364502,0.9,10
n01748264,0.7088703513145447,0.8,10
n01749939,0.3782181739807129,0.4,10
n01751748,0.7262803912162781,0.9,10
n01753488,0.8082809448242188,1.0,10
n01755581,0.7996552586555481,1.0,10
n01756291,0.8853778839111328,1.0,10
n01768244,0.8102353811264038,1.0,10
n01770081,0.4832475781440735,0.3,10
n01770393,0.7747479677200317,0.8,10
n01773157,0.33242931962013245,0.1,10
n01773549,0.5742701888084412,0.9,10
n01773797,0.5596030354499817,0.9,10
n01774384,0.3544606566429138,0.1,10
n01774750,0.5902013778686523,0.5,10
n01775062,0.5045808553695679,0.4,10
n01776313,0.4718027114868164,0.2,10
n01784675,0.4734113812446594,0.4,10
n01795545,0.4797932505607605,0.5,10
n01796340,0.6697206497192383,0.7,10
n01797886,0.6622964143753052,0.8,10
n01798484,0.6062197685241699,0.8,10
n01806143,0.48829513788223267,0.1,10
n01806567,0.6604719161987305,0.8,10
n01807496,0.6646628975868225,0.7,10
n01817953,0.6140302419662476,0.5,10
n01818515,0.4556615948677063,0.1,10
n01819313,0.4928121566772461,0.4,10
n01820546,0.37198406457901,0.1,10
n01824575,0.4941490590572357,0.4,10
n01828970,0.341836154460907,0.1,10
n01829413,0.5963469743728638,0.3,10
n01833805,0.4001320004463196,0.3,10
n01843065,0.3080713152885437,0.0,10
n01843383,0.41212359070777893,0.2,10
n01847000,0.5822421312332153,0.4,10
n01855032,0.3499087691307068,0.0,10
n01855672,0.4982985854148865,0.2,10
n01860187,0.6439937353134155,0.6,10
n01871265,0.5666210651397705,0.3,10
n01872401,0.5291844606399536,0.2,10
n01873310,0.6427971720695496,0.5,10
n01877812,0.7278228402137756,0.9,10
n01882714,0.7754361033439636,1.0,10
n01883070,0.7477154731750488,1.0,10
n01910747,0.417693555355072,0.4,10
n01914609,0.5239826440811157,0.4,10
n01917289,0.7225863933563232,1.0,10
n01924916,0.7837600708007812,0.8,10
n01930112,0.3245900869369507,0.2,10
n01943899,0.5343128442764282,0.5,10
n01944390,0.5554302930831909,0.5,10
n01945685,0.6496038436889648,0.9,10
n01950731,0.7680445313453674,1.0,10
n01955084,0.8060656785964966,1.0,10
n01968897,0.40716853737831116,0.2,10
n01978287,0.8125187158584595,0.9,10
n01978455,0.8151904940605164,1.0,10
n01980166,0.781917929649353,0.8,10
n01981276,0.7465324997901917,1.0,10
n01983481,0.7255758047103882,0.8,10
n01984695,0.7760264277458191,1.0,10
n01985128,0.7471007704734802,0.8,10
n01986214,0.6576618552207947,0.9,10
n01990800,0.655454158782959,0.7,10
n02002556,0.4470400810241699,0.0,10
n02002724,0.5513507127761841,0.2,10
n02006656,0.3880811333656311,0.3,10
n02007558,0.4627777934074402,0.3,10
n02009229,0.6225411295890808,0.4,10
n02009912,0.43969908356666565,0.2,10
n02011460,0.6109169721603394,0.3,10
n02012849,0.5280376672744751,0.6,10
n02013706,0.6217638850212097,0.5,10
n02017213,0.5081418752670288,0.4,10
n02018207,0.5668765902519226,0.5,10
n02018795,0.6142374277114868,0.5,10
n02025239,0.6083804368972778,0.7,10
n02027492,0.4816617965698242,0.2,10
n02028035,0.3723248839378357,0.3,10
