wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.03126611188054085,0.0,10
n01443537,0.01424294151365757,0.0,10
n01484850,0.010977273806929588,0.0,10
n01491361,0.011474335566163063,0.0,10
n01494475,0.021659648045897484,0.0,10
n01496331,0.013961476273834705,0.1,10
n01498041,0.011841947212815285,0.0,10
n01514668,0.010815727524459362,0.0,10
n01514859,0.011145198717713356,0.0,10
n01518878,0.007414626888930798,0.0,10
n01530575,0.008764714002609253,0.0,10
n01531178,0.0047074975445866585,0.0,10
n01532829,0.011006658896803856,0.0,10
n01534433,0.004652607254683971,0.0,10
n01537544,0.005135559942573309,0.0,10
n01558993,0.0041291117668151855,0.0,10
n01560419,0.010349852032959461,0.0,10
n01580077,0.005444580223411322,0.0,10
n01582220,0.019358079880475998,0.0,10
n01592084,0.008028596639633179,0.0,10
n01601694,0.010742533020675182,0.0,10
n01608432,0.009321731515228748,0.0,10
n01614925,0.005500668194144964,0.0,10
n01616318,0.013130242004990578,0.0,10
n01622779,0.01640712097287178,0.0,10
n01629819,0.009623211808502674,0.0,10
n01630670,0.012737470678985119,0.1,10
n01631663,0.019801193848252296,0.0,10
n01632458,0.00761523237451911,0.0,10
n01632777,0.01969991996884346,0.0,10
n01641577,0.02875312604010105,0.0,10
n01644373,0.020582277327775955,0.0,10
n01644900,0.014523232355713844,0.0,10
n01664065,0.021068090572953224,0.0,10
n01665541,0.011632775887846947,0.2,10
n01667114,0.013832753524184227,0.2,10
n01667778,0.01549500785768032,0.1,10
n01669191,0.020051395520567894,0.0,10
n01675722,0.010542357340455055,0.0,10
n01677366,0.022862184792757034,0.0,10
n01682714,0.006833267398178577,0.0,10
n01685808,0.020353663712739944,0.0,10
n01687978,0.013883245177567005,0.0,10
n01688243,0.025123238563537598,0.0,10
n01689811,0.017683077603578568,0.0,10
n01692333,0.016468262299895287,0.0,10
n01693334,0.01078680157661438,0.1,10
n01694178,0.02366356924176216,0.0,10
n01695060,0.014112627133727074,0.0,10
n01697457,0.009120059199631214,0.0,10
n01698640,0.012080085463821888,0.0,10
n01704323,0.023567700758576393,0.0,10
n01728572,0.008158540353178978,0.1,10
n01728920,0.013856994919478893,0.0,10
n01729322,0.010784333571791649,0.0,10
n01729977,0.011529719457030296,0.0,10
n01734418,0.007636374328285456,0.0,10
n01735189,0.010041934438049793,0.0,10
n01737021,0.017433911561965942,0.0,10
n01739381,0.03502625226974487,0.0,10
n01740131,0.008912628516554832,0.0,10
n01742172,0.028426896780729294,0.2,10
n01744401,0.01566704548895359,0.0,10
n01748264,0.009824270382523537,0.0,10
n01749939,0.034891050308942795,0.0,10
n01751748,0.012125099077820778,0.0,10
n01753488,0.005204969551414251,0.1,10
n01755581,0.013735061511397362,0.0,10
n01756291,0.007198959589004517,0.1,10
n01768244,0.02717188000679016,0.1,10
n01770081,0.010687947273254395,0.0,10
n01770393,0.01886812411248684,0.0,10
n01773157,0.012006628327071667,0.0,10
n01773549,0.0323600172996521,0.0,10
n01773797,0.003241205122321844,0.1,10
n01774384,0.020130038261413574,0.0,10
n01774750,0.028926068916916847,0.1,10
n01775062,0.017305344343185425,0.0,10
n01776313,0.00908207893371582,0.0,10
n01784675,0.006210350897163153,0.0,10
n01795545,0.022442471235990524,0.0,10
n01796340,0.010907012037932873,0.0,10
n01797886,0.011057430878281593,0.0,10
n01798484,0.007026201579719782,0.0,10
n01806143,0.008578335866332054,0.0,10
n01806567,0.01618822291493416,0.1,10
n01807496,0.005289959721267223,0.0,10
n01817953,0.011320489458739758,0.0,10
n01818515,0.03734557703137398,0.0,10
n01819313,0.01041268091648817,0.0,10
n01820546,0.017298853024840355,0.0,10
n01824575,0.024223793298006058,0.0,10
n01828970,0.004305833484977484,0.0,10
n01829413,0.012545973062515259,0.0,10
n01833805,0.007947075180709362,0.0,10
n01843065,0.0038800835609436035,0.0,10
n01843383,0.021143484860658646,0.0,10
n01847000,0.006488913204520941,0.0,10
n01855032,0.004252976272255182,0.0,10
n01855672,0.011288982816040516,0.0,10
n01860187,0.010692114010453224,0.0,10
n01871265,0.025474702939391136,0.0,10
n01872401,0.007291686721146107,0.0,10
n01873310,0.020554596558213234,0.0,10
n01877812,0.013289856724441051,0.0,10
n01882714,0.01690274477005005,0.0,10
n01883070,0.014160973019897938,0.0,10
n01910747,0.013747620396316051,0.0,10
n01914609,0.01138257421553135,0.0,10
n01917289,0.013012582436203957,0.0,10
n01924916,0.010220438241958618,0.0,10
n01930112,0.024067532271146774,0.0,10
n01943899,0.018377304077148438,0.0,10
n01944390,0.018340956419706345,0.0,10
n01945685,0.012054264545440674,0.0,10
n01950731,0.01725950837135315,0.0,10
n01955084,0.014511292800307274,0.0,10
n01968897,0.020100366324186325,0.0,10
n01978287,0.012679261155426502,0.0,10
n01978455,0.008193349465727806,0.0,10
n01980166,0.015716368332505226,0.0,10
n01981276,0.013832640834152699,0.1,10
n01983481,0.014351988211274147,0.0,10
n01984695,0.014700072817504406,0.0,10
n01985128,0.018156904727220535,0.1,10
n01986214,0.009786844253540039,0.0,10
n01990800,0.0222687479108572,0.0,10
n02002556,0.005804187152534723,0.0,10
n02002724,0.02204034850001335,0.0,10
n02006656,0.006406026892364025,0.0,10
n02007558,0.010512595996260643,0.0,10
n02009229,0.0131709398701787,0.0,10
n02009912,0.019220352172851562,0.0,10
n02011460,0.006335091777145863,0.0,10
n02012849,0.0070792436599731445,0.1,10
n02013706,0.010720258578658104,0.0,10
n02017213,0.008673620410263538,0.0,10
n02018207,0.010308409109711647,0.0,10
n02018795,0.005980926565825939,0.0,10
n02025239,0.01574050262570381,0.0,10
n02027492,0.006506574340164661,0.0,10
n02028035,0.008536535315215588,0.0,10
n02033041,0.0047418298199772835,0.0,10
n02037110,0.01009421981871128,0.0,10
n02051845,0.009158879518508911,0.0,10
n02056570,0.0044776201248168945,0.0,10
n02058221,0.005293113179504871,0.0,10
n02066245,0.012074803933501244,0.0,10
n02071294,0.008664870634675026,0.0,10
n02074367,0.0071756900288164616,0.0,10
n02077923,0.018577110022306442,0.1,10
n02085620,0.018756473436951637,0.1,10
n02085782,0.01210101880133152,0.0,10
n02085936,0.007744777016341686,0.0,10
n02086079,0.010781222954392433,0.0,10
n02086240,0.010380864143371582,0.0,10
n02086646,0.009691876359283924,0.0,10
n02086910,0.012073886580765247,0.0,10
n02087046,0.010188311338424683,0.1,10
n02087394,0.007330018095672131,0.0,10
n02088094,0.010614561848342419,0.0,10
n02088238,0.013951349072158337,0.0,10
n02088364,0.011736899614334106,0.0,10
n02088466,0.018065422773361206,0.1,10
n02088632,0.013155537657439709,0.0,10
n02089078,0.013104021549224854,0.0,10
n02089867,0.016248565167188644,0.0,10
n02089973,0.013576483353972435,0.0,10
n02090379,0.00871008075773716,0.0,10
n02090622,0.01017994899302721,0.0,10
n02090721,0.018782716244459152,0.0,10
n02091032,0.010870223864912987,0.1,10
n02091134,0.00868147611618042,0.0,10
n02091244,0.011370295658707619,0.0,10
n02091467,0.008619243279099464,0.0,10
n02091635,0.008005088195204735,0.0,10
n02091831,0.008487546816468239,0.0,10
n02092002,0.013171738013625145,0.0,10
n02092339,0.010690194554626942,0.0,10
n02093256,0.017524218186736107,0.0,10
n02093428,0.022563081234693527,0.0,10
n02093647,0.009928351268172264,0.0,10
n02093754,0.012733888812363148,0.0,10
n02093859,0.014547014608979225,0.0,10
n02093991,0.010233068838715553,0.1,10
n02094114,0.009860617108643055,0.1,10
n02094258,0.02104273997247219,0.0,10
n02094433,0.017981212586164474,0.0,10
n02095314,0.013785773888230324,0.0,10
n02095570,0.008315438404679298,0.1,10
n02095889,0.021070873364806175,0.0,10
n02096051,0.015938568860292435,0.0,10
n02096177,0.007451367564499378,0.0,10
n02096294,0.023392468690872192,0.3,10
n02096437,0.016196805983781815,0.1,10
n02096585,0.01129772700369358,0.0,10
n02097047,0.01785207912325859,0.0,10
n02097130,0.013877594843506813,0.0,10
n02097209,0.012700855731964111,0.0,10
n02097298,0.012113213539123535,0.1,10
n02097474,0.013910007663071156,0.1,10
n02097658,0.030049603432416916,0.2,10
n02098105,0.009288365021348,0.0,10
n02098286,0.013378823176026344,0.0,10
n02098413,0.009546482935547829,0.2,10
n02099267,0.017428208142518997,0.0,10
n02099429,0.010906201787292957,0.0,10
n02099601,0.008059203624725342,0.0,10
n02099712,0.014553952030837536,0.0,10
n02099849,0.013706845231354237,0.0,10
n02100236,0.013723659329116344,0.0,10
n02100583,0.005512791685760021,0.0,10
n02100735,0.015768814831972122,0.0,10
n02100877,0.014707034453749657,0.0,10
n02101006,0.03823119401931763,0.1,10
n02101388,0.012368792667984962,0.0,10
n02101556,0.012151902541518211,0.0,10
n02102040,0.016906190663576126,0.0,10
n02102177,0.00852783303707838,0.0,10
n02102318,0.021984796971082687,0.0,10
n02102480,0.025379985570907593,0.0,10
n02102973,0.009569520130753517,0.0,10
n02104029,0.013009893707931042,0.0,10
n02104365,0.015354800038039684,0.1,10
n02105056,0.031246578320860863,0.0,10
n02105162,0.008754109963774681,0.0,10
n02105251,0.012954527512192726,0.1,10
n02105412,0.010894602164626122,0.0,10
n02105505,0.008037013001739979,0.1,10
n02105641,0.014624476432800293,0.0,10
n02105855,0.010171723552048206,0.1,10
n02106030,0.0055224597454071045,0.0,10
n02106166,0.010364240035414696,0.0,10
n02106382,0.016559481620788574,0.0,10
n02106550,0.014026177115738392,0.0,10
n02106662,0.018161028623580933,0.0,10
n02107142,0.025513553991913795,0.0,10
n02107312,0.02153646945953369,0.0,10
n02107574,0.01278468407690525,0.0,10
n02107683,0.031198780983686447,0.0,10
n02107908,0.012709247879683971,0.1,10
n02108000,0.00942995585501194,0.0,10
n02108089,0.011036312207579613,0.0,10
n02108422,0.01569150760769844,0.2,10
n02108551,0.019510453566908836,0.0,10
n02108915,0.011076015420258045,0.0,10
n02109047,0.01791907474398613,0.0,10
n02109525,0.012745839543640614,0.0,10
n02109961,0.008943307213485241,0.0,10
n02110063,0.008849364705383778,0.0,10
n02110185,0.007760149426758289,0.0,10
n02110341,0.012514084577560425,0.0,10
n02110627,0.018767302855849266,0.0,10
n02110806,0.013260865584015846,0.0,10
n02110958,0.010693317279219627,0.0,10
n02111129,0.011927932500839233,0.0,10
n02111277,0.022338956594467163,0.0,10
n02111500,0.00888797640800476,0.0,10
n02111889,0.007910186424851418,0.0,10
n02112018,0.006723737809807062,0.0,10
n02112137,0.004835599567741156,0.0,10
n02112350,0.00913587212562561,0.0,10
n02112706,0.023428821936249733,0.0,10
n02113023,0.010006207041442394,0.0,10
n02113186,0.011757510714232922,0.0,10
n02113624,0.009519284591078758,0.2,10
n02113712,0.010798675008118153,0.0,10
n02113799,0.02068338915705681,0.1,10
n02113978,0.006912595126777887,0.0,10
n02114367,0.011949914507567883,0.0,10
n02114548,0.010958706960082054,0.0,10
n02114712,0.007924551144242287,0.2,10
n02114855,0.012196129187941551,0.0,10
n02115641,0.010990488342940807,0.1,10
n02115913,0.011052477173507214,0.0,10
n02116738,0.02064201794564724,0.0,10
