wnid,mean_drift,spillover_rate,n_imgs,corruption,severity
n01440764,0.1089073047041893,0.0,10,gaussian_noise,1
n01443537,0.2614265382289886,0.1,10,gaussian_noise,1
n01484850,0.1420229226350784,0.2,10,gaussian_noise,1
n01491361,0.1234238147735595,0.0,10,gaussian_noise,1
n01494475,0.1499913930892944,0.0,10,gaussian_noise,1
n01496331,0.1060444936156272,0.2,10,gaussian_noise,1
n01498041,0.1659670174121856,0.0,10,gaussian_noise,1
n01514668,0.0916603207588195,0.1,10,gaussian_noise,1
n01514859,0.1221911907196044,0.0,10,gaussian_noise,1
n01518878,0.0735249072313308,0.0,10,gaussian_noise,1
n01530575,0.1071457266807556,0.0,10,gaussian_noise,1
n01531178,0.0595388188958168,0.0,10,gaussian_noise,1
n01532829,0.0675752982497215,0.0,10,gaussian_noise,1
n01534433,0.0806411877274513,0.0,10,gaussian_noise,1
n01537544,0.0763773247599601,0.0,10,gaussian_noise,1
n01558993,0.0650416910648346,0.1,10,gaussian_noise,1
n01560419,0.0890481770038604,0.0,10,gaussian_noise,1
n01580077,0.0665140002965927,0.0,10,gaussian_noise,1
n01582220,0.0587214119732379,0.0,10,gaussian_noise,1
n01592084,0.11710786819458,0.0,10,gaussian_noise,1
n01601694,0.1208632439374923,0.1,10,gaussian_noise,1
n01608432,0.1431314200162887,0.0,10,gaussian_noise,1
n01614925,0.0859540775418281,0.0,10,gaussian_noise,1
n01616318,0.1016841158270835,0.1,10,gaussian_noise,1
n01622779,0.0914345532655716,0.0,10,gaussian_noise,1
n01629819,0.0249474234879016,0.0,10,gaussian_noise,1
n01630670,0.1249985471367836,0.1,10,gaussian_noise,1
n01631663,0.0686804950237274,0.0,10,gaussian_noise,1
n01632458,0.1013048440217971,0.0,10,gaussian_noise,1
n01632777,0.161988615989685,0.1,10,gaussian_noise,1
n01641577,0.0851605981588363,0.0,10,gaussian_noise,1
n01644373,0.0762905329465866,0.1,10,gaussian_noise,1
n01644900,0.1901672929525375,0.2,10,gaussian_noise,1
n01664065,0.2092369496822357,0.1,10,gaussian_noise,1
n01665541,0.1347966492176056,0.1,10,gaussian_noise,1
n01667114,0.1365176886320114,0.4,10,gaussian_noise,1
n01667778,0.249666690826416,0.1,10,gaussian_noise,1
n01669191,0.1067956909537315,0.1,10,gaussian_noise,1
n01675722,0.1102726459503173,0.0,10,gaussian_noise,1
n01677366,0.0931059196591377,0.0,10,gaussian_noise,1
n01682714,0.1324575096368789,0.0,10,gaussian_noise,1
n01685808,0.0927902609109878,0.0,10,gaussian_noise,1
n01687978,0.1031288132071495,0.3,10,gaussian_noise,1
n01688243,0.1361770331859588,0.0,10,gaussian_noise,1
n01689811,0.1688299626111984,0.1,10,gaussian_noise,1
n01692333,0.1491627246141433,0.1,10,gaussian_noise,1
n01693334,0.1457661092281341,0.0,10,gaussian_noise,1
n01694178,0.092458888888359,0.0,10,gaussian_noise,1
n01695060,0.1521870791912078,0.0,10,gaussian_noise,1
n01697457,0.1720972657203674,0.4,10,gaussian_noise,1
n01698640,0.1345395147800445,0.0,10,gaussian_noise,1
n01704323,0.1531240195035934,0.0,10,gaussian_noise,1
n01728572,0.1079115718603134,0.0,10,gaussian_noise,1
n01728920,0.1181245595216751,0.1,10,gaussian_noise,1
n01729322,0.1915378123521804,0.2,10,gaussian_noise,1
n01729977,0.1272839158773422,0.0,10,gaussian_noise,1
n01734418,0.0950293391942977,0.1,10,gaussian_noise,1
n01735189,0.1060475260019302,0.1,10,gaussian_noise,1
n01737021,0.2147053033113479,0.2,10,gaussian_noise,1
n01739381,0.1057623401284217,0.1,10,gaussian_noise,1
n01740131,0.1379361152648925,0.3,10,gaussian_noise,1
n01742172,0.1071633324027061,0.3,10,gaussian_noise,1
n01744401,0.1700895577669143,0.1,10,gaussian_noise,1
n01748264,0.0946371927857399,0.0,10,gaussian_noise,1
