wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.42834043502807617,0.1,10
n01443537,0.4500959515571594,0.2,10
n01484850,0.3617924451828003,0.1,10
n01491361,0.36722198128700256,0.0,10
n01494475,0.31346815824508667,0.0,10
n01496331,0.34664779901504517,0.1,10
n01498041,0.3449193835258484,0.2,10
n01514668,0.4053460955619812,0.0,10
n01514859,0.37818044424057007,0.0,10
n01518878,0.296830952167511,0.0,10
n01530575,0.3817761242389679,0.0,10
n01531178,0.3936862349510193,0.0,10
n01532829,0.3797813057899475,0.0,10
n01534433,0.3305209279060364,0.0,10
n01537544,0.29763659834861755,0.0,10
n01558993,0.3469131588935852,0.1,10
n01560419,0.3672313094139099,0.0,10
n01580077,0.3503699004650116,0.0,10
n01582220,0.36315375566482544,0.1,10
n01592084,0.380317747592926,0.0,10
n01601694,0.3532673716545105,0.2,10
n01608432,0.41127458214759827,0.2,10
n01614925,0.33805495500564575,0.0,10
n01616318,0.36286982893943787,0.1,10
n01622779,0.3536592125892639,0.0,10
n01629819,0.366452693939209,0.0,10
n01630670,0.444845587015152,0.1,10
n01631663,0.38822227716445923,0.0,10
n01632458,0.44366455078125,0.1,10
n01632777,0.4603230357170105,0.1,10
n01641577,0.3769128918647766,0.0,10
n01644373,0.4361761212348938,0.1,10
n01644900,0.49187415838241577,0.3,10
n01664065,0.3343961834907532,0.1,10
n01665541,0.3781965672969818,0.2,10
n01667114,0.43607693910598755,0.4,10
n01667778,0.3656298816204071,0.1,10
n01669191,0.3547667860984802,0.0,10
n01675722,0.41915541887283325,0.0,10
n01677366,0.3435494303703308,0.0,10
n01682714,0.45142030715942383,0.1,10
n01685808,0.35374268889427185,0.0,10
n01687978,0.37531957030296326,0.2,10
n01688243,0.41743963956832886,0.0,10
n01689811,0.35586532950401306,0.0,10
n01692333,0.35714471340179443,0.0,10
n01693334,0.42287713289260864,0.3,10
n01694178,0.4308033585548401,0.0,10
n01695060,0.37690773606300354,0.0,10
n01697457,0.3251156508922577,0.2,10
n01698640,0.3811172842979431,0.0,10
n01704323,0.48111486434936523,0.1,10
n01728572,0.2561757564544678,0.0,10
n01728920,0.34838905930519104,0.1,10
n01729322,0.4368511736392975,0.1,10
n01729977,0.4698483943939209,0.0,10
n01734418,0.3534552752971649,0.0,10
n01735189,0.4075927734375,0.1,10
n01737021,0.3502653241157532,0.0,10
n01739381,0.35841625928878784,0.0,10
n01740131,0.24888662993907928,0.0,10
n01742172,0.3548012375831604,0.2,10
n01744401,0.39058783650398254,0.0,10
n01748264,0.3609679341316223,0.1,10
n01749939,0.4043408930301666,0.1,10
n01751748,0.32153767347335815,0.1,10
n01753488,0.3370465636253357,0.0,10
n01755581,0.4339527189731598,0.0,10
n01756291,0.2896643579006195,0.2,10
n01768244,0.40131229162216187,0.0,10
n01770081,0.38697755336761475,0.2,10
n01770393,0.3733882009983063,0.0,10
n01773157,0.2879880368709564,0.0,10
n01773549,0.36864978075027466,0.2,10
n01773797,0.28767621517181396,0.0,10
n01774384,0.4418615698814392,0.1,10
n01774750,0.4033220410346985,0.1,10
n01775062,0.4118728041648865,0.0,10
n01776313,0.2539593577384949,0.0,10
n01784675,0.24100437760353088,0.0,10
n01795545,0.38029366731643677,0.0,10
n01796340,0.3313811421394348,0.0,10
n01797886,0.4159853458404541,0.0,10
n01798484,0.29228129982948303,0.1,10
n01806143,0.32982301712036133,0.0,10
n01806567,0.3532997965812683,0.1,10
n01807496,0.3652556538581848,0.1,10
n01817953,0.3927438259124756,0.0,10
n01818515,0.35047829151153564,0.0,10
n01819313,0.3473113477230072,0.1,10
n01820546,0.3911278247833252,0.0,10
n01824575,0.3667416572570801,0.2,10
n01828970,0.34405264258384705,0.0,10
n01829413,0.3808060586452484,0.1,10
n01833805,0.39133548736572266,0.2,10
n01843065,0.37643560767173767,0.0,10
n01843383,0.39126986265182495,0.1,10
n01847000,0.3929324746131897,0.0,10
