wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.18712741136550903,0.0,10
n01443537,0.2541144788265228,0.0,10
n01484850,0.22593148052692413,0.4,10
n01491361,0.16931232810020447,0.1,10
n01494475,0.15779633820056915,0.0,10
n01496331,0.1929737776517868,0.0,10
n01498041,0.3136230707168579,0.2,10
n01514668,0.17457255721092224,0.2,10
n01514859,0.16558901965618134,0.2,10
n01518878,0.18753445148468018,0.0,10
n01530575,0.1963958442211151,0.2,10
n01531178,0.15684624016284943,0.0,10
n01532829,0.2842903435230255,0.1,10
n01534433,0.22621068358421326,0.2,10
n01537544,0.17627860605716705,0.1,10
n01558993,0.14823190867900848,0.1,10
n01560419,0.16414716839790344,0.1,10
n01580077,0.1746295988559723,0.0,10
n01582220,0.3019755482673645,0.0,10
n01592084,0.24264726042747498,0.1,10
n01601694,0.3049861788749695,0.3,10
n01608432,0.24702301621437073,0.2,10
n01614925,0.20609478652477264,0.2,10
n01616318,0.3424319326877594,0.4,10
n01622779,0.29672375321388245,0.0,10
n01629819,0.1453319489955902,0.0,10
n01630670,0.2335474193096161,0.2,10
n01631663,0.17419898509979248,0.0,10
n01632458,0.25589853525161743,0.3,10
n01632777,0.1464470475912094,0.0,10
n01641577,0.24201913177967072,0.3,10
n01644373,0.189678356051445,0.2,10
n01644900,0.3656283915042877,0.3,10
n01664065,0.33982330560684204,0.3,10
n01665541,0.3350948095321655,0.4,10
n01667114,0.3800533413887024,0.7,10
n01667778,0.27489304542541504,0.1,10
n01669191,0.2316891849040985,0.3,10
n01675722,0.25533246994018555,0.2,10
n01677366,0.34755921363830566,0.1,10
n01682714,0.2549918293952942,0.3,10
n01685808,0.1552780419588089,0.0,10
n01687978,0.23363439738750458,0.2,10
n01688243,0.3475683927536011,0.2,10
n01689811,0.4078609347343445,0.4,10
n01692333,0.3096654415130615,0.2,10
n01693334,0.3441212773323059,0.3,10
n01694178,0.21539965271949768,0.0,10
n01695060,0.37943750619888306,0.2,10
n01697457,0.5266453623771667,0.5,10
