wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.29019418358802795,0.1,10
n01443537,0.44147640466690063,0.4,10
n01484850,0.3060077428817749,0.2,10
n01491361,0.3809167742729187,0.3,10
n01494475,0.46592897176742554,0.4,10
n01496331,0.5777826905250549,0.9,10
n01498041,0.43673476576805115,0.6,10
n01514668,0.3308858573436737,0.2,10
n01514859,0.3188098967075348,0.4,10
n01518878,0.3928220272064209,0.3,10
n01530575,0.3194595277309418,0.2,10
n01531178,0.2183915376663208,0.0,10
n01532829,0.4153532385826111,0.2,10
n01534433,0.29568734765052795,0.1,10
n01537544,0.18564391136169434,0.0,10
n01558993,0.19186195731163025,0.1,10
n01560419,0.35987502336502075,0.3,10
n01580077,0.215074822306633,0.0,10
n01582220,0.40237465500831604,0.4,10
n01592084,0.3220336437225342,0.1,10
n01601694,0.396448016166687,0.2,10
n01608432,0.514392614364624,0.3,10
n01614925,0.27453023195266724,0.1,10
n01616318,0.4040682315826416,0.2,10
n01622779,0.44462084770202637,0.3,10
n01629819,0.07818920910358429,0.0,10
n01630670,0.3698301911354065,0.4,10
n01631663,0.2836759686470032,0.1,10
n01632458,0.30391725897789,0.3,10
n01632777,0.4303642213344574,0.3,10
n01641577,0.3925948143005371,0.3,10
n01644373,0.4724753499031067,0.3,10
n01644900,0.4512489438056946,0.6,10
n01664065,0.37454384565353394,0.4,10
n01665541,0.4786999821662903,0.6,10
n01667114,0.48870205879211426,0.6,10
n01667778,0.43833160400390625,0.6,10
n01669191,0.4307435154914856,0.3,10
n01675722,0.4287300109863281,0.4,10
n01677366,0.47313016653060913,0.4,10
n01682714,0.5860633850097656,0.7,10
n01685808,0.583028256893158,0.6,10
n01687978,0.3840978145599365,0.4,10
n01688243,0.5585195422172546,0.6,10
n01689811,0.6465684175491333,0.8,10
n01692333,0.2843363285064697,0.2,10
n01693334,0.48296040296554565,0.2,10
n01694178,0.5438032150268555,0.4,10
n01695060,0.46313977241516113,0.4,10
n01697457,0.35999244451522827,0.5,10
n01698640,0.4106764793395996,0.6,10
n01704323,0.5849224328994751,0.6,10
n01728572,0.5018792152404785,0.5,10
n01728920,0.568783164024353,0.5,10
n01729322,0.5336564183235168,0.3,10
n01729977,0.4972948133945465,0.6,10
n01734418,0.35970792174339294,0.1,10
n01735189,0.41968315839767456,0.3,10
n01737021,0.5196474194526672,0.3,10
n01739381,0.5796993970870972,0.5,10
n01740131,0.5840247869491577,0.9,10
n01742172,0.4553346037864685,0.6,10
n01744401,0.4521428048610687,0.2,10
n01748264,0.6909903287887573,0.6,10
n01749939,0.6066427230834961,0.5,10
n01751748,0.3440646231174469,0.5,10
n01753488,0.39921194314956665,0.5,10
n01755581,0.5267273187637329,0.6,10
n01756291,0.32000532746315,0.4,10
n01768244,0.6243119835853577,0.8,10
n01770081,0.544233500957489,0.8,10
n01770393,0.3545893728733063,0.1,10
n01773157,0.22810277342796326,0.0,10
n01773549,0.4239733815193176,0.3,10
n01773797,0.24275977909564972,0.1,10
n01774384,0.6053529381752014,0.7,10
n01774750,0.3844755291938782,0.1,10
n01775062,0.5443328022956848,0.4,10
