wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.5390522480010986,0.0,10
n01443537,0.668843686580658,0.4,10
n01484850,0.6306902766227722,0.3,10
n01491361,0.6161356568336487,0.0,10
n01494475,0.6983622908592224,0.3,10
n01496331,0.5453196167945862,0.2,10
n01498041,0.5567782521247864,0.2,10
n01514668,0.5012611746788025,0.0,10
n01514859,0.49695301055908203,0.0,10
n01518878,0.39995986223220825,0.0,10
n01530575,0.48136085271835327,0.0,10
n01531178,0.5317913293838501,0.0,10
n01532829,0.5250095129013062,0.0,10
n01534433,0.4751225411891937,0.0,10
n01537544,0.5311844944953918,0.0,10
n01558993,0.4560195505619049,0.1,10
n01560419,0.4674277901649475,0.0,10
n01580077,0.4669090807437897,0.0,10
n01582220,0.5110173225402832,0.3,10
n01592084,0.5040119886398315,0.0,10
n01601694,0.4961950182914734,0.1,10
n01608432,0.5440038442611694,0.0,10
n01614925,0.46039968729019165,0.0,10
n01616318,0.522070050239563,0.0,10
n01622779,0.4657396376132965,0.0,10
n01629819,0.45106157660484314,0.0,10
n01630670,0.5429784059524536,0.1,10
n01631663,0.4731413424015045,0.0,10
n01632458,0.5065088272094727,0.0,10
n01632777,0.6302510499954224,0.2,10
n01641577,0.4916302263736725,0.0,10
n01644373,0.5505264401435852,0.2,10
n01644900,0.518283486366272,0.3,10
n01664065,0.5731353759765625,0.1,10
n01665541,0.5704315900802612,0.4,10
n01667114,0.5181784629821777,0.3,10
n01667778,0.5900829434394836,0.2,10
n01669191,0.4934581220149994,0.0,10
n01675722,0.5573031902313232,0.1,10
n01677366,0.4616808295249939,0.0,10
n01682714,0.6099401712417603,0.2,10
n01685808,0.4348769187927246,0.0,10
n01687978,0.49073171615600586,0.2,10
n01688243,0.5320703983306885,0.2,10
n01689811,0.5480193495750427,0.2,10
n01692333,0.555823564529419,0.0,10
n01693334,0.5512176752090454,0.1,10
n01694178,0.580117404460907,0.0,10
n01695060,0.5499336123466492,0.0,10
n01697457,0.5013117790222168,0.3,10
n01698640,0.5540672540664673,0.3,10
n01704323,0.5601181983947754,0.1,10
n01728572,0.49721747636795044,0.1,10
n01728920,0.4981631338596344,0.0,10
n01729322,0.6205722093582153,0.3,10
n01729977,0.5592492818832397,0.0,10
n01734418,0.5083127021789551,0.0,10
n01735189,0.4226957857608795,0.0,10
n01737021,0.5532934665679932,0.3,10
n01739381,0.5366169214248657,0.3,10
n01740131,0.5560647249221802,0.5,10
n01742172,0.4825879633426666,0.2,10
n01744401,0.5252305269241333,0.0,10
n01748264,0.4521973133087158,0.0,10
n01749939,0.5272363424301147,0.3,10
n01751748,0.527998149394989,0.3,10
n01753488,0.5233737230300903,0.2,10
n01755581,0.5661177039146423,0.2,10
n01756291,0.4820329248905182,0.6,10
n01768244,0.6012915372848511,0.0,10
n01770081,0.5049403309822083,0.2,10
n01770393,0.4819718301296234,0.1,10
n01773157,0.4102591574192047,0.0,10
n01773549,0.5463594198226929,0.3,10
n01773797,0.48074159026145935,0.0,10
n01774384,0.4874885678291321,0.1,10
n01774750,0.48230868577957153,0.1,10
n01775062,0.5423232316970825,0.0,10
n01776313,0.4686576724052429,0.0,10
n01784675,0.5741337537765503,0.1,10
n01795545,0.5109555125236511,0.0,10
n01796340,0.538740873336792,0.1,10
n01797886,0.504477322101593,0.0,10
n01798484,0.5361077785491943,0.0,10
n01806143,0.4481967091560364,0.0,10
n01806567,0.509222686290741,0.1,10
n01807496,0.48875993490219116,0.1,10
n01817953,0.5700666904449463,0.1,10
n01818515,0.4751037657260895,0.1,10
n01819313,0.4956125319004059,0.0,10
n01820546,0.44242793321609497,0.0,10
n01824575,0.5133377313613892,0.2,10
n01828970,0.5606702566146851,0.0,10
n01829413,0.48659124970436096,0.1,10
n01833805,0.5437745451927185,0.3,10
