wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.4485843777656555,0.0,10
n01443537,0.6170796155929565,0.6,10
n01484850,0.4780994951725006,0.4,10
n01491361,0.5442334413528442,0.2,10
n01494475,0.5870906114578247,0.3,10
n01496331,0.3586239218711853,0.3,10
n01498041,0.5026084184646606,0.4,10
n01514668,0.4012209475040436,0.1,10
n01514859,0.3445919156074524,0.0,10
n01518878,0.33294206857681274,0.0,10
n01530575,0.3953956961631775,0.0,10
n01531178,0.3654305040836334,0.0,10
n01532829,0.40395769476890564,0.0,10
n01534433,0.5173340439796448,0.1,10
n01537544,0.37386664748191833,0.0,10
n01558993,0.3878006339073181,0.1,10
n01560419,0.39805975556373596,0.1,10
n01580077,0.3931361138820648,0.0,10
n01582220,0.3770255446434021,0.1,10
n01592084,0.4817471504211426,0.1,10
n01601694,0.39320382475852966,0.2,10
n01608432,0.43091124296188354,0.2,10
n01614925,0.3868529200553894,0.0,10
n01616318,0.5024744272232056,0.2,10
n01622779,0.4448379576206207,0.1,10
n01629819,0.292446106672287,0.0,10
n01630670,0.41031989455223083,0.1,10
n01631663,0.44484901428222656,0.2,10
n01632458,0.4659823775291443,0.1,10
n01632777,0.6144965887069702,0.3,10
n01641577,0.4150954782962799,0.1,10
n01644373,0.4941454827785492,0.2,10
n01644900,0.5056837201118469,0.5,10
n01664065,0.4607628285884857,0.4,10
n01665541,0.43577489256858826,0.6,10
n01667114,0.4648462235927582,0.3,10
n01667778,0.5055049657821655,0.3,10
n01669191,0.3659537434577942,0.0,10
n01675722,0.5462106466293335,0.3,10
n01677366,0.3391108214855194,0.0,10
n01682714,0.5641175508499146,0.5,10
n01685808,0.372996985912323,0.1,10
n01687978,0.33748653531074524,0.2,10
n01688243,0.43620291352272034,0.1,10
n01689811,0.46233993768692017,0.3,10
n01692333,0.48659849166870117,0.2,10
n01693334,0.46167343854904175,0.3,10
n01694178,0.4582137167453766,0.1,10
n01695060,0.45125120878219604,0.2,10
n01697457,0.5137289762496948,0.5,10
n01698640,0.4121183454990387,0.2,10
n01704323,0.599495530128479,0.4,10
n01728572,0.4171125888824463,0.2,10
n01728920,0.43191567063331604,0.2,10
n01729322,0.4808114171028137,0.2,10
n01729977,0.5746985673904419,0.4,10
n01734418,0.4321525990962982,0.1,10
n01735189,0.3591473698616028,0.1,10
n01737021,0.5001285076141357,0.3,10
n01739381,0.5138691067695618,0.3,10
n01740131,0.4832615852355957,0.5,10
n01742172,0.4359140396118164,0.5,10
n01744401,0.62192302942276,0.4,10
n01748264,0.4439864158630371,0.3,10
n01749939,0.5637880563735962,0.3,10
n01751748,0.4862883687019348,0.4,10
n01753488,0.5765503644943237,0.7,10
n01755581,0.44760337471961975,0.2,10
