wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.4073827862739563,0.2,10
n01443537,0.6185976266860962,0.6,10
n01484850,0.5135201215744019,0.4,10
n01491361,0.4144464135169983,0.2,10
n01494475,0.5958932042121887,0.4,10
n01496331,0.46884098649024963,0.5,10
n01498041,0.6532955765724182,0.3,10
n01514668,0.2752715051174164,0.1,10
n01514859,0.4264460504055023,0.3,10
n01518878,0.3501734137535095,0.2,10
n01530575,0.5295130610466003,0.5,10
n01531178,0.29105108976364136,0.1,10
n01532829,0.48495808243751526,0.4,10
n01534433,0.3531876504421234,0.1,10
n01537544,0.17142634093761444,0.0,10
n01558993,0.27883100509643555,0.1,10
n01560419,0.4350197911262512,0.2,10
n01580077,0.2715825140476227,0.0,10
n01582220,0.33362799882888794,0.3,10
n01592084,0.447725385427475,0.1,10
n01601694,0.48818525671958923,0.4,10
n01608432,0.487773597240448,0.4,10
n01614925,0.41994786262512207,0.3,10
n01616318,0.4517595171928406,0.3,10
n01622779,0.47862595319747925,0.3,10
n01629819,0.21113410592079163,0.0,10
n01630670,0.5201023817062378,0.4,10
n01631663,0.32614558935165405,0.1,10
n01632458,0.5128906965255737,0.2,10
n01632777,0.49930232763290405,0.4,10
n01641577,0.3435298800468445,0.2,10
n01644373,0.37778276205062866,0.1,10
n01644900,0.6010767221450806,0.8,10
n01664065,0.6665531396865845,0.6,10
n01665541,0.5776845812797546,0.3,10
n01667114,0.5583522319793701,0.6,10
n01667778,0.6713545918464661,0.6,10
n01669191,0.4921768307685852,0.3,10
n01675722,0.6044731140136719,0.8,10
n01677366,0.3087845742702484,0.0,10
n01682714,0.47670555114746094,0.5,10
n01685808,0.35641545057296753,0.1,10
n01687978,0.3907049596309662,0.2,10
n01688243,0.5616273880004883,0.4,10
n01689811,0.6360764503479004,0.5,10
n01692333,0.49289655685424805,0.3,10
n01693334,0.4988441467285156,0.2,10
n01694178,0.5121618509292603,0.3,10
n01695060,0.5380092263221741,0.3,10
n01697457,0.5171205401420593,0.6,10
n01698640,0.5984644889831543,0.6,10
n01704323,0.5997714400291443,0.4,10
n01728572,0.6929866671562195,0.8,10
n01728920,0.5665931701660156,0.4,10
n01729322,0.6477963924407959,0.9,10
n01729977,0.5596923828125,0.6,10
n01734418,0.4266943037509918,0.2,10
n01735189,0.4226256310939789,0.3,10
n01737021,0.700778603553772,0.8,10
n01739381,0.34024497866630554,0.2,10
n01740131,0.4973061978816986,0.4,10
n01742172,0.44370871782302856,0.6,10
n01744401,0.6764057278633118,0.6,10
n01748264,0.49555978178977966,0.3,10
n01749939,0.5631516575813293,0.7,10
n01751748,0.4531685411930084,0.3,10
n01753488,0.601912260055542,0.2,10
n01755581,0.5963780283927917,0.5,10
n01756291,0.5077444911003113,0.6,10
n01768244,0.6274187564849854,0.6,10
n01770081,0.6292284727096558,0.5,10
n01770393,0.4661230146884918,0.4,10
n01773157,0.29499703645706177,0.1,10
n01773549,0.5165096521377563,0.4,10
n01773797,0.4445825517177582,0.4,10
n01774384,0.41326960921287537,0.2,10
n01774750,0.35904809832572937,0.2,10
n01775062,0.4038635790348053,0.0,10
n01776313,0.3106153607368469,0.1,10
