wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.2517383396625519,0.0,10
n01443537,0.273824542760849,0.1,10
n01484850,0.221103236079216,0.1,10
n01491361,0.29372936487197876,0.1,10
n01494475,0.2906409502029419,0.1,10
n01496331,0.2717341482639313,0.1,10
n01498041,0.3608449399471283,0.6,10
n01514668,0.27397456765174866,0.3,10
n01514859,0.2775551378726959,0.4,10
n01518878,0.1799391806125641,0.0,10
n01530575,0.24237613379955292,0.1,10
n01531178,0.16675493121147156,0.0,10
n01532829,0.4714992642402649,0.2,10
n01534433,0.254705548286438,0.2,10
n01537544,0.16140669584274292,0.1,10
n01558993,0.1967582106590271,0.1,10
n01560419,0.20008759200572968,0.1,10
n01580077,0.2110806703567505,0.0,10
n01582220,0.4623757004737854,0.5,10
n01592084,0.23799903690814972,0.1,10
n01601694,0.3606095314025879,0.3,10
n01608432,0.3335367739200592,0.2,10
n01614925,0.2911377549171448,0.3,10
n01616318,0.42668023705482483,0.5,10
n01622779,0.3453769385814667,0.1,10
n01629819,0.1294521540403366,0.0,10
n01630670,0.2565920054912567,0.1,10
n01631663,0.17823371291160583,0.0,10
n01632458,0.3199947774410248,0.3,10
n01632777,0.18289904296398163,0.0,10
n01641577,0.3893960118293762,0.6,10
n01644373,0.2772102355957031,0.3,10
n01644900,0.4039563536643982,0.5,10
n01664065,0.37888264656066895,0.3,10
n01665541,0.3695984482765198,0.3,10
n01667114,0.5121797919273376,0.7,10
n01667778,0.4370121359825134,0.4,10
n01669191,0.40110379457473755,0.5,10
n01675722,0.29806938767433167,0.1,10
n01677366,0.4705846309661865,0.5,10
n01682714,0.3521502912044525,0.3,10
n01685808,0.20671406388282776,0.0,10
n01687978,0.2724636197090149,0.3,10
n01688243,0.4966835081577301,0.5,10
n01689811,0.5700722932815552,0.7,10
n01692333,0.3061569333076477,0.1,10
n01693334,0.4126518666744232,0.2,10
n01694178,0.26805320382118225,0.1,10
n01695060,0.5016692876815796,0.4,10
n01697457,0.5638545751571655,0.7,10
n01698640,0.5740126967430115,0.7,10
n01704323,0.5039581060409546,0.3,10
n01728572,0.27914097905158997,0.3,10
n01728920,0.3194659650325775,0.1,10
n01729322,0.4961007535457611,0.7,10
n01729977,0.3637625277042389,0.4,10
n01734418,0.4003967344760895,0.3,10
n01735189,0.34074902534484863,0.1,10
n01737021,0.4366590082645416,0.3,10
n01739381,0.3949888348579407,0.3,10
n01740131,0.47848597168922424,0.5,10
n01742172,0.4281589388847351,0.6,10
n01744401,0.49151474237442017,0.4,10
n01748264,0.4052761197090149,0.4,10
n01749939,0.44015198945999146,0.4,10
n01751748,0.3374318480491638,0.5,10
n01753488,0.3120073676109314,0.2,10
n01755581,0.498269647359848,0.8,10
n01756291,0.2667704224586487,0.3,10
n01768244,0.5929145216941833,0.6,10
n01770081,0.6091210246086121,0.7,10
n01770393,0.3199349045753479,0.2,10
n01773157,0.22200186550617218,0.2,10
n01773549,0.340266615152359,0.2,10
n01773797,0.3030613362789154,0.8,10
n01774384,0.29967471957206726,0.4,10
n01774750,0.2911056578159332,0.1,10
n01775062,0.2689109742641449,0.3,10
n01776313,0.12593594193458557,0.0,10
n01784675,0.2654281556606293,0.2,10
n01795545,0.2002544105052948,0.0,10
