wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.21044102311134338,0.0,10
n01443537,0.4308554530143738,0.3,10
n01484850,0.26940661668777466,0.2,10
n01491361,0.21842126548290253,0.0,10
n01494475,0.28219348192214966,0.0,10
n01496331,0.2084888219833374,0.1,10
n01498041,0.3365563452243805,0.1,10
n01514668,0.20208163559436798,0.1,10
n01514859,0.2311876118183136,0.1,10
n01518878,0.18494506180286407,0.0,10
n01530575,0.20743420720100403,0.2,10
n01531178,0.1609664112329483,0.1,10
n01532829,0.2005893886089325,0.1,10
n01534433,0.1900031864643097,0.0,10
n01537544,0.11509444564580917,0.0,10
n01558993,0.12655159831047058,0.1,10
n01560419,0.23579561710357666,0.0,10
n01580077,0.12868835031986237,0.0,10
n01582220,0.19834187626838684,0.2,10
n01592084,0.20906145870685577,0.0,10
n01601694,0.29021701216697693,0.2,10
n01608432,0.26405447721481323,0.1,10
n01614925,0.2189645767211914,0.1,10
n01616318,0.21722455322742462,0.0,10
n01622779,0.21990439295768738,0.1,10
n01629819,0.0638028234243393,0.0,10
n01630670,0.253438264131546,0.2,10
n01631663,0.14885258674621582,0.0,10
n01632458,0.2581399083137512,0.0,10
n01632777,0.28182563185691833,0.1,10
n01641577,0.1751440167427063,0.1,10
n01644373,0.18176916241645813,0.1,10
n01644900,0.37259501218795776,0.4,10
n01664065,0.42267027497291565,0.1,10
n01665541,0.3216896951198578,0.1,10
n01667114,0.30236130952835083,0.5,10
n01667778,0.4320676922798157,0.3,10
n01669191,0.24363842606544495,0.2,10
n01675722,0.3141844868659973,0.1,10
n01677366,0.20598450303077698,0.0,10
n01682714,0.2956731915473938,0.2,10
n01685808,0.1557927429676056,0.0,10
n01687978,0.25339382886886597,0.2,10
n01688243,0.27455148100852966,0.0,10
n01689811,0.3365006446838379,0.2,10
n01692333,0.26961255073547363,0.1,10
n01693334,0.2842676341533661,0.2,10
n01694178,0.24421954154968262,0.0,10
n01695060,0.2984295189380646,0.1,10
n01697457,0.3483230471611023,0.5,10
n01698640,0.31809860467910767,0.3,10
n01704323,0.3087601959705353,0.1,10
n01728572,0.3215177655220032,0.4,10
n01728920,0.3535989224910736,0.2,10
n01729322,0.39067015051841736,0.4,10
n01729977,0.24772682785987854,0.2,10
n01734418,0.17369195818901062,0.1,10
n01735189,0.2660718560218811,0.2,10
n01737021,0.39539435505867004,0.3,10
n01739381,0.22175195813179016,0.1,10
n01740131,0.3250959515571594,0.5,10
n01742172,0.23807939887046814,0.5,10
n01744401,0.43974655866622925,0.3,10
n01748264,0.2547665238380432,0.2,10
n01749939,0.3844538629055023,0.4,10
n01751748,0.25863537192344666,0.0,10
n01753488,0.2801986038684845,0.0,10
n01755581,0.3825470507144928,0.2,10
n01756291,0.2699083685874939,0.2,10
n01768244,0.33039289712905884,0.1,10
n01770081,0.38741335272789,0.3,10
n01770393,0.2260332852602005,0.2,10
n01773157,0.20346760749816895,0.0,10
n01773549,0.32393878698349,0.3,10
n01773797,0.19262146949768066,0.2,10
n01774384,0.2829309105873108,0.1,10
n01774750,0.16750462353229523,0.1,10
n01775062,0.2817250192165375,0.1,10
n01776313,0.15641722083091736,0.0,10
n01784675,0.24516792595386505,0.0,10
n01795545,0.21741649508476257,0.1,10
n01796340,0.3019762635231018,0.1,10
n01797886,0.19439101219177246,0.1,10
n01798484,0.28632646799087524,0.0,10
n01806143,0.2064168006181717,0.1,10
n01806567,0.15728910267353058,0.1,10
n01807496,0.2948480546474457,0.3,10
n01817953,0.2956865429878235,0.0,10
n01818515,0.11870120465755463,0.0,10
n01819313,0.26310089230537415,0.1,10
n01820546,0.17715859413146973,0.1,10
n01824575,0.21260428428649902,0.3,10
n01828970,0.1741926223039627,0.2,10
n01829413,0.20327147841453552,0.2,10
n01833805,0.1295270025730133,0.0,10
n01843065,0.19462555646896362,0.0,10
n01843383,0.1378909796476364,0.1,10
n01847000,0.22068874537944794,0.1,10
n01855032,0.12395387887954712,0.0,10
n01855672,0.22034382820129395,0.1,10
n01860187,0.17535658180713654,0.0,10
n01871265,0.2217882126569748,0.2,10
n01872401,0.163546621799469,0.0,10
n01873310,0.4044969975948334,0.2,10
n01877812,0.26068568229675293,0.2,10
n01882714,0.3121698498725891,0.2,10
n01883070,0.43879765272140503,0.2,10
n01910747,0.2321758270263672,0.1,10
n01914609,0.24344491958618164,0.2,10
n01917289,0.1852181851863861,0.1,10
n01924916,0.14745992422103882,0.0,10
n01930112,0.2186124324798584,0.1,10
n01943899,0.521497368812561,0.5,10
n01944390,0.3300345838069916,0.2,10
n01945685,0.3807978630065918,0.4,10
n01950731,0.27779027819633484,0.4,10
n01955084,0.24120593070983887,0.2,10
n01968897,0.2765602469444275,0.0,10
n01978287,0.23681983351707458,0.2,10
n01978455,0.31659647822380066,0.2,10
n01980166,0.2264908254146576,0.0,10
n01981276,0.20188550651073456,0.1,10
n01983481,0.2024473398923874,0.0,10
n01984695,0.29121389985084534,0.3,10
n01985128,0.31119734048843384,0.1,10
n01986214,0.3371811807155609,0.2,10
n01990800,0.29962998628616333,0.0,10
n02002556,0.14614620804786682,0.0,10
n02002724,0.2700248658657074,0.1,10
n02006656,0.13611817359924316,0.1,10
n02007558,0.29904454946517944,0.2,10
n02009229,0.24319913983345032,0.3,10
n02009912,0.19904565811157227,0.0,10
n02011460,0.13635419309139252,0.0,10
n02012849,0.2657049596309662,0.2,10
n02013706,0.11124120652675629,0.0,10
n02017213,0.1167818084359169,0.0,10
n02018207,0.19559288024902344,0.1,10
n02018795,0.18186253309249878,0.1,10
n02025239,0.13629809021949768,0.0,10
n02027492,0.26402634382247925,0.2,10
n02028035,0.19489797949790955,0.1,10
n02033041,0.1875406801700592,0.0,10
n02037110,0.20247673988342285,0.1,10
n02051845,0.15699589252471924,0.1,10
n02056570,0.2689446806907654,0.2,10
n02058221,0.279568076133728,0.0,10
n02066245,0.3430398404598236,0.3,10
n02071294,0.21146389842033386,0.0,10
n02074367,0.4519091248512268,0.4,10
n02077923,0.3195718228816986,0.3,10
n02085620,0.32337504625320435,0.4,10
n02085782,0.26255959272384644,0.0,10
n02085936,0.45937085151672363,0.3,10
n02086079,0.2655107378959656,0.1,10
n02086240,0.28745120763778687,0.0,10
n02086646,0.20751431584358215,0.0,10
n02086910,0.2017463892698288,0.1,10
n02087046,0.28431540727615356,0.3,10
n02087394,0.3237156271934509,0.3,10
n02088094,0.3627171814441681,0.2,10
n02088238,0.22079095244407654,0.2,10
n02088364,0.28553685545921326,0.2,10
n02088466,0.28983020782470703,0.4,10
n02088632,0.2712557911872864,0.2,10
n02089078,0.19201938807964325,0.1,10
n02089867,0.3026730418205261,0.6,10
n02089973,0.17861901223659515,0.4,10
n02090379,0.2963904142379761,0.0,10
n02090622,0.3401933014392853,0.4,10
n02090721,0.39338597655296326,0.4,10
n02091032,0.2614883780479431,0.2,10
n02091134,0.2655443549156189,0.1,10
n02091244,0.2611848711967468,0.1,10
n02091467,0.2548733353614807,0.0,10
n02091635,0.29665008187294006,0.2,10
n02091831,0.32738393545150757,0.2,10
n02092002,0.27626749873161316,0.2,10
n02092339,0.25264883041381836,0.1,10
n02093256,0.2321566641330719,0.0,10
n02093428,0.3127211928367615,0.3,10
n02093647,0.2796657383441925,0.2,10
n02093754,0.3554289638996124,0.0,10
n02093859,0.30671054124832153,0.4,10
n02093991,0.26064616441726685,0.2,10
n02094114,0.23204679787158966,0.2,10
n02094258,0.3342500329017639,0.6,10
n02094433,0.28030505776405334,0.1,10
n02095314,0.21629174053668976,0.0,10
n02095570,0.3518276810646057,0.2,10
n02095889,0.2927228808403015,0.1,10
n02096051,0.25158870220184326,0.0,10
n02096177,0.3221116065979004,0.2,10
n02096294,0.3092769980430603,0.5,10
n02096437,0.31504374742507935,0.3,10
n02096585,0.23725518584251404,0.2,10
n02097047,0.21128997206687927,0.0,10
n02097130,0.2320338785648346,0.3,10
n02097209,0.20730209350585938,0.2,10
n02097298,0.23344025015830994,0.4,10
n02097474,0.35154491662979126,0.4,10
n02097658,0.2602100968360901,0.3,10
n02098105,0.36614179611206055,0.3,10
n02098286,0.43045300245285034,0.1,10
n02098413,0.2747699022293091,0.2,10
n02099267,0.26518210768699646,0.1,10
n02099429,0.38431742787361145,0.3,10
n02099601,0.3584668040275574,0.2,10
n02099712,0.24506139755249023,0.2,10
n02099849,0.4391558766365051,0.2,10
n02100236,0.31547439098358154,0.2,10
n02100583,0.2861045002937317,0.3,10
n02100735,0.2865701913833618,0.1,10
n02100877,0.303144633769989,0.1,10
n02101006,0.35758042335510254,0.2,10
n02101388,0.25189265608787537,0.1,10
n02101556,0.24175520241260529,0.0,10
n02102040,0.1964186429977417,0.1,10
n02102177,0.25875037908554077,0.2,10
n02102318,0.3119423985481262,0.0,10
n02102480,0.30507025122642517,0.2,10
n02102973,0.2790180444717407,0.0,10
n02104029,0.3257221579551697,0.3,10
n02104365,0.450529009103775,0.4,10
n02105056,0.2953715920448303,0.3,10
n02105162,0.24922378361225128,0.0,10
n02105251,0.2530249059200287,0.1,10
n02105412,0.2720354497432709,0.5,10
n02105505,0.24283428490161896,0.0,10
n02105641,0.2525831162929535,0.2,10
n02105855,0.21027877926826477,0.5,10
n02106030,0.14498548209667206,0.0,10
n02106166,0.2916427254676819,0.1,10
n02106382,0.24520640075206757,0.1,10
n02106550,0.20355352759361267,0.0,10
n02106662,0.16095134615898132,0.0,10
n02107142,0.21197263896465302,0.1,10
n02107312,0.16373074054718018,0.0,10
n02107574,0.23073139786720276,0.6,10
n02107683,0.29726266860961914,0.5,10
n02107908,0.1885923594236374,0.3,10
n02108000,0.19685275852680206,0.4,10
n02108089,0.25958186388015747,0.1,10
n02108422,0.3070579171180725,0.2,10
n02108551,0.206282377243042,0.1,10
n02108915,0.23604393005371094,0.1,10
n02109047,0.3548956513404846,0.5,10
n02109525,0.21506722271442413,0.1,10
n02109961,0.22710523009300232,0.7,10
n02110063,0.24813246726989746,0.1,10
n02110185,0.2525290548801422,0.3,10
n02110341,0.1667674481868744,0.0,10
n02110627,0.3351985216140747,0.4,10
n02110806,0.16504178941249847,0.0,10
n02110958,0.291487455368042,0.2,10
n02111129,0.2635156810283661,0.0,10
n02111277,0.2945742607116699,0.4,10
n02111500,0.3475591540336609,0.3,10
n02111889,0.40100914239883423,0.4,10
n02112018,0.3250800669193268,0.2,10
n02112137,0.2669627070426941,0.0,10
n02112350,0.1810893565416336,0.0,10
n02112706,0.29094478487968445,0.2,10
n02113023,0.23594637215137482,0.1,10
n02113186,0.22325082123279572,0.1,10
n02113624,0.4356698989868164,0.3,10
n02113712,0.31417316198349,0.5,10
n02113799,0.2579140067100525,0.1,10
n02113978,0.28522929549217224,0.2,10
n02114367,0.2532399594783783,0.1,10
n02114548,0.2989028990268707,0.2,10
n02114712,0.2414618283510208,0.2,10
n02114855,0.23865890502929688,0.0,10
n02115641,0.25005465745925903,0.2,10
n02115913,0.1831897646188736,0.0,10
n02116738,0.16732801496982574,0.1,10
n02117135,0.1873892843723297,0.0,10
n02119022,0.18237940967082977,0.0,10
n02119789,0.2706458866596222,0.3,10
n02120079,0.35584890842437744,0.1,10
n02120505,0.20076708495616913,0.0,10
n02123045,0.20412349700927734,0.0,10
n02123159,0.2882155776023865,0.4,10
n02123394,0.3328366279602051,0.1,10
n02123597,0.2193189561367035,0.0,10
n02124075,0.354780375957489,0.3,10
n02125311,0.22711995244026184,0.1,10
n02127052,0.21527691185474396,0.1,10
n02128385,0.18186411261558533,0.0,10
n02128757,0.18791192770004272,0.1,10
n02128925,0.14175942540168762,0.2,10
n02129165,0.2972218990325928,0.1,10
n02129604,0.12401127815246582,0.0,10
n02130308,0.14719772338867188,0.0,10
n02132136,0.25970107316970825,0.1,10
n02133161,0.23904995620250702,0.0,10
n02134084,0.43830928206443787,0.3,10
n02134418,0.22574031352996826,0.1,10
n02137549,0.3115668296813965,0.2,10
n02138441,0.2708975672721863,0.2,10
n02165105,0.14114703238010406,0.0,10
n02165456,0.1519654095172882,0.1,10
n02167151,0.2093106061220169,0.1,10
n02168699,0.26899686455726624,0.2,10
n02169497,0.23326604068279266,0.2,10
n02172182,0.35561734437942505,0.2,10
n02174001,0.2639486789703369,0.1,10
n02177972,0.21488825976848602,0.1,10
n02190166,0.1652725487947464,0.1,10
n02206856,0.25106364488601685,0.2,10
n02219486,0.2911628484725952,0.2,10
n02226429,0.2376636266708374,0.4,10
n02229544,0.3651912808418274,0.4,10
n02231487,0.2977145314216614,0.2,10
n02233338,0.4045029580593109,0.3,10
n02236044,0.3816797137260437,0.4,10
n02256656,0.17042391002178192,0.1,10
n02259212,0.19849321246147156,0.0,10
n02264363,0.20631428062915802,0.1,10
n02268443,0.22582142055034637,0.2,10
n02268853,0.15720337629318237,0.0,10
n02276258,0.11095325648784637,0.0,10
n02277742,0.24058285355567932,0.3,10
n02279972,0.13649897277355194,0.0,10
n02280649,0.2721122205257416,0.0,10
n02281406,0.12011076509952545,0.0,10
n02281787,0.2320452481508255,0.0,10
n02317335,0.2139711081981659,0.0,10
n02319095,0.24117155373096466,0.1,10
n02321529,0.36251014471054077,0.4,10
n02325366,0.2856425642967224,0.1,10
n02326432,0.21550187468528748,0.0,10
n02328150,0.30262166261672974,0.1,10
n02342885,0.3080270290374756,0.1,10
n02346627,0.24122926592826843,0.2,10
n02356798,0.2460654228925705,0.1,10
n02361337,0.25399404764175415,0.1,10
n02363005,0.2647896111011505,0.1,10
n02364673,0.30973556637763977,0.2,10
n02389026,0.17420180141925812,0.0,10
n02391049,0.155277818441391,0.0,10
n02395406,0.33947107195854187,0.3,10
n02396427,0.2518518567085266,0.0,10
n02397096,0.1909589320421219,0.0,10
n02398521,0.3965543806552887,0.4,10
n02403003,0.3437661826610565,0.4,10
n02408429,0.24431440234184265,0.3,10
n02410509,0.20342807471752167,0.0,10
n02412080,0.1931968778371811,0.4,10
n02415577,0.18476633727550507,0.0,10
n02417914,0.2015562504529953,0.0,10
n02422106,0.19022125005722046,0.1,10
n02422699,0.4227069914340973,0.5,10
n02423022,0.10744879394769669,0.0,10
n02437312,0.23001685738563538,0.1,10
n02437616,0.2829991281032562,0.0,10
n02441942,0.23583531379699707,0.0,10
n02442845,0.36655113101005554,0.5,10
n02443114,0.2310151755809784,0.1,10
n02443484,0.22211292386054993,0.3,10
n02444819,0.23321633040905,0.0,10
n02445715,0.22045426070690155,0.1,10
n02447366,0.19456197321414948,0.1,10
n02454379,0.24191975593566895,0.1,10
n02457408,0.33297497034072876,0.3,10
n02480495,0.29726555943489075,0.1,10
n02480855,0.2581658661365509,0.0,10
n02481823,0.26172155141830444,0.2,10
n02483362,0.26247459650039673,0.1,10
n02483708,0.4270472526550293,0.3,10
n02484975,0.29706212878227234,0.4,10
n02486261,0.27051839232444763,0.1,10
n02486410,0.36386924982070923,0.1,10
n02487347,0.3160223364830017,0.0,10
n02488291,0.34468308091163635,0.2,10
n02488702,0.2623141407966614,0.1,10
n02489166,0.20103707909584045,0.0,10
n02490219,0.2653530538082123,0.1,10
n02492035,0.1853594183921814,0.0,10
n02492660,0.16002419590950012,0.1,10
n02493509,0.2544364333152771,0.2,10
n02493793,0.23302900791168213,0.1,10
n02494079,0.19787637889385223,0.0,10
n02497673,0.26343634724617004,0.1,10
n02500267,0.20665176212787628,0.1,10
n02504013,0.39320099353790283,0.8,10
n02504458,0.1546148806810379,0.0,10
n02509815,0.13791722059249878,0.0,10
n02510455,0.18564960360527039,0.1,10
n02514041,0.31063419580459595,0.0,10
n02526121,0.3249507546424866,0.3,10
n02536864,0.32810288667678833,0.1,10
n02606052,0.12230478227138519,0.0,10
n02607072,0.1348179578781128,0.1,10
n02640242,0.36004602909088135,0.4,10
n02641379,0.3798028826713562,0.3,10
n02643566,0.08536984026432037,0.0,10
n02655020,0.3369656205177307,0.2,10
n02666196,0.19364917278289795,0.1,10
n02667093,0.38144752383232117,0.1,10
n02669723,0.14483626186847687,0.1,10
n02672831,0.19755451381206512,0.0,10
n02676566,0.17996302247047424,0.2,10
n02687172,0.3040379583835602,0.0,10
n02690373,0.17695239186286926,0.2,10
n02692877,0.3827420175075531,0.0,10
n02699494,0.2721732556819916,0.2,10
n02701002,0.10766956955194473,0.0,10
n02704792,0.369486927986145,0.4,10
n02708093,0.18667438626289368,0.1,10
n02727426,0.3146665096282959,0.0,10
n02730930,0.2999417185783386,0.4,10
n02747177,0.33694636821746826,0.4,10
n02749479,0.24545994400978088,0.1,10
n02769748,0.4236414432525635,0.6,10
n02776631,0.2738432288169861,0.5,10
n02777292,0.22678808867931366,0.1,10
n02782093,0.23866471648216248,0.2,10
n02783161,0.2580099403858185,0.1,10
n02786058,0.38184770941734314,0.3,10
n02787622,0.253582239151001,0.1,10
n02788148,0.41480952501296997,0.3,10
n02790996,0.3333117961883545,0.2,10
n02791124,0.2918378710746765,0.2,10
n02791270,0.2859717011451721,0.4,10
n02793495,0.25377777218818665,0.0,10
n02794156,0.20931687951087952,0.3,10
n02795169,0.28421550989151,0.2,10
n02797295,0.20285776257514954,0.1,10
n02799071,0.14189006388187408,0.1,10
n02802426,0.3478299677371979,0.3,10
n02804414,0.44134822487831116,0.1,10
n02804610,0.24861574172973633,0.1,10
n02807133,0.3405824303627014,0.2,10
n02808304,0.3816179633140564,0.6,10
n02808440,0.4001619219779968,0.4,10
n02814533,0.23060917854309082,0.1,10
n02814860,0.22252681851387024,0.1,10
n02815834,0.31505057215690613,0.3,10
n02817516,0.13186043500900269,0.0,10
n02823428,0.2400069534778595,0.2,10
n02823750,0.21408431231975555,0.0,10
n02825657,0.31510502099990845,0.5,10
n02834397,0.33087092638015747,0.0,10
n02835271,0.16914650797843933,0.0,10
n02837789,0.23806223273277283,0.2,10
n02840245,0.3871821463108063,0.1,10
n02841315,0.28920477628707886,0.2,10
n02843684,0.24704651534557343,0.0,10
n02859443,0.28388023376464844,0.5,10
n02860847,0.354625940322876,0.4,10
n02865351,0.21826565265655518,0.1,10
n02869837,0.3340969681739807,0.0,10
n02870880,0.1831030547618866,0.0,10
n02871525,0.24998514354228973,0.3,10
n02877765,0.18063601851463318,0.1,10
n02879718,0.2842215895652771,0.2,10
n02883205,0.23180921375751495,0.0,10
n02892201,0.24628934264183044,0.0,10
n02892767,0.2957240641117096,0.0,10
n02894605,0.28705209493637085,0.3,10
n02895154,0.2549489438533783,0.2,10
n02906734,0.2804693281650543,0.2,10
n02909870,0.3003883361816406,0.1,10
n02910353,0.2746424376964569,0.2,10
n02916936,0.3334182798862457,0.3,10
n02917067,0.3128730356693268,0.3,10
n02927161,0.20747843384742737,0.2,10
n02930766,0.21466517448425293,0.1,10
n02939185,0.3120771646499634,0.2,10
n02948072,0.31980782747268677,0.2,10
n02950826,0.24037735164165497,0.1,10
n02951358,0.22685858607292175,0.1,10
n02951585,0.30940335988998413,0.1,10
n02963159,0.2948322296142578,0.3,10
n02965783,0.20019593834877014,0.0,10
n02966193,0.3028699457645416,0.1,10
n02966687,0.2577582001686096,0.1,10
n02971356,0.38897275924682617,0.4,10
n02974003,0.24871006608009338,0.3,10
n02977058,0.3778086304664612,0.3,10
n02978881,0.26472824811935425,0.3,10
n02979186,0.2234460860490799,0.4,10
n02980441,0.28106358647346497,0.0,10
n02981792,0.2784198224544525,0.1,10
n02988304,0.24494071304798126,0.1,10
n02992211,0.2011737823486328,0.2,10
n02992529,0.22387012839317322,0.1,10
n02999410,0.3099062442779541,0.3,10
n03000134,0.28184229135513306,0.1,10
n03000247,0.3282265067100525,0.0,10
n03000684,0.1938266009092331,0.1,10
n03014705,0.3500303328037262,0.4,10
n03016953,0.2520940601825714,0.0,10
n03017168,0.1990487277507782,0.1,10
n03018349,0.26064035296440125,0.1,10
n03026506,0.19823706150054932,0.0,10
n03028079,0.20171868801116943,0.2,10
n03032252,0.3393440842628479,0.3,10
n03041632,0.49518364667892456,0.5,10
n03042490,0.38666635751724243,0.3,10
n03045698,0.3352082669734955,0.1,10
n03047690,0.21887362003326416,0.1,10
n03062245,0.1938944160938263,0.2,10
n03063599,0.3108600974082947,0.0,10
n03063689,0.25310760736465454,0.0,10
n03065424,0.2910993695259094,0.2,10
n03075370,0.2214018553495407,0.3,10
n03085013,0.24208800494670868,0.2,10
n03089624,0.30603891611099243,0.3,10
n03095699,0.25152063369750977,0.0,10
n03100240,0.2216312140226364,0.4,10
n03109150,0.19159433245658875,0.0,10
n03110669,0.26286786794662476,0.1,10
n03124043,0.29993483424186707,0.2,10
n03124170,0.3449551463127136,0.3,10
n03125729,0.39763766527175903,0.3,10
n03126707,0.25330686569213867,0.1,10
n03127747,0.27675288915634155,0.2,10
n03127925,0.34067583084106445,0.0,10
n03131574,0.44416943192481995,0.1,10
n03133878,0.2760230004787445,0.0,10
n03134739,0.23418743908405304,0.0,10
n03141823,0.3693843483924866,0.6,10
n03146219,0.37673860788345337,0.3,10
n03160309,0.4491066336631775,0.3,10
n03179701,0.2784234881401062,0.1,10
n03180011,0.24059566855430603,0.4,10
n03187595,0.29487571120262146,0.2,10
n03188531,0.4715479910373688,0.2,10
n03196217,0.34053149819374084,0.3,10
n03197337,0.2932966649532318,0.1,10
n03201208,0.2953968942165375,0.2,10
n03207743,0.25942397117614746,0.2,10
n03207941,0.3714154064655304,0.5,10
n03208938,0.14669492840766907,0.1,10
n03216828,0.24986059963703156,0.5,10
n03218198,0.21385642886161804,0.1,10
n03220513,0.12140855938196182,0.0,10
n03223299,0.37634843587875366,0.4,10
n03240683,0.23068051040172577,0.0,10
n03249569,0.28756654262542725,0.1,10
n03250847,0.30935055017471313,0.3,10
n03255030,0.28941279649734497,0.1,10
n03259280,0.23032598197460175,0.2,10
n03271574,0.22800835967063904,0.2,10
n03272010,0.22512778639793396,0.1,10
n03272562,0.16570240259170532,0.0,10
n03290653,0.2012026309967041,0.1,10
n03291819,0.38385555148124695,0.2,10
n03297495,0.21696190536022186,0.1,10
n03314780,0.31868207454681396,0.3,10
n03325584,0.3421875536441803,0.1,10
n03337140,0.43130335211753845,0.1,10
n03344393,0.222542405128479,0.0,10
n03345487,0.2455102652311325,0.2,10
n03347037,0.2367963343858719,0.1,10
n03355925,0.3481861650943756,0.0,10
n03372029,0.23097462952136993,0.2,10
n03376595,0.270149290561676,0.2,10
n03379051,0.21402888000011444,0.1,10
n03384352,0.19871151447296143,0.1,10
n03388043,0.3329525887966156,0.1,10
n03388183,0.18812072277069092,0.0,10
n03388549,0.26113682985305786,0.1,10
n03393912,0.26711130142211914,0.1,10
n03394916,0.19712752103805542,0.2,10
n03400231,0.30035853385925293,0.2,10
n03404251,0.3309946656227112,0.2,10
n03417042,0.27410224080085754,0.2,10
n03424325,0.2225034236907959,0.0,10
n03425413,0.2762146592140198,0.2,10
n03443371,0.3648480772972107,0.2,10
n03444034,0.31226104497909546,0.2,10
n03445777,0.35435596108436584,0.3,10
n03445924,0.29283562302589417,0.2,10
n03447447,0.14085830748081207,0.0,10
n03447721,0.24576278030872345,0.0,10
n03450230,0.35346904397010803,0.1,10
n03452741,0.22688257694244385,0.3,10
n03457902,0.25380921363830566,0.1,10
n03459775,0.23374128341674805,0.0,10
n03461385,0.20019936561584473,0.1,10
n03467068,0.2771623730659485,0.1,10
n03476684,0.1942429542541504,0.2,10
n03476991,0.4182611405849457,0.5,10
n03478589,0.22438915073871613,0.2,10
n03481172,0.26127979159355164,0.2,10
n03482405,0.3467416763305664,0.3,10
n03483316,0.31603580713272095,0.4,10
n03485407,0.18916065990924835,0.3,10
n03485794,0.44532114267349243,0.3,10
n03492542,0.18934257328510284,0.2,10
n03494278,0.32267680764198303,0.1,10
n03495258,0.1905200183391571,0.0,10
n03496892,0.2303931713104248,0.2,10
n03498962,0.26589712500572205,0.3,10
n03527444,0.3153842091560364,0.2,10
n03529860,0.2711782455444336,0.1,10
n03530642,0.3751485347747803,0.4,10
n03532672,0.4387023448944092,0.3,10
n03534580,0.23265154659748077,0.0,10
n03535780,0.19639131426811218,0.3,10
n03538406,0.2909843623638153,0.3,10
n03544143,0.2683025002479553,0.1,10
n03584254,0.2378004491329193,0.1,10
n03584829,0.2633921504020691,0.2,10
n03590841,0.17367738485336304,0.1,10
n03594734,0.23570331931114197,0.2,10
n03594945,0.2582402229309082,0.2,10
n03595614,0.2880373001098633,0.3,10
n03598930,0.28534001111984253,0.1,10
n03599486,0.14771388471126556,0.0,10
n03602883,0.24851760268211365,0.3,10
n03617480,0.26939260959625244,0.3,10
n03623198,0.27175650000572205,0.2,10
n03627232,0.25045520067214966,0.0,10
n03630383,0.39796850085258484,0.3,10
n03633091,0.2966342866420746,0.4,10
n03637318,0.2726336419582367,0.2,10
n03642806,0.25582942366600037,0.1,10
n03649909,0.20188447833061218,0.1,10
n03657121,0.3415607810020447,0.3,10
n03658185,0.352240651845932,0.3,10
n03661043,0.28471964597702026,0.2,10
n03662601,0.16225770115852356,0.0,10
n03666591,0.27854663133621216,0.3,10
n03670208,0.19312438368797302,0.2,10
n03673027,0.31501656770706177,0.2,10
n03676483,0.2876424193382263,0.2,10
n03680355,0.2797781825065613,0.3,10
n03690938,0.3966531753540039,0.4,10
n03691459,0.28409543633461,0.5,10
n03692522,0.33129557967185974,0.4,10
n03697007,0.2827684283256531,0.0,10
n03706229,0.3179841637611389,0.4,10
n03709823,0.25527191162109375,0.1,10
n03710193,0.2809503674507141,0.3,10
n03710637,0.2634240686893463,0.2,10
n03710721,0.20863740146160126,0.1,10
n03717622,0.33302101492881775,0.4,10
n03720891,0.21390846371650696,0.0,10
n03721384,0.21495413780212402,0.1,10
n03724870,0.32484427094459534,0.3,10
n03729826,0.21743178367614746,0.1,10
n03733131,0.172332301735878,0.0,10
n03733281,0.25707533955574036,0.0,10
n03733805,0.4443148076534271,0.4,10
n03742115,0.42023396492004395,0.3,10
n03743016,0.24400563538074493,0.1,10
n03759954,0.25496530532836914,0.2,10
n03761084,0.2577909529209137,0.2,10
n03763968,0.3508062958717346,0.3,10
n03764736,0.35094934701919556,0.4,10
n03769881,0.17225699126720428,0.1,10
n03770439,0.33493056893348694,0.1,10
n03770679,0.2151023894548416,0.0,10
n03773504,0.28413090109825134,0.0,10
n03775071,0.286825954914093,0.3,10
n03775546,0.23558850586414337,0.1,10
n03776460,0.3346332609653473,0.4,10
n03777568,0.1446439027786255,0.0,10
n03777754,0.3602474629878998,0.3,10
n03781244,0.20251138508319855,0.0,10
