wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.1321810483932495,0.0,10
n01443537,0.3889593482017517,0.2,10
n01484850,0.22498634457588196,0.4,10
n01491361,0.19454513490200043,0.1,10
n01494475,0.27962106466293335,0.0,10
n01496331,0.19096168875694275,0.1,10
n01498041,0.3764488697052002,0.7,10
n01514668,0.2091013640165329,0.3,10
n01514859,0.22547344863414764,0.0,10
n01518878,0.18233433365821838,0.1,10
n01530575,0.22097210586071014,0.1,10
n01531178,0.14024625718593597,0.0,10
n01532829,0.22106964886188507,0.1,10
n01534433,0.2672805190086365,0.1,10
n01537544,0.1529538333415985,0.0,10
n01558993,0.14616712927818298,0.1,10
n01560419,0.2055368423461914,0.1,10
n01580077,0.22249560058116913,0.0,10
n01582220,0.2714676260948181,0.2,10
n01592084,0.2451619803905487,0.0,10
n01601694,0.3035285472869873,0.3,10
n01608432,0.23911838233470917,0.1,10
n01614925,0.2092168778181076,0.0,10
n01616318,0.3321631848812103,0.3,10
n01622779,0.23540480434894562,0.0,10
n01629819,0.15612635016441345,0.0,10
n01630670,0.2115480899810791,0.1,10
n01631663,0.15747563540935516,0.0,10
n01632458,0.31299903988838196,0.1,10
n01632777,0.24839070439338684,0.1,10
n01641577,0.2293035238981247,0.2,10
n01644373,0.22615082561969757,0.3,10
n01644900,0.36870044469833374,0.2,10
n01664065,0.3459777534008026,0.2,10
n01665541,0.31211552023887634,0.5,10
n01667114,0.28619518876075745,0.2,10
n01667778,0.33853253722190857,0.1,10
n01669191,0.31261146068573,0.2,10
n01675722,0.23752626776695251,0.1,10
n01677366,0.20875076949596405,0.1,10
n01682714,0.2674298882484436,0.2,10
n01685808,0.12764176726341248,0.0,10
n01687978,0.2803514897823334,0.3,10
n01688243,0.2822699546813965,0.1,10
n01689811,0.3693496584892273,0.2,10
n01692333,0.34735459089279175,0.2,10
n01693334,0.35486942529678345,0.2,10
n01694178,0.15453334152698517,0.0,10
n01695060,0.35046401619911194,0.3,10
n01697457,0.3934374153614044,0.5,10
n01698640,0.4648250639438629,0.5,10
n01704323,0.22836081683635712,0.0,10
n01728572,0.29048842191696167,0.3,10
n01728920,0.29473766684532166,0.2,10
n01729322,0.3544919490814209,0.4,10
n01729977,0.3354172706604004,0.8,10
n01734418,0.2846805155277252,0.2,10
n01735189,0.2765645384788513,0.1,10
n01737021,0.4684236943721771,0.5,10
n01739381,0.1899472028017044,0.0,10
n01740131,0.353208065032959,0.3,10
n01742172,0.25919291377067566,0.7,10
n01744401,0.3727870285511017,0.0,10
n01748264,0.15940788388252258,0.0,10
n01749939,0.2573464512825012,0.0,10
n01751748,0.2520449757575989,0.1,10
n01753488,0.20793882012367249,0.3,10
n01755581,0.416007936000824,0.5,10
n01756291,0.20583660900592804,0.0,10
n01768244,0.3875404894351959,0.3,10
n01770081,0.42335033416748047,0.5,10
n01770393,0.23712626099586487,0.2,10
n01773157,0.18159344792366028,0.0,10
n01773549,0.2979215681552887,0.1,10
n01773797,0.3407994508743286,0.9,10
n01774384,0.2571810483932495,0.2,10
n01774750,0.2647317945957184,0.1,10
n01775062,0.2775157392024994,0.2,10
n01776313,0.15480433404445648,0.1,10
n01784675,0.3598102629184723,0.3,10
n01795545,0.18503352999687195,0.0,10
n01796340,0.32642579078674316,0.4,10
n01797886,0.20186133682727814,0.0,10
n01798484,0.25819745659828186,0.1,10
n01806143,0.28205686807632446,0.1,10
n01806567,0.17700393497943878,0.1,10
n01807496,0.21153044700622559,0.1,10
n01817953,0.2250378131866455,0.1,10
n01818515,0.10785152018070221,0.0,10
n01819313,0.27176356315612793,0.1,10
n01820546,0.18237759172916412,0.1,10
n01824575,0.19380919635295868,0.2,10
n01828970,0.24463768303394318,0.1,10
n01829413,0.2658812403678894,0.2,10
n01833805,0.2500074505805969,0.3,10
n01843065,0.09770366549491882,0.0,10
n01843383,0.14526155591011047,0.1,10
n01847000,0.24060586094856262,0.1,10
n01855032,0.07361022382974625,0.0,10
n01855672,0.19899651408195496,0.2,10
n01860187,0.18802794814109802,0.1,10
n01871265,0.16978776454925537,0.0,10
n01872401,0.2056419551372528,0.0,10
n01873310,0.4442523121833801,0.1,10
n01877812,0.3087344765663147,0.3,10
n01882714,0.28604090213775635,0.2,10
n01883070,0.399090051651001,0.3,10
n01910747,0.29315823316574097,0.3,10
n01914609,0.34561944007873535,0.2,10
n01917289,0.21768589317798615,0.0,10
n01924916,0.15465067327022552,0.0,10
n01930112,0.1292855441570282,0.0,10
n01943899,0.526905357837677,0.7,10
n01944390,0.29094332456588745,0.2,10
n01945685,0.40700846910476685,0.4,10
n01950731,0.3319394290447235,0.6,10
n01955084,0.29220977425575256,0.0,10
n01968897,0.28866225481033325,0.0,10
