wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.13419753313064575,0.0,10
n01443537,0.19861379265785217,0.0,10
n01484850,0.14440131187438965,0.1,10
n01491361,0.12490038573741913,0.0,10
n01494475,0.10300542414188385,0.0,10
n01496331,0.15217742323875427,0.1,10
n01498041,0.21670512855052948,0.3,10
n01514668,0.15174925327301025,0.0,10
n01514859,0.1590312272310257,0.4,10
n01518878,0.14080007374286652,0.0,10
n01530575,0.17779383063316345,0.1,10
n01531178,0.09078317135572433,0.0,10
n01532829,0.14488117396831512,0.0,10
n01534433,0.10480741411447525,0.0,10
n01537544,0.09196719527244568,0.0,10
n01558993,0.09458392858505249,0.1,10
n01560419,0.10641296207904816,0.0,10
n01580077,0.08396939933300018,0.0,10
n01582220,0.2674625813961029,0.2,10
n01592084,0.12447168678045273,0.0,10
n01601694,0.22228817641735077,0.3,10
n01608432,0.22780433297157288,0.0,10
n01614925,0.1628706008195877,0.0,10
n01616318,0.22074203193187714,0.4,10
n01622779,0.23554714024066925,0.1,10
n01629819,0.12401022762060165,0.0,10
n01630670,0.24934478104114532,0.3,10
n01631663,0.14679086208343506,0.0,10
n01632458,0.2394927740097046,0.1,10
n01632777,0.10275242477655411,0.0,10
n01641577,0.1579776406288147,0.0,10
n01644373,0.16404151916503906,0.2,10
n01644900,0.29897794127464294,0.4,10
n01664065,0.27162936329841614,0.1,10
n01665541,0.2724227011203766,0.2,10
n01667114,0.276252806186676,0.4,10
n01667778,0.27414950728416443,0.2,10
n01669191,0.16718469560146332,0.2,10
n01675722,0.2054637223482132,0.2,10
n01677366,0.2383802831172943,0.2,10
n01682714,0.14493365585803986,0.1,10
n01685808,0.12311045080423355,0.0,10
n01687978,0.17211571335792542,0.2,10
n01688243,0.28502580523490906,0.0,10
n01689811,0.3425533175468445,0.3,10
n01692333,0.2364504337310791,0.2,10
n01693334,0.2285161018371582,0.1,10
n01694178,0.25553491711616516,0.1,10
n01695060,0.2541573941707611,0.1,10
n01697457,0.32233673334121704,0.5,10
n01698640,0.3888118863105774,0.3,10
n01704323,0.24775847792625427,0.1,10
n01728572,0.13555178046226501,0.1,10
n01728920,0.16117992997169495,0.2,10
n01729322,0.27789992094039917,0.2,10
n01729977,0.17045381665229797,0.3,10
n01734418,0.22867116332054138,0.3,10
n01735189,0.1735498011112213,0.1,10
n01737021,0.2771884799003601,0.1,10
n01739381,0.14998920261859894,0.0,10
n01740131,0.2757323980331421,0.1,10
n01742172,0.22141870856285095,0.4,10
n01744401,0.3027110993862152,0.1,10
n01748264,0.22891084849834442,0.1,10
n01749939,0.1929572969675064,0.2,10
n01751748,0.18057361245155334,0.1,10
n01753488,0.2752056419849396,0.4,10
n01755581,0.4130284786224365,0.4,10
n01756291,0.2059931755065918,0.2,10
n01768244,0.2799113690853119,0.1,10
n01770081,0.3328391909599304,0.4,10
n01770393,0.16939345002174377,0.0,10
n01773157,0.13793596625328064,0.0,10
n01773549,0.2537485659122467,0.1,10
n01773797,0.15813013911247253,0.3,10
n01774384,0.13534237444400787,0.1,10
n01774750,0.2696017324924469,0.2,10
n01775062,0.13725605607032776,0.0,10
n01776313,0.0856315940618515,0.0,10
n01784675,0.153864786028862,0.0,10
n01795545,0.11931165307760239,0.0,10
n01796340,0.2341293841600418,0.2,10
n01797886,0.15866237878799438,0.0,10
n01798484,0.22508926689624786,0.1,10
n01806143,0.243971586227417,0.1,10
n01806567,0.10464294254779816,0.1,10
n01807496,0.20524351298809052,0.1,10
n01817953,0.14894886314868927,0.1,10
n01818515,0.06563907861709595,0.0,10
n01819313,0.23900660872459412,0.2,10
n01820546,0.11201348155736923,0.1,10
n01824575,0.13018445670604706,0.2,10
n01828970,0.14335480332374573,0.1,10
n01829413,0.16781657934188843,0.0,10
n01833805,0.08252713829278946,0.0,10
n01843065,0.06185107305645943,0.0,10
n01843383,0.07791345566511154,0.0,10
n01847000,0.1357443481683731,0.1,10
n01855032,0.060205280780792236,0.0,10
n01855672,0.13417169451713562,0.0,10
n01860187,0.14171819388866425,0.0,10
n01871265,0.17465806007385254,0.0,10
n01872401,0.2145845890045166,0.1,10
n01873310,0.17965281009674072,0.0,10
n01877812,0.2226521074771881,0.3,10
n01882714,0.19601859152317047,0.0,10
n01883070,0.32719460129737854,0.3,10
n01910747,0.14363373816013336,0.1,10
n01914609,0.1935269683599472,0.1,10
n01917289,0.12129823863506317,0.0,10
n01924916,0.11231832206249237,0.0,10
n01930112,0.1278161257505417,0.2,10
n01943899,0.2725396752357483,0.1,10
n01944390,0.17535844445228577,0.0,10
n01945685,0.25893712043762207,0.4,10
n01950731,0.2852655053138733,0.4,10
n01955084,0.2731707692146301,0.3,10
n01968897,0.17969967424869537,0.1,10
n01978287,0.186741903424263,0.0,10
n01978455,0.3419800400733948,0.1,10
n01980166,0.20960500836372375,0.1,10
n01981276,0.244336798787117,0.1,10
n01983481,0.16826777160167694,0.0,10
n01984695,0.2611582577228546,0.1,10
n01985128,0.29870662093162537,0.4,10
n01986214,0.23928117752075195,0.1,10
n01990800,0.196903795003891,0.2,10
n02002556,0.09332568943500519,0.0,10
n02002724,0.23265740275382996,0.1,10
n02006656,0.09486328810453415,0.0,10
n02007558,0.13260534405708313,0.1,10
n02009229,0.21028633415699005,0.2,10
n02009912,0.11950173228979111,0.0,10
n02011460,0.16138771176338196,0.0,10
n02012849,0.2243148535490036,0.3,10
n02013706,0.1258605420589447,0.0,10
n02017213,0.09369401633739471,0.0,10
n02018207,0.19365690648555756,0.3,10
n02018795,0.19682906568050385,0.2,10
n02025239,0.08885569870471954,0.0,10
n02027492,0.20099687576293945,0.1,10
n02028035,0.19782528281211853,0.1,10
n02033041,0.17037372291088104,0.1,10
n02037110,0.09863291680812836,0.1,10
n02051845,0.17231407761573792,0.2,10
n02056570,0.16911964118480682,0.1,10
n02058221,0.0870513841509819,0.0,10
n02066245,0.18116798996925354,0.2,10
n02071294,0.1463581621646881,0.0,10
n02074367,0.12035064399242401,0.0,10
n02077923,0.22652900218963623,0.1,10
n02085620,0.13260026276111603,0.1,10
n02085782,0.15084369480609894,0.1,10
n02085936,0.15027518570423126,0.1,10
n02086079,0.11709912121295929,0.0,10
n02086240,0.16205738484859467,0.0,10
n02086646,0.10353829711675644,0.0,10
n02086910,0.10125327110290527,0.0,10
n02087046,0.1632171869277954,0.1,10
n02087394,0.19892819225788116,0.3,10
n02088094,0.2670416235923767,0.1,10
n02088238,0.1338205635547638,0.2,10
n02088364,0.1708802431821823,0.1,10
n02088466,0.23088955879211426,0.5,10
n02088632,0.253723680973053,0.3,10
n02089078,0.1788208931684494,0.1,10
n02089867,0.20989203453063965,0.3,10
n02089973,0.11214500665664673,0.1,10
n02090379,0.17811119556427002,0.1,10
n02090622,0.18951091170310974,0.2,10
n02090721,0.17236916720867157,0.0,10
n02091032,0.1790710836648941,0.1,10
n02091134,0.26051297783851624,0.3,10
n02091244,0.19677795469760895,0.4,10
n02091467,0.172397181391716,0.1,10
n02091635,0.1735151708126068,0.1,10
n02091831,0.2735807001590729,0.3,10
n02092002,0.2120610773563385,0.1,10
n02092339,0.15787562727928162,0.0,10
n02093256,0.28030601143836975,0.0,10
n02093428,0.2862839996814728,0.4,10
n02093647,0.23920126259326935,0.3,10
n02093754,0.2812296748161316,0.2,10
n02093859,0.2665136456489563,0.3,10
n02093991,0.17987287044525146,0.3,10
n02094114,0.16453897953033447,0.2,10
n02094258,0.13183031976222992,0.1,10
n02094433,0.1794586479663849,0.1,10
n02095314,0.22195585072040558,0.1,10
n02095570,0.2416122406721115,0.2,10
n02095889,0.16580745577812195,0.1,10
n02096051,0.1827351301908493,0.1,10
n02096177,0.19563111662864685,0.1,10
n02096294,0.20336489379405975,0.4,10
n02096437,0.17851629853248596,0.3,10
n02096585,0.145912766456604,0.1,10
n02097047,0.1597970426082611,0.1,10
n02097130,0.31273531913757324,0.5,10
n02097209,0.1642451137304306,0.1,10
n02097298,0.22006483376026154,0.3,10
n02097474,0.2539021074771881,0.2,10
n02097658,0.2576674520969391,0.3,10
n02098105,0.2032926380634308,0.1,10
n02098286,0.2406502217054367,0.1,10
n02098413,0.13627943396568298,0.1,10
n02099267,0.25332483649253845,0.2,10
n02099429,0.27996617555618286,0.6,10
n02099601,0.09942512959241867,0.0,10
n02099712,0.1980971395969391,0.4,10
n02099849,0.2699909806251526,0.1,10
n02100236,0.24028229713439941,0.0,10
n02100583,0.17626912891864777,0.1,10
n02100735,0.15803852677345276,0.0,10
n02100877,0.1736450493335724,0.0,10
n02101006,0.2570938467979431,0.0,10
n02101388,0.14046084880828857,0.0,10
n02101556,0.11129152774810791,0.1,10
n02102040,0.15289326012134552,0.0,10
n02102177,0.1484992504119873,0.0,10
n02102318,0.15020301938056946,0.0,10
n02102480,0.21321804821491241,0.1,10
n02102973,0.19979819655418396,0.0,10
n02104029,0.14104333519935608,0.2,10
n02104365,0.18114499747753143,0.1,10
n02105056,0.16640782356262207,0.0,10
n02105162,0.11019010841846466,0.0,10
n02105251,0.18935012817382812,0.3,10
n02105412,0.2067561149597168,0.4,10
n02105505,0.19397182762622833,0.1,10
n02105641,0.1446564793586731,0.2,10
n02105855,0.10826574265956879,0.1,10
n02106030,0.11306890100240707,0.1,10
n02106166,0.20845456421375275,0.1,10
n02106382,0.2135729342699051,0.2,10
n02106550,0.20123037695884705,0.0,10
n02106662,0.09195542335510254,0.0,10
n02107142,0.2025490254163742,0.1,10
n02107312,0.1683851182460785,0.1,10
n02107574,0.21758201718330383,0.1,10
n02107683,0.18040719628334045,0.1,10
n02107908,0.1514175832271576,0.3,10
n02108000,0.1546626091003418,0.1,10
n02108089,0.1606297641992569,0.1,10
n02108422,0.2346404790878296,0.3,10
n02108551,0.12160320580005646,0.0,10
n02108915,0.14918826520442963,0.2,10
n02109047,0.2631964087486267,0.3,10
n02109525,0.12551933526992798,0.1,10
n02109961,0.10355506092309952,0.2,10
n02110063,0.1314631700515747,0.0,10
n02110185,0.18258509039878845,0.2,10
n02110341,0.1748809963464737,0.0,10
n02110627,0.23746076226234436,0.3,10
n02110806,0.16000023484230042,0.1,10
n02110958,0.24022705852985382,0.3,10
n02111129,0.13240519165992737,0.0,10
n02111277,0.22961148619651794,0.2,10
n02111500,0.21509423851966858,0.3,10
n02111889,0.10313931852579117,0.0,10
n02112018,0.1180252805352211,0.0,10
n02112137,0.11990725994110107,0.0,10
n02112350,0.10043597221374512,0.0,10
n02112706,0.19025775790214539,0.1,10
n02113023,0.17432290315628052,0.0,10
n02113186,0.18139143288135529,0.4,10
n02113624,0.29363077878952026,0.3,10
n02113712,0.16881036758422852,0.3,10
n02113799,0.16831518709659576,0.1,10
