wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.3287031054496765,0.0,10
n01443537,0.47352975606918335,0.4,10
n01484850,0.45904749631881714,0.6,10
n01491361,0.4756607413291931,0.2,10
n01494475,0.5008143782615662,0.3,10
n01496331,0.5492629408836365,0.4,10
n01498041,0.5714765787124634,0.5,10
n01514668,0.494680792093277,0.4,10
n01514859,0.5767468214035034,0.4,10
n01518878,0.6587629318237305,0.6,10
n01530575,0.527448296546936,0.4,10
n01531178,0.43598634004592896,0.2,10
n01532829,0.610779881477356,0.4,10
n01534433,0.5075910687446594,0.4,10
n01537544,0.3060765564441681,0.1,10
n01558993,0.4563605785369873,0.2,10
n01560419,0.48441964387893677,0.4,10
n01580077,0.36793047189712524,0.3,10
n01582220,0.794540524482727,0.9,10
n01592084,0.5023866295814514,0.3,10
n01601694,0.8148896098136902,0.9,10
n01608432,0.6168738603591919,0.4,10
n01614925,0.49236249923706055,0.4,10
n01616318,0.6963542699813843,0.7,10
n01622779,0.71333247423172,0.6,10
n01629819,0.7355040311813354,0.7,10
n01630670,0.6294114589691162,0.3,10
n01631663,0.3071562647819519,0.0,10
n01632458,0.7234877347946167,0.5,10
n01632777,0.4704740643501282,0.4,10
n01641577,0.7889599800109863,0.8,10
n01644373,0.7349317669868469,0.7,10
n01644900,0.7680677175521851,0.9,10
n01664065,0.6879021525382996,0.7,10
n01665541,0.7572564482688904,0.8,10
n01667114,0.7990624904632568,0.8,10
n01667778,0.7194122076034546,0.6,10
n01669191,0.7300923466682434,0.4,10
n01675722,0.6667131185531616,0.5,10
n01677366,0.8818155527114868,1.0,10
n01682714,0.5962027907371521,0.6,10
n01685808,0.7097927927970886,0.7,10
n01687978,0.6268861293792725,0.4,10
n01688243,0.8711789846420288,0.9,10
n01689811,0.8596524000167847,1.0,10
n01692333,0.779741644859314,0.7,10
n01693334,0.7084482312202454,0.6,10
n01694178,0.6740007400512695,0.5,10
n01695060,0.8574487566947937,0.9,10
n01697457,0.8645704388618469,1.0,10
n01698640,0.8587751388549805,0.9,10
n01704323,0.8167535662651062,0.9,10
n01728572,0.5618252158164978,0.6,10
n01728920,0.5499130487442017,0.4,10
n01729322,0.7641651630401611,1.0,10
n01729977,0.6397519111633301,0.8,10
n01734418,0.6473711729049683,0.6,10
n01735189,0.5905674695968628,0.5,10
n01737021,0.7665820717811584,0.9,10
n01739381,0.6199403405189514,0.3,10
n01740131,0.6866482496261597,0.8,10
n01742172,0.8111705780029297,1.0,10
n01744401,0.7732704877853394,0.7,10
n01748264,0.677277684211731,0.5,10
n01749939,0.6375407576560974,0.5,10
n01751748,0.6792880296707153,0.6,10
n01753488,0.5476828217506409,0.3,10
n01755581,0.8618060350418091,0.9,10
n01756291,0.6054474711418152,0.3,10
n01768244,0.8473392724990845,1.0,10
n01770081,0.7804265022277832,0.9,10
n01770393,0.6876398324966431,0.7,10
n01773157,0.42943447828292847,0.2,10
n01773549,0.6540254950523376,0.4,10
n01773797,0.6225590705871582,1.0,10
n01774384,0.6027835011482239,0.6,10
n01774750,0.7138842344284058,0.8,10
n01775062,0.5199776887893677,0.2,10
n01776313,0.2797802984714508,0.0,10
n01784675,0.6299603581428528,0.6,10
n01795545,0.5017839670181274,0.1,10
n01796340,0.7108942866325378,0.7,10
n01797886,0.7422398328781128,0.9,10
n01798484,0.6872121095657349,0.7,10
n01806143,0.7192445993423462,0.7,10
n01806567,0.6837409734725952,0.5,10
n01807496,0.5108512043952942,0.4,10
n01817953,0.6541122198104858,0.5,10
n01818515,0.3718850016593933,0.1,10
n01819313,0.6735386848449707,0.4,10
n01820546,0.4580916464328766,0.2,10
n01824575,0.6090402007102966,0.4,10
