wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.11953754723072052,0.0,10
n01443537,0.3023199141025543,0.2,10
n01484850,0.16389432549476624,0.2,10
n01491361,0.13254448771476746,0.0,10
n01494475,0.1603936403989792,0.0,10
n01496331,0.10031135380268097,0.1,10
n01498041,0.19866421818733215,0.2,10
n01514668,0.09927302598953247,0.0,10
n01514859,0.11066164821386337,0.0,10
n01518878,0.10421906411647797,0.0,10
n01530575,0.09548462182283401,0.0,10
n01531178,0.05812310427427292,0.0,10
n01532829,0.14500358700752258,0.0,10
n01534433,0.10662567615509033,0.0,10
n01537544,0.06860299408435822,0.0,10
n01558993,0.07197114825248718,0.1,10
n01560419,0.10592160373926163,0.0,10
n01580077,0.0963277742266655,0.0,10
n01582220,0.057464201003313065,0.0,10
n01592084,0.11903810501098633,0.0,10
n01601694,0.11882833391427994,0.1,10
n01608432,0.15254375338554382,0.2,10
n01614925,0.08934489637613297,0.0,10
n01616318,0.1020873412489891,0.0,10
n01622779,0.08475317806005478,0.0,10
n01629819,0.022389942780137062,0.0,10
n01630670,0.12148638069629669,0.1,10
n01631663,0.09429309517145157,0.0,10
n01632458,0.09139988571405411,0.0,10
n01632777,0.1714259386062622,0.0,10
n01641577,0.08236172050237656,0.0,10
n01644373,0.07490132749080658,0.1,10
n01644900,0.16548030078411102,0.2,10
n01664065,0.21133717894554138,0.1,10
n01665541,0.14038684964179993,0.1,10
n01667114,0.13120700418949127,0.3,10
n01667778,0.21895185112953186,0.1,10
n01669191,0.11315643787384033,0.1,10
n01675722,0.1398611068725586,0.0,10
n01677366,0.08372901380062103,0.0,10
n01682714,0.1673232614994049,0.1,10
n01685808,0.09996767342090607,0.0,10
n01687978,0.10694859176874161,0.3,10
n01688243,0.1351524144411087,0.0,10
n01689811,0.13799718022346497,0.0,10
n01692333,0.15809929370880127,0.1,10
n01693334,0.12593884766101837,0.1,10
n01694178,0.09811095893383026,0.0,10
n01695060,0.14086328446865082,0.0,10
n01697457,0.18457342684268951,0.4,10
n01698640,0.16233348846435547,0.2,10
