wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.41091543436050415,0.5,10
n01443537,0.6292384266853333,0.8,10
n01484850,0.4876272678375244,0.6,10
n01491361,0.37180009484291077,0.2,10
n01494475,0.5003682971000671,0.4,10
n01496331,0.4948161244392395,0.5,10
n01498041,0.5188333988189697,0.6,10
n01514668,0.21802309155464172,0.1,10
n01514859,0.21064794063568115,0.0,10
n01518878,0.21080777049064636,0.0,10
n01530575,0.3330119550228119,0.1,10
n01531178,0.22002625465393066,0.0,10
n01532829,0.40183353424072266,0.3,10
n01534433,0.3257253170013428,0.1,10
n01537544,0.20835456252098083,0.0,10
n01558993,0.1997016817331314,0.1,10
n01560419,0.2989385426044464,0.1,10
n01580077,0.18734285235404968,0.0,10
n01582220,0.27296414971351624,0.2,10
n01592084,0.33700618147850037,0.1,10
n01601694,0.3858155906200409,0.3,10
n01608432,0.4041353166103363,0.3,10
n01614925,0.3021591007709503,0.1,10
n01616318,0.33709877729415894,0.2,10
n01622779,0.2904168963432312,0.1,10
n01629819,0.10246796905994415,0.0,10
n01630670,0.3937859535217285,0.2,10
n01631663,0.33157268166542053,0.2,10
n01632458,0.35468047857284546,0.4,10
n01632777,0.5658154487609863,0.5,10
n01641577,0.3570414185523987,0.3,10
n01644373,0.30358007550239563,0.2,10
n01644900,0.44203925132751465,0.6,10
n01664065,0.5882145166397095,0.8,10
n01665541,0.48816245794296265,0.6,10
n01667114,0.43977147340774536,0.8,10
n01667778,0.5099712610244751,0.2,10
n01669191,0.38966605067253113,0.3,10
n01675722,0.4223199486732483,0.3,10
n01677366,0.1976201832294464,0.0,10
n01682714,0.48387908935546875,0.6,10
n01685808,0.18770773708820343,0.0,10
n01687978,0.2702499032020569,0.2,10
n01688243,0.48404350876808167,0.4,10
n01689811,0.36903274059295654,0.3,10
n01692333,0.3311532139778137,0.2,10
n01693334,0.43778204917907715,0.4,10
n01694178,0.3355550169944763,0.0,10
n01695060,0.363170862197876,0.4,10
n01697457,0.387957900762558,0.4,10
n01698640,0.3602050542831421,0.3,10
n01704323,0.5571090579032898,0.5,10
n01728572,0.35566189885139465,0.6,10
n01728920,0.5340275764465332,0.4,10
n01729322,0.436310350894928,0.3,10
n01729977,0.4867381155490875,0.4,10
n01734418,0.3469025194644928,0.2,10
n01735189,0.24067895114421844,0.1,10
n01737021,0.5355588793754578,0.5,10
n01739381,0.43548116087913513,0.5,10
n01740131,0.3909452557563782,0.4,10
n01742172,0.32969218492507935,0.5,10
n01744401,0.46414628624916077,0.5,10
n01748264,0.37744709849357605,0.2,10
n01749939,0.5425795316696167,0.6,10
n01751748,0.35096365213394165,0.2,10
n01753488,0.3389434218406677,0.4,10
n01755581,0.39559367299079895,0.1,10
n01756291,0.3047793507575989,0.3,10
n01768244,0.474790096282959,0.4,10
n01770081,0.4188693165779114,0.4,10
n01770393,0.32625752687454224,0.3,10
n01773157,0.1924162209033966,0.0,10
n01773549,0.3478349447250366,0.3,10
n01773797,0.3152084946632385,0.2,10
n01774384,0.2736784815788269,0.2,10
n01774750,0.29128363728523254,0.1,10
n01775062,0.2385401427745819,0.0,10
n01776313,0.19787023961544037,0.0,10
n01784675,0.2908729910850525,0.1,10
n01795545,0.4001505374908447,0.1,10
n01796340,0.2951715290546417,0.3,10
n01797886,0.2421925961971283,0.1,10
n01798484,0.29777732491493225,0.2,10
n01806143,0.26627975702285767,0.0,10
n01806567,0.19633878767490387,0.1,10
n01807496,0.27917584776878357,0.3,10
n01817953,0.5041950345039368,0.4,10
n01818515,0.27617600560188293,0.1,10
n01819313,0.3786314129829407,0.3,10
n01820546,0.24340811371803284,0.1,10
n01824575,0.2733980119228363,0.2,10
n01828970,0.24631015956401825,0.0,10
n01829413,0.3132839798927307,0.2,10
n01833805,0.31691408157348633,0.2,10
n01843065,0.28888314962387085,0.0,10
n01843383,0.21965642273426056,0.1,10
n01847000,0.32136958837509155,0.2,10
n01855032,0.2081715613603592,0.1,10
n01855672,0.36852484941482544,0.3,10
n01860187,0.1791972815990448,0.0,10
n01871265,0.4793160855770111,0.6,10
n01872401,0.24248471856117249,0.1,10
n01873310,0.6227233409881592,0.6,10
n01877812,0.49043911695480347,0.4,10
n01882714,0.6228488683700562,0.5,10
n01883070,0.6359592080116272,0.6,10
n01910747,0.5075799822807312,0.3,10
n01914609,0.40001243352890015,0.3,10
n01917289,0.3061434030532837,0.5,10
n01924916,0.21853795647621155,0.0,10
n01930112,0.45307913422584534,0.2,10
n01943899,0.716736912727356,0.7,10
n01944390,0.4617249369621277,0.3,10
n01945685,0.5570133924484253,0.6,10
n01950731,0.4081135392189026,0.4,10
n01955084,0.25648704171180725,0.2,10
n01968897,0.40099388360977173,0.1,10
n01978287,0.40914520621299744,0.4,10
n01978455,0.39703553915023804,0.1,10
n01980166,0.3570787310600281,0.1,10
n01981276,0.2853672206401825,0.2,10
n01983481,0.4487183094024658,0.3,10
n01984695,0.4272075593471527,0.2,10
n01985128,0.5386237502098083,0.7,10
n01986214,0.46683627367019653,0.4,10
n01990800,0.4147775173187256,0.3,10
n02002556,0.1771797090768814,0.0,10
n02002724,0.3534832000732422,0.1,10
n02006656,0.18053704500198364,0.1,10
n02007558,0.448685884475708,0.3,10
n02009229,0.32183223962783813,0.2,10
n02009912,0.24955575168132782,0.1,10
n02011460,0.19546984136104584,0.1,10
n02012849,0.26033371686935425,0.2,10
n02013706,0.1250084489583969,0.0,10
n02017213,0.13380016386508942,0.0,10
n02018207,0.36204129457473755,0.1,10
n02018795,0.15813741087913513,0.1,10
n02025239,0.22149908542633057,0.1,10
n02027492,0.2924680709838867,0.2,10
n02028035,0.21380193531513214,0.0,10
n02033041,0.19439585506916046,0.0,10
n02037110,0.2898242473602295,0.2,10
n02051845,0.2234363555908203,0.1,10
n02056570,0.30620184540748596,0.2,10
n02058221,0.47341388463974,0.4,10
n02066245,0.3622649610042572,0.1,10
n02071294,0.3502770960330963,0.1,10
n02074367,0.6327500343322754,0.4,10
n02077923,0.4558442234992981,0.6,10
n02085620,0.5238434076309204,0.6,10
n02085782,0.4101143777370453,0.3,10
n02085936,0.5965753793716431,0.6,10
n02086079,0.4960995614528656,0.4,10
n02086240,0.4510335922241211,0.1,10
n02086646,0.37292376160621643,0.3,10
n02086910,0.3178662657737732,0.2,10
n02087046,0.4639045298099518,0.6,10
n02087394,0.36718320846557617,0.3,10
n02088094,0.49296388030052185,0.4,10
n02088238,0.4150462746620178,0.6,10
n02088364,0.4917275011539459,0.4,10
n02088466,0.3989746570587158,0.4,10
n02088632,0.25689515471458435,0.0,10
n02089078,0.4437195658683777,0.7,10
n02089867,0.4352360665798187,0.6,10
n02089973,0.35121455788612366,0.4,10
n02090379,0.5429437756538391,0.6,10
n02090622,0.4244519770145416,0.2,10
n02090721,0.43079280853271484,0.3,10
n02091032,0.48273611068725586,0.4,10
n02091134,0.37249231338500977,0.3,10
n02091244,0.37387508153915405,0.4,10
n02091467,0.370577335357666,0.0,10
n02091635,0.38152235746383667,0.3,10
n02091831,0.4520379900932312,0.5,10
n02092002,0.2973502278327942,0.3,10
n02092339,0.3883362412452698,0.1,10
n02093256,0.4168880581855774,0.5,10
n02093428,0.5367428660392761,0.4,10
n02093647,0.45652350783348083,0.3,10
n02093754,0.5377615690231323,0.3,10
n02093859,0.39716821908950806,0.5,10
n02093991,0.4150494933128357,0.5,10
n02094114,0.23466196656227112,0.1,10
n02094258,0.40758776664733887,0.3,10
n02094433,0.3784998059272766,0.1,10
n02095314,0.32366687059402466,0.1,10
n02095570,0.531551718711853,0.4,10
n02095889,0.385871946811676,0.3,10
n02096051,0.418032169342041,0.4,10
n02096177,0.4046386182308197,0.2,10
n02096294,0.387432724237442,0.6,10
n02096437,0.3618084788322449,0.2,10
n02096585,0.35983139276504517,0.1,10
n02097047,0.39766210317611694,0.4,10
n02097130,0.4337473511695862,0.7,10
