wnid,mean_drift,spillover_rate,n_imgs
n01440764,0.26849594712257385,0.0,10
n01443537,0.288798451423645,0.1,10
n01484850,0.2629612982273102,0.2,10
n01491361,0.2224985659122467,0.1,10
n01494475,0.1539379209280014,0.0,10
n01496331,0.44532641768455505,0.4,10
n01498041,0.40841078758239746,0.2,10
n01514668,0.25427401065826416,0.1,10
n01514859,0.32965365052223206,0.5,10
n01518878,0.4015028476715088,0.3,10
n01530575,0.2844715118408203,0.2,10
n01531178,0.16358301043510437,0.0,10
n01532829,0.20396652817726135,0.1,10
n01534433,0.2363460510969162,0.1,10
n01537544,0.13564597070217133,0.0,10
n01558993,0.17874164879322052,0.1,10
n01560419,0.15325748920440674,0.0,10
n01580077,0.1530429571866989,0.0,10
n01582220,0.36445921659469604,0.2,10
n01592084,0.19007079303264618,0.0,10
n01601694,0.38886213302612305,0.3,10
n01608432,0.3173448145389557,0.2,10
n01614925,0.3177019953727722,0.2,10
n01616318,0.4246898591518402,0.4,10
n01622779,0.4952702522277832,0.4,10
n01629819,0.5051236152648926,0.3,10
n01630670,0.6367453336715698,0.5,10
n01631663,0.26537585258483887,0.0,10
n01632458,0.4782363474369049,0.3,10
n01632777,0.28760090470314026,0.1,10
n01641577,0.6179007887840271,0.6,10
n01644373,0.4197708070278168,0.3,10
n01644900,0.7329003810882568,1.0,10
n01664065,0.5050867795944214,0.4,10
n01665541,0.5611510276794434,0.4,10
n01667114,0.6389182806015015,0.7,10
n01667778,0.6111908555030823,0.4,10
n01669191,0.45469388365745544,0.6,10
n01675722,0.5649715662002563,0.4,10
n01677366,0.5983489751815796,0.7,10
n01682714,0.2745071351528168,0.4,10
n01685808,0.40139779448509216,0.1,10
n01687978,0.5957559943199158,0.7,10
n01688243,0.7503947019577026,0.8,10
n01689811,0.7101987600326538,0.8,10
n01692333,0.7456215023994446,0.8,10
n01693334,0.4418732523918152,0.2,10
n01694178,0.7041428089141846,0.6,10
n01695060,0.5781691670417786,0.4,10
n01697457,0.6867029070854187,0.9,10
n01698640,0.8277680277824402,1.0,10
n01704323,0.524307370185852,0.1,10
n01728572,0.3511021137237549,0.2,10
n01728920,0.25619813799858093,0.2,10
n01729322,0.7367785573005676,0.9,10
n01729977,0.27549615502357483,0.6,10
n01734418,0.5036260485649109,0.1,10
n01735189,0.4023452699184418,0.2,10
n01737021,0.556968092918396,0.3,10
n01739381,0.16872240602970123,0.0,10
n01740131,0.5485364198684692,0.4,10
n01742172,0.5814758539199829,0.7,10
n01744401,0.716326892375946,0.8,10
n01748264,0.4975617825984955,0.4,10
n01749939,0.22180576622486115,0.2,10
n01751748,0.5663192272186279,0.7,10
n01753488,0.680134654045105,0.5,10
n01755581,0.7736151814460754,0.9,10
n01756291,0.7547538876533508,0.8,10
n01768244,0.730330228805542,0.8,10
n01770081,0.36090317368507385,0.3,10
n01770393,0.5106926560401917,0.6,10
n01773157,0.1730918139219284,0.0,10
n01773549,0.4052048325538635,0.4,10
n01773797,0.36696234345436096,0.6,10
n01774384,0.3006647527217865,0.1,10
n01774750,0.4263065457344055,0.3,10
n01775062,0.34926241636276245,0.1,10
n01776313,0.24715366959571838,0.2,10
n01784675,0.3170988857746124,0.3,10
n01795545,0.2460372895002365,0.0,10
n01796340,0.5666332244873047,0.5,10
n01797886,0.47609883546829224,0.1,10
n01798484,0.40776681900024414,0.2,10
n01806143,0.32460540533065796,0.0,10
n01806567,0.36489200592041016,0.2,10
n01807496,0.4366462826728821,0.3,10
n01817953,0.25423598289489746,0.0,10
n01818515,0.10772217810153961,0.0,10
n01819313,0.36094868183135986,0.2,10
n01820546,0.16223713755607605,0.0,10
n01824575,0.30609792470932007,0.2,10
n01828970,0.16395744681358337,0.0,10
n01829413,0.35337528586387634,0.2,10
n01833805,0.20281442999839783,0.1,10
n01843065,0.10900993645191193,0.0,10
n01843383,0.14790144562721252,0.1,10
n01847000,0.2829263508319855,0.0,10
n01855032,0.10733673721551895,0.0,10
n01855672,0.27483877539634705,0.3,10
n01860187,0.4035685062408447,0.2,10
n01871265,0.3829202651977539,0.4,10
n01872401,0.432339608669281,0.4,10
n01873310,0.4151182174682617,0.3,10
n01877812,0.5149163007736206,0.3,10
n01882714,0.7232598066329956,0.6,10
n01883070,0.7219129800796509,0.8,10
n01910747,0.2252291887998581,0.3,10
n01914609,0.4394211769104004,0.2,10
n01917289,0.6097536087036133,0.6,10
n01924916,0.4857875406742096,0.3,10
n01930112,0.21360835433006287,0.2,10
n01943899,0.5031278133392334,0.5,10
n01944390,0.3588449954986572,0.1,10
n01945685,0.5502277612686157,0.6,10
n01950731,0.537402331829071,0.7,10
n01955084,0.753606379032135,0.9,10
n01968897,0.23337122797966003,0.0,10
n01978287,0.60514235496521,0.6,10
n01978455,0.7053362131118774,0.5,10
n01980166,0.6552037000656128,0.7,10
n01981276,0.6664318442344666,0.7,10
n01983481,0.4552154541015625,0.1,10
n01984695,0.7531383633613586,0.9,10
n01985128,0.7279742956161499,0.9,10
n01986214,0.6242901086807251,0.5,10
n01990800,0.43665844202041626,0.2,10
n02002556,0.1729055941104889,0.0,10
n02002724,0.3870307505130768,0.3,10
n02006656,0.27311256527900696,0.2,10
n02007558,0.22368188202381134,0.1,10
n02009229,0.37723496556282043,0.2,10
n02009912,0.24683257937431335,0.0,10
n02011460,0.3844643533229828,0.1,10
n02012849,0.28937381505966187,0.3,10
n02013706,0.3722556531429291,0.2,10
n02017213,0.24642586708068848,0.0,10
