wnid,name,image_pos,image_idx,corruption,family,severity,clean_brightness,corr_brightness,delta_brightness,abs_delta_brightness,clean_contrast,corr_contrast,delta_contrast,abs_delta_contrast,clean_hf_energy,corr_hf_energy,delta_hf_energy,abs_delta_hf_energy,clean_edge_strength,corr_edge_strength,delta_edge_strength,abs_delta_edge_strength,clean_edge_density,corr_edge_density,delta_edge_density,abs_delta_edge_density,clean_entropy,corr_entropy,delta_entropy,abs_delta_entropy,clean_saturation,corr_saturation,delta_saturation,abs_delta_saturation,clean_colorfulness,corr_colorfulness,delta_colorfulness,abs_delta_colorfulness
n02769748,backpack,0,1102,gaussian_noise,noise,1,0.21467912197113037,0.21637216210365295,0.001693040132522583,0.001693040132522583,0.18384917080402374,0.18703651428222656,0.00318734347820282,0.00318734347820282,0.02715207450091839,0.05419956520199776,0.02704749070107937,0.02704749070107937,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,4.916569578068174,5.137386791768434,0.22081721370026042,0.22081721370026042,0.2954906225204468,0.6377083659172058,0.34221774339675903,0.34221774339675903,0.14253868162631989,0.20143026113510132,0.05889157950878143,0.05889157950878143
n02769748,backpack,0,1102,gaussian_noise,noise,2,0.21467912197113037,0.2220914363861084,0.007412314414978027,0.007412314414978027,0.18384917080402374,0.18993864953517914,0.0060894787311553955,0.0060894787311553955,0.02715207450091839,0.07936576008796692,0.05221368558704853,0.05221368558704853,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,4.916569578068174,5.207181647830939,0.29061206976276566,0.29061206976276566,0.2954906225204468,0.7145139575004578,0.419023334980011,0.419023334980011,0.14253868162631989,0.24575956165790558,0.1032208800315857,0.1032208800315857
n02769748,backpack,0,1102,gaussian_noise,noise,3,0.21467912197113037,0.23495063185691833,0.020271509885787964,0.020271509885787964,0.18384917080402374,0.1961834728717804,0.012334302067756653,0.012334302067756653,0.02715207450091839,0.12055248022079468,0.09340040571987629,0.09340040571987629,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,4.916569578068174,5.306099078705884,0.3895295006377104,0.3895295006377104,0.2954906225204468,0.7761613726615906,0.4806707501411438,0.4806707501411438,0.14253868162631989,0.3155052661895752,0.1729665845632553,0.1729665845632553
n02769748,backpack,0,1102,gaussian_noise,noise,4,0.21467912197113037,0.25480425357818604,0.040125131607055664,0.040125131607055664,0.18384917080402374,0.20515035092830658,0.021301180124282837,0.021301180124282837,0.02715207450091839,0.17606545984745026,0.14891338534653187,0.14891338534653187,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,4.916569578068174,5.416535485234402,0.4999659071662279,0.4999659071662279,0.2954906225204468,0.8177921772003174,0.5223015546798706,0.5223015546798706,0.14253868162631989,0.4030310809612274,0.26049239933490753,0.26049239933490753
n02769748,backpack,0,1102,gaussian_noise,noise,5,0.21467912197113037,0.2860229015350342,0.07134377956390381,0.07134377956390381,0.18384917080402374,0.22534267604351044,0.041493505239486694,0.041493505239486694,0.02715207450091839,0.24193142354488373,0.21477934904396534,0.21477934904396534,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,4.916569578068174,5.555001828009481,0.6384322499413075,0.6384322499413075,0.2954906225204468,0.8429835438728333,0.5474929213523865,0.5474929213523865,0.14253868162631989,0.5216782689094543,0.37913958728313446,0.37913958728313446
n02769748,backpack,0,1102,shot_noise,noise,1,0.21467912197113037,0.21274013817310333,-0.0019389837980270386,0.0019389837980270386,0.18384917080402374,0.18696051836013794,0.0031113475561141968,0.0031113475561141968,0.02715207450091839,0.044593244791030884,0.017441170290112495,0.017441170290112495,0.030811097472906113,0.04798509553074837,0.017173998057842255,0.017173998057842255,0.030811097472906113,0.04798509553074837,0.017173998057842255,0.017173998057842255,4.916569578068174,5.029751498343867,0.11318192027569296,0.11318192027569296,0.2954906225204468,0.5045899152755737,0.20909929275512695,0.20909929275512695,0.14253868162631989,0.18008826673030853,0.03754958510398865,0.03754958510398865
n02769748,backpack,0,1102,shot_noise,noise,2,0.21467912197113037,0.21260522305965424,-0.0020738989114761353,0.0020738989114761353,0.18384917080402374,0.19074475765228271,0.006895586848258972,0.006895586848258972,0.02715207450091839,0.0678124949336052,0.040660420432686806,0.040660420432686806,0.030811097472906113,0.06206027418375015,0.03124917671084404,0.03124917671084404,0.030811097472906113,0.06206027418375015,0.03124917671084404,0.03124917671084404,4.916569578068174,5.103129996469074,0.18656041840090065,0.18656041840090065,0.2954906225204468,0.6221092343330383,0.32661861181259155,0.32661861181259155,0.14253868162631989,0.2225494235754013,0.08001074194908142,0.08001074194908142
n02769748,backpack,0,1102,shot_noise,noise,3,0.21467912197113037,0.2121601551771164,-0.002518966794013977,0.002518966794013977,0.18384917080402374,0.19774369895458221,0.013894528150558472,0.013894528150558472,0.02715207450091839,0.10834824293851852,0.08119616843760014,0.08119616843760014,0.030811097472906113,0.08137540519237518,0.05056430771946907,0.05056430771946907,0.030811097472906113,0.08137540519237518,0.05056430771946907,0.05056430771946907,4.916569578068174,5.157549056201771,0.240979478133597,0.240979478133597,0.2954906225204468,0.7148017287254333,0.4193111062049866,0.4193111062049866,0.14253868162631989,0.27824410796165466,0.13570542633533478,0.13570542633533478
n02769748,backpack,0,1102,shot_noise,noise,4,0.21467912197113037,0.20980434119701385,-0.004874780774116516,0.004874780774116516,0.18384917080402374,0.21399584412574768,0.030146673321723938,0.030146673321723938,0.02715207450091839,0.19386674463748932,0.16671467013657093,0.16671467013657093,0.030811097472906113,0.11414876580238342,0.08333766832947731,0.08333766832947731,0.030811097472906113,0.11414876580238342,0.08333766832947731,0.08333766832947731,4.916569578068174,4.913708129497851,-0.0028614485703224446,0.0028614485703224446,0.2954906225204468,0.7243815660476685,0.4288909435272217,0.4288909435272217,0.14253868162631989,0.38549184799194336,0.24295316636562347,0.24295316636562347
n02769748,backpack,0,1102,shot_noise,noise,5,0.21467912197113037,0.20443418622016907,-0.010244935750961304,0.010244935750961304,0.18384917080402374,0.22693294286727905,0.04308377206325531,0.04308377206325531,0.02715207450091839,0.2766214907169342,0.24946941621601582,0.24946941621601582,0.030811097472906113,0.1385495662689209,0.10773846879601479,0.10773846879601479,0.030811097472906113,0.1385495662689209,0.10773846879601479,0.10773846879601479,4.916569578068174,4.111387007324624,-0.8051825707435496,0.8051825707435496,0.2954906225204468,0.6544944643974304,0.35900384187698364,0.35900384187698364,0.14253868162631989,0.4664924740791321,0.3239537924528122,0.3239537924528122
n02769748,backpack,0,1102,impulse_noise,noise,1,0.21467912197113037,0.22338977456092834,0.008710652589797974,0.008710652589797974,0.18384917080402374,0.19154945015907288,0.007700279355049133,0.007700279355049133,0.02715207450091839,0.07786407321691513,0.05071199871599674,0.05071199871599674,0.030811097472906113,0.05299903079867363,0.022187933325767517,0.022187933325767517,0.030811097472906113,0.05299903079867363,0.022187933325767517,0.022187933325767517,4.916569578068174,5.005852339472006,0.08928276140383229,0.08928276140383229,0.2954906225204468,0.3490521311759949,0.053561508655548096,0.053561508655548096,0.14253868162631989,0.24320478737354279,0.1006661057472229,0.1006661057472229
n02769748,backpack,0,1102,impulse_noise,noise,2,0.21467912197113037,0.23221811652183533,0.017538994550704956,0.017538994550704956,0.18384917080402374,0.19922763109207153,0.01537846028804779,0.01537846028804779,0.02715207450091839,0.11937444657087326,0.09222237206995487,0.09222237206995487,0.030811097472906113,0.0729135125875473,0.04210241511464119,0.04210241511464119,0.030811097472906113,0.0729135125875473,0.04210241511464119,0.04210241511464119,4.916569578068174,5.080438865145048,0.16386928707687431,0.16386928707687431,0.2954906225204468,0.40019315481185913,0.10470253229141235,0.10470253229141235,0.14253868162631989,0.31141966581344604,0.16888098418712616,0.16888098418712616
n02769748,backpack,0,1102,impulse_noise,noise,3,0.21467912197113037,0.23983880877494812,0.02515968680381775,0.02515968680381775,0.18384917080402374,0.2051151990890503,0.02126602828502655,0.02126602828502655,0.02715207450091839,0.15424811840057373,0.12709604389965534,0.12709604389965534,0.030811097472906113,0.09017431735992432,0.059363219887018204,0.059363219887018204,0.030811097472906113,0.09017431735992432,0.059363219887018204,0.059363219887018204,4.916569578068174,5.144715493263915,0.228145915195741,0.228145915195741,0.2954906225204468,0.44798681139945984,0.15249618887901306,0.15249618887901306,0.14253868162631989,0.36269986629486084,0.22016118466854095,0.22016118466854095
n02769748,backpack,0,1102,impulse_noise,noise,4,0.21467912197113037,0.2619158625602722,0.047236740589141846,0.047236740589141846,0.18384917080402374,0.22251436114311218,0.03866519033908844,0.03866519033908844,0.02715207450091839,0.22403043508529663,0.19687836058437824,0.19687836058437824,0.030811097472906113,0.13017123937606812,0.099360141903162,0.099360141903162,0.030811097472906113,0.13017123937606812,0.099360141903162,0.099360141903162,4.916569578068174,5.304906938399088,0.38833736033091437,0.38833736033091437,0.2954906225204468,0.5611844062805176,0.2656937837600708,0.2656937837600708,0.14253868162631989,0.47219523787498474,0.32965655624866486,0.32965655624866486
