grupa,corruption,severity,architektura,iou
podatne,gaussian_noise,1,CNN,0.667109634551495
podatne,gaussian_noise,1,ViT,0.5418651098479029
podatne,gaussian_noise,2,CNN,0.6467306587907129
podatne,gaussian_noise,2,ViT,0.45840296446995565
podatne,gaussian_noise,3,CNN,0.4117316078210719
podatne,gaussian_noise,3,ViT,0.360352422907489
podatne,gaussian_noise,4,CNN,0.3150003273751064
podatne,gaussian_noise,4,ViT,0.2531685084597615
podatne,gaussian_noise,5,CNN,0.1023725834797891
podatne,gaussian_noise,5,ViT,0.1510494322743434
podatne,shot_noise,1,CNN,0.5791047124537801
podatne,shot_noise,1,ViT,0.8064980649806498
podatne,shot_noise,2,CNN,0.6762986470686487
podatne,shot_noise,2,ViT,0.6491660504477857
podatne,shot_noise,3,CNN,0.6310742727124979
podatne,shot_noise,3,ViT,0.5386738213875047
podatne,shot_noise,4,CNN,0.4876964126890009
podatne,shot_noise,4,ViT,0.36155202821869487
podatne,shot_noise,5,CNN,0.18335101992689543
podatne,shot_noise,5,ViT,0.2721510964634301
podatne,impulse_noise,1,CNN,0.47609942638623326
podatne,impulse_noise,1,ViT,0.4044220542961097
podatne,impulse_noise,2,CNN,0.47685968655728056
podatne,impulse_noise,2,ViT,0.303207375665498
podatne,impulse_noise,3,CNN,0.39958173579644474
podatne,impulse_noise,3,ViT,0.20893814370896827
podatne,impulse_noise,4,CNN,0.34144222415291053
podatne,impulse_noise,4,ViT,0.16582447580879364
podatne,impulse_noise,5,CNN,0.13030746705710103
podatne,impulse_noise,5,ViT,0.14743699639979427
podatne,defocus_blur,1,CNN,0.7034711024357124
podatne,defocus_blur,1,ViT,0.6647590611263167
podatne,defocus_blur,2,CNN,0.6322680328535415
podatne,defocus_blur,2,ViT,0.5872212557330381
podatne,defocus_blur,3,CNN,0.47058392556231227
podatne,defocus_blur,3,ViT,0.4942306260701258
podatne,defocus_blur,4,CNN,0.18924043133072638
podatne,defocus_blur,4,ViT,0.4528083381586566
podatne,defocus_blur,5,CNN,0.11072989873277628
podatne,defocus_blur,5,ViT,0.4305466467108545
podatne,glass_blur,1,CNN,0.46361382528802686
podatne,glass_blur,1,ViT,0.7396429190500954
podatne,glass_blur,2,CNN,0.3910211999445753
podatne,glass_blur,2,ViT,0.667109634551495
podatne,glass_blur,3,CNN,0.1692881276942794
podatne,glass_blur,3,ViT,0.5611729019211324
podatne,glass_blur,4,CNN,0.15435932827237175
podatne,glass_blur,4,ViT,0.5564084670853687
podatne,glass_blur,5,CNN,0.07862513426423201
podatne,glass_blur,5,ViT,0.45894492079639587
podatne,motion_blur,1,CNN,0.7173169062286106
podatne,motion_blur,1,ViT,0.6762692050768203
podatne,motion_blur,2,CNN,0.6400032682408694
podatne,motion_blur,2,ViT,0.5804724409448819
podatne,motion_blur,3,CNN,0.5272007912957468
podatne,motion_blur,3,ViT,0.5063414634146342
podatne,motion_blur,4,CNN,0.5315122844498703
podatne,motion_blur,4,ViT,0.42455642299503193
podatne,motion_blur,5,CNN,0.2851014789679237
podatne,motion_blur,5,ViT,0.40964955404171643
podatne,zoom_blur,1,CNN,0.4624408014571949
podatne,zoom_blur,1,ViT,0.5180759340493117
podatne,zoom_blur,2,CNN,0.5512790787541542
podatne,zoom_blur,2,ViT,0.46907706945765937
podatne,zoom_blur,3,CNN,0.4733905894443221
podatne,zoom_blur,3,ViT,0.4539659543643607
podatne,zoom_blur,4,CNN,0.4616953102242936
podatne,zoom_blur,4,ViT,0.4316690442225392
podatne,zoom_blur,5,CNN,0.4768314210061783
podatne,zoom_blur,5,ViT,0.39845328502752037
podatne,snow,1,CNN,0.5419835599600522
podatne,snow,1,ViT,0.3335104969439277
podatne,snow,2,CNN,0.45872093023255817
podatne,snow,2,ViT,0.1966138070823894
podatne,snow,3,CNN,0.6107856512318434
podatne,snow,3,ViT,0.23811285846438482
podatne,snow,4,CNN,0.5031446540880503
podatne,snow,4,ViT,0.18695677880920003
podatne,snow,5,CNN,0.22960058809115413
podatne,snow,5,ViT,0.16562137049941927
podatne,frost,1,CNN,0.7378354978354978
podatne,frost,1,ViT,0.19898477157360406
podatne,frost,2,CNN,0.4997011356843993
podatne,frost,2,ViT,0.16738397115272768
podatne,frost,3,CNN,0.5631181372167277
podatne,frost,3,ViT,0.22338026452124093
podatne,frost,4,CNN,0.30278444862724735
podatne,frost,4,ViT,0.24286510245774778
podatne,frost,5,CNN,0.539145771029829
podatne,frost,5,ViT,0.14702857142857143
podatne,fog,1,CNN,0.6898467755514396
podatne,fog,1,ViT,0.20930232558139536
podatne,fog,2,CNN,0.6827632461435278
podatne,fog,2,ViT,0.1347088750706614
podatne,fog,3,CNN,0.5459026494146642
podatne,fog,3,ViT,0.0774020397208803
podatne,fog,4,CNN,0.644706653556211
podatne,fog,4,ViT,0.38389409817981246
podatne,fog,5,CNN,0.4286120996441281
podatne,fog,5,ViT,0.1271971696523839
podatne,brightness,1,CNN,0.8491017964071856
podatne,brightness,1,ViT,0.8176220230009961
podatne,brightness,2,CNN,0.7443295385417572
podatne,brightness,2,ViT,0.5610514854565252
podatne,brightness,3,CNN,0.7066575971431001
podatne,brightness,3,ViT,0.20516361453017112
podatne,brightness,4,CNN,0.7124818701475983
podatne,brightness,4,ViT,0.16271795168858252
podatne,brightness,5,CNN,0.6629660314830157
podatne,brightness,5,ViT,0.14272701394819243
podatne,contrast,1,CNN,0.8362455402067515
podatne,contrast,1,ViT,0.6834689256059716
podatne,contrast,2,CNN,0.8143360752056404
podatne,contrast,2,ViT,0.5911216805390408
podatne,contrast,3,CNN,0.808614164714363
podatne,contrast,3,ViT,0.4432700603968939
podatne,contrast,4,CNN,0.7027485578554462
podatne,contrast,4,ViT,0.29505129363184723
podatne,contrast,5,CNN,0.5296448712086572
podatne,contrast,5,ViT,0.21522818060767462
podatne,elastic_transform,1,CNN,0.7485843714609286
podatne,elastic_transform,1,ViT,0.778959496587787
podatne,elastic_transform,2,CNN,0.6457855034437521
podatne,elastic_transform,2,ViT,0.7703298641735756
podatne,elastic_transform,3,CNN,0.6183181488349593
podatne,elastic_transform,3,ViT,0.704483695652174
podatne,elastic_transform,4,CNN,0.2738465443929682
podatne,elastic_transform,4,ViT,0.7467583326081281
podatne,elastic_transform,5,CNN,0.626053143227479
podatne,elastic_transform,5,ViT,0.6836101325280993
podatne,pixelate,1,CNN,0.6056315494760419
podatne,pixelate,1,ViT,0.8841640852342063
podatne,pixelate,2,CNN,0.34865282537122894
podatne,pixelate,2,ViT,0.8597238951172056
podatne,pixelate,3,CNN,0.145858309071188
podatne,pixelate,3,ViT,0.7838606469960896
podatne,pixelate,4,CNN,0.22483835549591313
podatne,pixelate,4,ViT,0.7557732680195941
podatne,pixelate,5,CNN,0.2510595861381202
podatne,pixelate,5,ViT,0.7537789427697684
podatne,jpeg_compression,1,CNN,0.7085461355124276
podatne,jpeg_compression,1,ViT,0.8692493946731235
podatne,jpeg_compression,2,CNN,0.5038585449913838
podatne,jpeg_compression,2,ViT,0.8164705882352942
podatne,jpeg_compression,3,CNN,0.5154397885994715
podatne,jpeg_compression,3,ViT,0.7503487966515522
podatne,jpeg_compression,4,CNN,0.4301389383683648
podatne,jpeg_compression,4,ViT,0.707528711186729
podatne,jpeg_compression,5,CNN,0.44997471646319437
podatne,jpeg_compression,5,ViT,0.5515109359301337
podatne,gaussian_noise,1,CNN,0.39650734015167327
podatne,gaussian_noise,1,ViT,0.5513989797495749
podatne,gaussian_noise,2,CNN,0.25340327213688024
podatne,gaussian_noise,2,ViT,0.39330834374566154
podatne,gaussian_noise,3,CNN,0.378476752970263
podatne,gaussian_noise,3,ViT,0.34901539081927546
podatne,gaussian_noise,4,CNN,0.3863793341621771
