model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct,abs_delta_hf_energy,abs_delta_edge_strength,abs_delta_entropy,abs_delta_contrast,abs_delta_brightness
resnet101,CNN,backpack,gaussian_noise,1,cam,0.3517408579702337,14.586451608113343,0.5154935121536255,True,0.021693183109164238,0.025602281093597412,0.13059517674255616,0.0027617216110229492,0.0007753968238830566
resnet101,CNN,backpack,gaussian_noise,2,cam,0.5774913549198365,5.848252755088591,0.40925368666648865,True,0.04118652828037739,0.04089406132698059,0.17865441654093672,0.004721298813819885,0.007051199674606323
resnet101,CNN,backpack,gaussian_noise,3,cam,0.46137604659628684,21.387359434295664,0.058813437819480896,False,0.07680458761751652,0.06343776732683182,0.23962222057037685,0.00953085720539093,0.017592042684555054
resnet101,CNN,backpack,gaussian_noise,4,cam,0.36972840180155586,19.906392260556043,0.007482696324586868,False,0.12792726792395115,0.0926184132695198,0.31479050709089496,0.018096745014190674,0.03437444567680359
resnet101,CNN,backpack,gaussian_noise,5,cam,0.030390143737166326,19.68609643825162,0.0006278338260017335,False,0.1895416621118784,0.13064341992139816,0.413846315971532,0.03396524488925934,0.061663687229156494
resnet101,CNN,backpack,shot_noise,1,cam,0.5751392921604018,13.575903412874746,0.6102402806282043,True,0.01607462950050831,0.018334444612264633,0.07040526042067441,0.0034023672342300415,0.0017171502113342285
resnet101,CNN,backpack,shot_noise,2,cam,0.4723098364263185,9.489818428386181,0.5845410823822021,True,0.036526674404740334,0.0331747904419899,0.1159316268970425,0.007682338356971741,0.002432107925415039
resnet101,CNN,backpack,shot_noise,3,cam,0.48714529154626957,11.242258258578133,0.3872309923171997,True,0.07094006426632404,0.05259399861097336,0.13673752185846322,0.01453082263469696,0.0037261545658111572
resnet101,CNN,backpack,shot_noise,4,cam,0.5049861288145759,10.463008808608821,0.19142091274261475,True,0.1508475486189127,0.08690176159143448,0.09597662436248466,0.029077157378196716,0.00831553339958191
resnet101,CNN,backpack,shot_noise,5,cam,0.458191064293498,1.6466574962208567,0.0013530856231227517,False,0.22492914833128452,0.11212091892957687,0.8673716607989475,0.0421472042798996,0.013950332999229431
resnet101,CNN,backpack,impulse_noise,1,cam,0.39321163323384467,24.83839316967762,0.17879991233348846,True,0.03786423243582249,0.0211624838411808,0.05437518645445838,0.005699649453163147,0.007569819688796997
resnet101,CNN,backpack,impulse_noise,2,cam,0.5048732943469786,11.392797890762573,0.035534072667360306,False,0.07056058384478092,0.03987526148557663,0.09872520449610978,0.010856062173843384,0.014323979616165161
resnet101,CNN,backpack,impulse_noise,3,cam,0.5800991891679131,11.473875480999082,0.011085769161581993,False,0.10050087608397007,0.0581817701458931,0.15335267526781848,0.017453908920288086,0.023426532745361328
resnet101,CNN,backpack,impulse_noise,4,cam,0.26837282780410743,30.540815399674738,0.0006326646544039249,False,0.15857435204088688,0.09563005715608597,0.2590162547554469,0.029759392142295837,0.0426812469959259
resnet101,CNN,backpack,impulse_noise,5,cam,0.26040816326530614,12.657421862235365,0.0003578731557354331,False,0.21430864371359348,0.13404708355665207,0.360592834599184,0.04566609859466553,0.06576699018478394
resnet101,CNN,backpack,defocus_blur,1,cam,0.7851298470295268,1.4696936674167063,0.07921359688043594,True,0.02372986450791359,0.016470961272716522,0.06874374878653722,0.014380291104316711,0.002123802900314331
resnet101,CNN,backpack,defocus_blur,2,cam,0.7573104535107686,1.5195070725707982,0.056236155331134796,True,0.024966132827103138,0.019386200234293938,0.09400901864485167,0.019033536314964294,0.0021043121814727783
resnet101,CNN,backpack,defocus_blur,3,cam,0.5551251259006741,10.124919751551168,0.001745494781062007,False,0.025460268603637815,0.023308107629418373,0.12907280486947847,0.027327463030815125,0.002191871404647827
resnet101,CNN,backpack,defocus_blur,4,cam,0.3892580287929125,10.545723491863798,0.0010082797380164266,False,0.025624535279348493,0.025599361397325993,0.14492404403475234,0.03194636106491089,0.0010093450546264648
resnet101,CNN,backpack,defocus_blur,5,cam,0.4110369068541301,14.607883996258925,0.0006907486240379512,False,0.025561134330928326,0.027425498701632023,0.18926526606013994,0.03867189586162567,0.00041103363037109375
resnet101,CNN,backpack,glass_blur,1,cam,1.0,0.0,0.6017680168151855,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,backpack,glass_blur,2,cam,1.0,0.0,0.6017680168151855,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,backpack,glass_blur,3,cam,1.0,0.0,0.6017680168151855,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,backpack,glass_blur,4,cam,1.0,0.0,0.6017680168151855,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,backpack,glass_blur,5,cam,1.0,0.0,0.6017680168151855,True,0.0,0.0,0.0,0.0,0.0
resnet101,CNN,backpack,motion_blur,1,cam,0.7580800560567574,4.969868128551378,0.36464938521385193,True,0.014846240170300007,0.010462436825037003,0.050064796639049725,0.010120317339897156,0.00398002564907074
resnet101,CNN,backpack,motion_blur,2,cam,0.7900651030054401,5.858629250921957,0.15780645608901978,True,0.021842722315341234,0.016257766634225845,0.11832714014667456,0.023627161979675293,0.007287889719009399
resnet101,CNN,backpack,motion_blur,3,cam,0.4702607676530911,19.220803727940236,0.0026302034966647625,False,0.019385822117328644,0.017158834263682365,0.12663542517061632,0.025532260537147522,0.0076393187046051025
resnet101,CNN,backpack,motion_blur,4,cam,0.31714679440908194,20.43839828526029,0.0012973733246326447,False,0.020467637106776237,0.019584067165851593,0.1858295761318205,0.03491787612438202,0.0104045569896698
resnet101,CNN,backpack,motion_blur,5,cam,0.16697674418604652,17.037026856921077,0.0005861861282028258,False,0.020558208227157593,0.020902397111058235,0.23421911103901927,0.04357653856277466,0.013934865593910217
resnet101,CNN,backpack,zoom_blur,1,cam,0.5669008587041374,15.80535708377664,0.10858485102653503,False,0.02256785612553358,0.017876753583550453,0.17099203522706308,0.027868658304214478,0.015118971467018127
resnet101,CNN,backpack,zoom_blur,2,cam,0.6658643870860652,11.56857834071197,0.05745656415820122,False,0.022751896642148495,0.020129181444644928,0.22565043213432556,0.03547537326812744,0.01952405273914337
resnet101,CNN,backpack,zoom_blur,3,cam,0.7501089894498213,7.6903245141983545,0.013074485585093498,False,0.022649722173810005,0.021803466603159904,0.28882308113877375,0.04517625272274017,0.023844406008720398
resnet101,CNN,backpack,zoom_blur,4,cam,0.7126279863481229,7.600019861003904,0.006090707145631313,False,0.02307199966162443,0.023183897137641907,0.3456561956208315,0.051360055804252625,0.027922049164772034
resnet101,CNN,backpack,zoom_blur,5,cam,0.5486459378134403,10.861195430267754,0.00019421294564381242,False,0.02312970021739602,0.02412824146449566,0.4188099696716474,0.059190139174461365,0.032482460141181946
resnet101,CNN,backpack,snow,1,cam,0.6631038197033723,10.862517909281507,0.05160344019532204,False,0.003618761897087097,0.017756260931491852,0.221076249334752,0.025414973497390747,0.1496504843235016
resnet101,CNN,backpack,snow,2,cam,0.38657087593257805,33.58870286952458,0.0012027238262817264,False,0.0006603319197893143,0.037850864231586456,0.28673194408247493,0.03455407917499542,0.25444236397743225
resnet101,CNN,backpack,snow,3,cam,0.4154149918905578,23.96839873699286,0.02357388101518154,False,0.007974008098244667,0.02867422252893448,0.3002083732317553,0.03804866969585419,0.25642117857933044
resnet101,CNN,backpack,snow,4,cam,0.5040839265642563,6.491709275205877,0.0050109317526221275,False,0.011698316782712936,0.03672989457845688,0.25140088622012513,0.041547179222106934,0.33192071318626404
resnet101,CNN,backpack,snow,5,cam,0.19256134513694967,24.90798945508499,0.0013726934557780623,False,0.01299828290939331,0.032491959631443024,0.02673888429124105,0.022633284330368042,0.37930193543434143
resnet101,CNN,backpack,frost,1,cam,0.8019570877098483,5.15416025462172,0.5308844447135925,True,0.02082077693194151,0.002979326993227005,0.06700760775671188,0.006835654377937317,0.3069985806941986
resnet101,CNN,backpack,frost,2,cam,0.5879468522619424,9.398695443200333,0.029241245239973068,False,0.019797521643340588,0.0002455003559589386,0.207476823170202,0.04173929989337921,0.22326752543449402
resnet101,CNN,backpack,frost,3,cam,0.6522704837117473,12.354049521405193,0.06201663240790367,True,0.02561846747994423,0.004529811441898346,0.42849401233307916,0.06496673822402954,0.4865169823169708
resnet101,CNN,backpack,frost,4,cam,0.3368855734647662,10.806947723317453,0.0029437928460538387,False,0.02570790145546198,0.0046568624675273895,0.40346800219385504,0.07095979154109955,0.4796160161495209
resnet101,CNN,backpack,frost,5,cam,0.29463364293085653,15.339600643688584,0.0009141027694568038,False,0.022626063786447048,0.0026208534836769104,0.4026249497195442,0.07065530121326447,0.26498427987098694
resnet101,CNN,backpack,fog,1,cam,0.8320554947060971,2.726364944383556,0.35680752992630005,True,0.025680191349238157,0.02182689495384693,0.5517048406254146,0.09317601472139359,0.16618525981903076
resnet101,CNN,backpack,fog,2,cam,0.7772268461129803,7.585282554229776,0.35522153973579407,True,0.026553940842859447,0.024108259938657284,0.6301077609505121,0.1023426353931427,0.18131765723228455
resnet101,CNN,backpack,fog,3,cam,0.6990011850347045,8.251307555994293,0.04804185777902603,False,0.026586605585180223,0.024199931882321835,0.042375516507722644,0.04438529908657074,0.1705121099948883
