model,method,severity,feature_delta,metric,rho,n
resnet101,cam,1,abs_delta_brightness,xai_iou,0.12411067193675888,45
resnet101,cam,1,abs_delta_contrast,xai_iou,0.12700922266139655,45
resnet101,cam,1,abs_delta_hf_energy,xai_iou,0.05731225296442687,45
resnet101,cam,1,abs_delta_edge_strength,xai_iou,-0.008168642951251647,45
resnet101,cam,1,abs_delta_entropy,xai_iou,0.14703557312252963,45
resnet101,cam,1,abs_delta_saturation,xai_iou,0.03359683794466403,45
resnet101,cam,1,abs_delta_colorfulness,xai_iou,0.17127799736495386,45
resnet101,cam,2,abs_delta_brightness,xai_iou,0.037285902503293805,45
resnet101,cam,2,abs_delta_contrast,xai_iou,0.36455862977602105,45
resnet101,cam,2,abs_delta_hf_energy,xai_iou,0.27167325428194994,45
resnet101,cam,2,abs_delta_edge_strength,xai_iou,0.0857707509881423,45
resnet101,cam,2,abs_delta_entropy,xai_iou,0.3689064558629776,45
resnet101,cam,2,abs_delta_saturation,xai_iou,0.06350461133069828,45
resnet101,cam,2,abs_delta_colorfulness,xai_iou,0.2520421607378129,45
resnet101,cam,3,abs_delta_brightness,xai_iou,0.03820816864295125,45
resnet101,cam,3,abs_delta_contrast,xai_iou,0.17852437417654807,45
resnet101,cam,3,abs_delta_hf_energy,xai_iou,0.11699604743083003,45
resnet101,cam,3,abs_delta_edge_strength,xai_iou,0.09815546772068512,45
resnet101,cam,3,abs_delta_entropy,xai_iou,0.41264822134387347,45
resnet101,cam,3,abs_delta_saturation,xai_iou,0.275098814229249,45
resnet101,cam,3,abs_delta_colorfulness,xai_iou,0.3581027667984189,45
resnet101,cam,4,abs_delta_brightness,xai_iou,0.15757575757575756,45
resnet101,cam,4,abs_delta_contrast,xai_iou,0.18577075098814227,45
resnet101,cam,4,abs_delta_hf_energy,xai_iou,0.04953886693017127,45
resnet101,cam,4,abs_delta_edge_strength,xai_iou,0.05019762845849802,45
resnet101,cam,4,abs_delta_entropy,xai_iou,0.4777338603425559,45
resnet101,cam,4,abs_delta_saturation,xai_iou,0.19472990777338603,45
resnet101,cam,4,abs_delta_colorfulness,xai_iou,0.3089591567852437,45
resnet101,cam,5,abs_delta_brightness,xai_iou,0.20079051383399207,45
resnet101,cam,5,abs_delta_contrast,xai_iou,0.17470355731225296,45
resnet101,cam,5,abs_delta_hf_energy,xai_iou,-0.031225296442687744,45
resnet101,cam,5,abs_delta_edge_strength,xai_iou,-0.13728590250329378,45
resnet101,cam,5,abs_delta_entropy,xai_iou,0.34413702239789196,45
resnet101,cam,5,abs_delta_saturation,xai_iou,0.15019762845849802,45
resnet101,cam,5,abs_delta_colorfulness,xai_iou,0.24571805006587613,45
resnet101,cam,1,abs_delta_brightness,prob_drop,-0.07351778656126481,45
resnet101,cam,1,abs_delta_contrast,prob_drop,-0.04690382081686429,45
resnet101,cam,1,abs_delta_hf_energy,prob_drop,-0.15309617918313567,45
