model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model,clean_brightness,corr_brightness,delta_brightness,abs_delta_brightness,clean_contrast,corr_contrast,delta_contrast,abs_delta_contrast,clean_hf_energy,corr_hf_energy,delta_hf_energy,abs_delta_hf_energy,clean_edge_strength,corr_edge_strength,delta_edge_strength,abs_delta_edge_strength,clean_edge_density,corr_edge_density,delta_edge_density,abs_delta_edge_density,clean_entropy,corr_entropy,delta_entropy,abs_delta_entropy,clean_saturation,corr_saturation,delta_saturation,abs_delta_saturation,clean_colorfulness,corr_colorfulness,delta_colorfulness,abs_delta_colorfulness
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8228275179862976,0.74904865026474,0.07377886772155762,1,1,0.5469953775038521,0.7695235157233292,13.65734148370318,4.5033334566697025,4.530077449883508,0.02674399321380516,CNN,0.21467912197113037,0.21637216210365295,0.001693040132522583,0.001693040132522583,0.18384917080402374,0.18703651428222656,0.00318734347820282,0.00318734347820282,0.02715207450091839,0.05419956520199776,0.02704749070107937,0.02704749070107937,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,4.916569578068174,5.137386791768434,0.22081721370026042,0.22081721370026042,0.2954906225204468,0.6377083659172058,0.34221774339675903,0.34221774339675903,0.14253868162631989,0.20143026113510132,0.05889157950878143,0.05889157950878143
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.8228275179862976,0.74904865026474,0.07377886772155762,1,1,0.16393157436938244,0.18119979515287643,21.123935191585414,2.610841316943398,1.8881130207324972,-0.7227282962109007,CNN,0.21467912197113037,0.21637216210365295,0.001693040132522583,0.001693040132522583,0.18384917080402374,0.18703651428222656,0.00318734347820282,0.00318734347820282,0.02715207450091839,0.05419956520199776,0.02704749070107937,0.02704749070107937,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,0.030811097472906113,0.05765671655535698,0.026845619082450867,0.026845619082450867,4.916569578068174,5.137386791768434,0.22081721370026042,0.22081721370026042,0.2954906225204468,0.6377083659172058,0.34221774339675903,0.34221774339675903,0.14253868162631989,0.20143026113510132,0.05889157950878143,0.05889157950878143
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8228275179862976,0.5025945901870728,0.32023292779922485,1,1,0.4538606403013183,0.648679298162572,20.647347181941807,4.5033334566697025,4.638218722788659,0.1348852661189568,CNN,0.21467912197113037,0.2220914363861084,0.007412314414978027,0.007412314414978027,0.18384917080402374,0.18993864953517914,0.0060894787311553955,0.0060894787311553955,0.02715207450091839,0.07936576008796692,0.05221368558704853,0.05221368558704853,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,4.916569578068174,5.207181647830939,0.29061206976276566,0.29061206976276566,0.2954906225204468,0.7145139575004578,0.419023334980011,0.419023334980011,0.14253868162631989,0.24575956165790558,0.1032208800315857,0.1032208800315857
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.8228275179862976,0.5025945901870728,0.32023292779922485,1,1,0.15263581026760079,0.14223802870123517,21.98605819102207,2.610841316943398,2.178503420719246,-0.43233789622415175,CNN,0.21467912197113037,0.2220914363861084,0.007412314414978027,0.007412314414978027,0.18384917080402374,0.18993864953517914,0.0060894787311553955,0.0060894787311553955,0.02715207450091839,0.07936576008796692,0.05221368558704853,0.05221368558704853,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,0.030811097472906113,0.073379747569561,0.04256865009665489,0.04256865009665489,4.916569578068174,5.207181647830939,0.29061206976276566,0.29061206976276566,0.2954906225204468,0.7145139575004578,0.419023334980011,0.419023334980011,0.14253868162631989,0.24575956165790558,0.1032208800315857,0.1032208800315857
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8228275179862976,0.46574637293815613,0.3570811450481415,1,1,0.5482875655661833,0.770991634996614,15.08519247050762,4.5033334566697025,4.701678021550442,0.19834456488073915,CNN,0.21467912197113037,0.23495063185691833,0.020271509885787964,0.020271509885787964,0.18384917080402374,0.1961834728717804,0.012334302067756653,0.012334302067756653,0.02715207450091839,0.12055248022079468,0.09340040571987629,0.09340040571987629,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,4.916569578068174,5.306099078705884,0.3895295006377104,0.3895295006377104,0.2954906225204468,0.7761613726615906,0.4806707501411438,0.4806707501411438,0.14253868162631989,0.3155052661895752,0.1729665845632553,0.1729665845632553
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.8228275179862976,0.46574637293815613,0.3570811450481415,1,1,0.12637485970819304,0.053032381534395046,35.591822139412244,2.610841316943398,1.8654073168232947,-0.7454340001201032,CNN,0.21467912197113037,0.23495063185691833,0.020271509885787964,0.020271509885787964,0.18384917080402374,0.1961834728717804,0.012334302067756653,0.012334302067756653,0.02715207450091839,0.12055248022079468,0.09340040571987629,0.09340040571987629,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,0.030811097472906113,0.09602423012256622,0.06521313264966011,0.06521313264966011,4.916569578068174,5.306099078705884,0.3895295006377104,0.3895295006377104,0.2954906225204468,0.7761613726615906,0.4806707501411438,0.4806707501411438,0.14253868162631989,0.3155052661895752,0.1729665845632553,0.1729665845632553
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.8228275179862976,0.005787871312350035,0.8170396466739476,1,0,0.48384712057366747,0.7268233388869959,16.025987114100012,4.5033334566697025,4.5718724188392015,0.06853896216949895,CNN,0.21467912197113037,0.25480425357818604,0.040125131607055664,0.040125131607055664,0.18384917080402374,0.20515035092830658,0.021301180124282837,0.021301180124282837,0.02715207450091839,0.17606545984745026,0.14891338534653187,0.14891338534653187,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,4.916569578068174,5.416535485234402,0.4999659071662279,0.4999659071662279,0.2954906225204468,0.8177921772003174,0.5223015546798706,0.5223015546798706,0.14253868162631989,0.4030310809612274,0.26049239933490753,0.26049239933490753
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.8228275179862976,0.005787871312350035,0.8170396466739476,1,0,0.10864402098867716,0.015769310189181263,36.295132542806606,2.610841316943398,1.3061615838557266,-1.3046797330876714,CNN,0.21467912197113037,0.25480425357818604,0.040125131607055664,0.040125131607055664,0.18384917080402374,0.20515035092830658,0.021301180124282837,0.021301180124282837,0.02715207450091839,0.17606545984745026,0.14891338534653187,0.14891338534653187,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,0.030811097472906113,0.1246396079659462,0.09382851049304008,0.09382851049304008,4.916569578068174,5.416535485234402,0.4999659071662279,0.4999659071662279,0.2954906225204468,0.8177921772003174,0.5223015546798706,0.5223015546798706,0.14253868162631989,0.4030310809612274,0.26049239933490753,0.26049239933490753
resnet101,cam,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.8228275179862976,0.0010734248207882047,0.8217540931655094,1,0,0.25843260188087774,0.31045883090799686,30.615827478832642,4.5033334566697025,4.199737019469163,-0.3035964372005395,CNN,0.21467912197113037,0.2860229015350342,0.07134377956390381,0.07134377956390381,0.18384917080402374,0.22534267604351044,0.041493505239486694,0.041493505239486694,0.02715207450091839,0.24193142354488373,0.21477934904396534,0.21477934904396534,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,4.916569578068174,5.555001828009481,0.6384322499413075,0.6384322499413075,0.2954906225204468,0.8429835438728333,0.5474929213523865,0.5474929213523865,0.14253868162631989,0.5216782689094543,0.37913958728313446,0.37913958728313446
resnet101,ig,n02769748,backpack,0,1102,gaussian_noise,noise,5,0.8228275179862976,0.0010734248207882047,0.8217540931655094,1,0,0.0826905442580506,-0.07589740918460965,40.23605695319049,2.610841316943398,1.9947609312970551,-0.6160803856463428,CNN,0.21467912197113037,0.2860229015350342,0.07134377956390381,0.07134377956390381,0.18384917080402374,0.22534267604351044,0.041493505239486694,0.041493505239486694,0.02715207450091839,0.24193142354488373,0.21477934904396534,0.21477934904396534,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,0.030811097472906113,0.16279637813568115,0.13198528066277504,0.13198528066277504,4.916569578068174,5.555001828009481,0.6384322499413075,0.6384322499413075,0.2954906225204468,0.8429835438728333,0.5474929213523865,0.5474929213523865,0.14253868162631989,0.5216782689094543,0.37913958728313446,0.37913958728313446
