model,method,feature_delta,target,spearman_rho,n,key
vit_b_16,rollout,abs_delta_colorfulness,xai_iou,-0.7243180829313786,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_brightness,xai_corr,-0.7223440792246103,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_brightness,xai_iou,-0.6762591406020827,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_colorfulness,xai_corr,-0.6689896755162243,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_brightness,centroid_shift,0.6243552465233881,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_entropy,xai_iou,-0.617087144002812,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_saturation,xai_iou,-0.5886231443567788,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_entropy,xai_corr,-0.5636820480404552,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_contrast,xai_corr,-0.5310292878213232,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_contrast,xai_iou,-0.5306237153645121,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_brightness,xai_corr,-0.5113990729034976,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_edge_strength,xai_iou,-0.5089327949147313,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_saturation,xai_corr,-0.49613780025284454,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_brightness,centroid_shift,0.49582701222081765,225,vit_b_16 / ig
resnet50,ig,abs_delta_brightness,xai_iou,-0.4863461120098445,225,resnet50 / ig
resnet50,ig,abs_delta_brightness,xai_corr,-0.4657954066582386,225,resnet50 / ig
vit_b_16,ig,abs_delta_brightness,xai_iou,-0.4639568182945432,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_colorfulness,centroid_shift,0.44571323219553316,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_colorfulness,xai_corr,-0.4413442899283608,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_saturation,xai_corr,-0.44019911504424786,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_saturation,centroid_shift,0.4266677201854194,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_contrast,centroid_shift,0.41899810366624535,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_entropy,xai_corr,-0.41600505689001266,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_entropy,centroid_shift,0.41373788453434474,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_saturation,xai_iou,-0.4053441944300402,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_colorfulness,centroid_shift,0.4044943109987358,225,vit_b_16 / ig
