model,method,feature_delta,target,spearman_rho,n,key
vit_b_16,rollout,abs_delta_brightness,xai_corr,-0.7609934681837337,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_brightness,xai_corr,-0.748668352296671,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_colorfulness,xai_iou,-0.7465480122988879,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_brightness,centroid_shift,0.7372292456805732,225,vit_b_32 / rollout
vit_b_32,rollout,abs_delta_brightness,xai_iou,-0.7240849631272778,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_brightness,xai_iou,-0.7125456766465784,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_colorfulness,xai_corr,-0.6853845343447115,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_brightness,centroid_shift,0.6522619047619048,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_brightness,xai_iou,-0.6155860403319185,225,vit_b_32 / ig
vit_b_16,rollout,abs_delta_saturation,xai_iou,-0.6020299210019382,225,vit_b_16 / rollout
vit_b_16,rollout,abs_delta_entropy,xai_iou,-0.5865969166651239,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_brightness,xai_corr,-0.5845195954487992,225,vit_b_32 / ig
vit_b_16,ig,abs_delta_brightness,xai_corr,-0.5800632111251581,225,vit_b_16 / ig
vit_b_32,rollout,abs_delta_colorfulness,xai_iou,-0.5727852471898707,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_hf_energy,xai_iou,-0.5717417676685199,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_contrast,xai_corr,-0.5621786767804468,225,vit_b_32 / rollout
vit_b_32,rollout,abs_delta_contrast,xai_iou,-0.5457816261132551,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_entropy,xai_corr,-0.5446049304677624,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_colorfulness,centroid_shift,0.5445027391487569,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_contrast,xai_corr,-0.5381805731142015,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_colorfulness,xai_corr,-0.5350284450063213,225,vit_b_32 / rollout
vit_b_16,ig,abs_delta_brightness,xai_iou,-0.5265368624166853,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_contrast,xai_iou,-0.5174792022120409,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_brightness,centroid_shift,0.5081468605141172,225,vit_b_32 / ig
vit_b_16,rollout,abs_delta_saturation,xai_corr,-0.49799410029498536,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_colorfulness,xai_corr,-0.489499578592499,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_edge_strength,xai_iou,-0.4868660381722327,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_saturation,xai_corr,-0.4834197218710493,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_hf_energy,xai_corr,-0.4795733249051834,225,vit_b_16 / rollout
vit_b_32,ig,abs_delta_colorfulness,xai_corr,-0.4741698272229246,225,vit_b_32 / ig
vit_b_32,rollout,abs_delta_entropy,xai_corr,-0.47389275179098195,225,vit_b_32 / rollout
resnet101,ig,abs_delta_brightness,xai_iou,-0.4738664835660048,225,resnet101 / ig
resnet101,ig,abs_delta_brightness,xai_corr,-0.46749789296249483,225,resnet101 / ig
vit_b_32,rollout,abs_delta_contrast,centroid_shift,0.46560682680151716,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_saturation,xai_corr,-0.46242414664981046,225,vit_b_32 / ig
vit_b_32,rollout,abs_delta_hf_energy,xai_iou,-0.46091370475998417,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_colorfulness,xai_iou,-0.45864314507407167,225,vit_b_32 / ig
vit_b_16,ig,abs_delta_saturation,xai_iou,-0.4567795882531856,225,vit_b_16 / ig
vit_b_32,rollout,abs_delta_entropy,xai_iou,-0.4558071325872888,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_saturation,xai_iou,-0.45165619950550057,225,vit_b_32 / ig
vit_b_16,ig,abs_delta_brightness,centroid_shift,0.44859039190897604,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_colorfulness,centroid_shift,0.4418531394858829,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_entropy,xai_corr,-0.44051306363253273,225,vit_b_16 / ig
vit_b_32,rollout,abs_delta_entropy,centroid_shift,0.43157922461019815,225,vit_b_32 / rollout
vit_b_16,ig,abs_delta_colorfulness,xai_iou,-0.42833559050136266,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_colorfulness,centroid_shift,0.42578065739570164,225,vit_b_16 / ig
vit_b_16,ig,abs_delta_entropy,xai_iou,-0.41404511279831424,225,vit_b_16 / ig
vit_b_32,rollout,abs_delta_saturation,xai_iou,-0.4113703673510713,225,vit_b_32 / rollout
vit_b_16,ig,abs_delta_saturation,centroid_shift,0.4058807416772019,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_contrast,centroid_shift,0.4031152549515382,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_saturation,xai_corr,-0.4008249051833123,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_contrast,xai_iou,-0.3948203682319693,225,vit_b_32 / ig
vit_b_32,rollout,abs_delta_saturation,centroid_shift,0.3895501474926254,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_hf_energy,xai_corr,-0.3888959123472398,225,vit_b_32 / ig
vit_b_32,rollout,abs_delta_edge_strength,xai_iou,-0.37804858796629515,225,vit_b_32 / rollout
vit_b_16,ig,abs_delta_hf_energy,xai_iou,-0.37641389024576644,225,vit_b_16 / ig
vit_b_32,ig,abs_delta_entropy,xai_iou,-0.37474501520393744,225,vit_b_32 / ig
vit_b_32,ig,abs_delta_hf_energy,xai_iou,-0.37430622406562175,225,vit_b_32 / ig
vit_b_32,ig,abs_delta_edge_strength,xai_corr,-0.3736504424778762,225,vit_b_32 / ig
vit_b_16,ig,abs_delta_hf_energy,xai_corr,-0.37344079224610205,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_entropy,centroid_shift,0.37283923303834815,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_hf_energy,xai_corr,-0.3722060682680152,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_contrast,xai_corr,-0.36622208175305526,225,vit_b_32 / ig
vit_b_32,ig,abs_delta_entropy,xai_corr,-0.3657848714707122,225,vit_b_32 / ig
vit_b_16,rollout,abs_delta_edge_strength,xai_corr,-0.3614938895912348,225,vit_b_16 / rollout
vit_b_32,cam,abs_delta_edge_strength,centroid_shift,0.35365676359039194,225,vit_b_32 / cam
vit_b_32,cam,abs_delta_saturation,xai_corr,-0.3516129372102824,225,vit_b_32 / cam
resnet101,ig,abs_delta_saturation,xai_iou,-0.34995236767147125,225,resnet101 / ig
vit_b_32,cam,abs_delta_saturation,xai_iou,-0.3435277980214505,225,vit_b_32 / cam
vit_b_16,ig,abs_delta_brightness,entropy_delta,-0.3353497682258745,225,vit_b_16 / ig
vit_b_32,cam,abs_delta_hf_energy,xai_iou,-0.33444330342481765,225,vit_b_32 / cam
vit_b_32,ig,abs_delta_edge_strength,xai_iou,-0.32981554179277156,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_hf_energy,xai_corr,-0.32733459755583655,225,vit_b_32 / cam
vit_b_32,cam,abs_delta_edge_strength,xai_iou,-0.32304054020242906,225,vit_b_32 / cam
vit_b_16,ig,abs_delta_contrast,xai_corr,-0.3211862621154657,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_hf_energy,centroid_shift,0.31451432785503586,225,vit_b_16 / rollout
vit_b_32,rollout,abs_delta_hf_energy,centroid_shift,0.3089032869785082,225,vit_b_32 / rollout
vit_b_16,rollout,abs_delta_edge_strength,entropy_delta,0.3066982722292457,225,vit_b_16 / rollout
vit_b_16,ig,abs_delta_contrast,xai_iou,-0.3044594992515905,225,vit_b_16 / ig
vit_b_32,ig,abs_delta_colorfulness,centroid_shift,0.30191213653603033,225,vit_b_32 / ig
resnet101,ig,abs_delta_saturation,xai_corr,-0.2989570164348926,225,resnet101 / ig
vit_b_32,ig,abs_delta_brightness,entropy_delta,-0.2967857142857143,225,vit_b_32 / ig
resnet101,ig,abs_delta_colorfulness,xai_iou,-0.29392347379751366,225,resnet101 / ig
vit_b_32,rollout,abs_delta_contrast,entropy_delta,0.29328276443320694,225,vit_b_32 / rollout
vit_b_32,rollout,abs_delta_hf_energy,entropy_delta,0.29321955330804894,225,vit_b_32 / rollout
vit_b_32,cam,abs_delta_hf_energy,centroid_shift,0.2930004214075011,225,vit_b_32 / cam
vit_b_32,rollout,abs_delta_edge_strength,xai_corr,-0.29275705857564266,225,vit_b_32 / rollout
vit_b_16,ig,abs_delta_entropy,centroid_shift,0.29002423093131063,225,vit_b_16 / ig
resnet101,ig,abs_delta_colorfulness,xai_corr,-0.2892625368731564,225,resnet101 / ig
vit_b_32,ig,abs_delta_entropy,centroid_shift,0.2871439106616098,225,vit_b_32 / ig
vit_b_32,rollout,abs_delta_edge_strength,centroid_shift,0.28050358196375896,225,vit_b_32 / rollout
vit_b_32,cam,abs_delta_colorfulness,xai_iou,-0.27405927993555523,225,vit_b_32 / cam
vit_b_32,cam,abs_delta_edge_strength,xai_corr,-0.2728381795195955,225,vit_b_32 / cam
vit_b_16,rollout,abs_delta_saturation,centroid_shift,0.2726769911504425,225,vit_b_16 / rollout
vit_b_32,cam,abs_delta_colorfulness,xai_corr,-0.26818057311420146,225,vit_b_32 / cam
resnet101,cam,abs_delta_entropy,centroid_shift,-0.26503265908133167,225,resnet101 / cam
vit_b_32,ig,abs_delta_contrast,centroid_shift,0.2628139485882849,225,vit_b_32 / ig
vit_b_16,ig,abs_delta_edge_strength,xai_corr,-0.26018857985672145,225,vit_b_16 / ig
resnet101,ig,abs_delta_hf_energy,xai_corr,-0.25249157184997895,225,resnet101 / ig
vit_b_16,ig,abs_delta_edge_strength,xai_iou,-0.2509596254105937,225,vit_b_16 / ig
vit_b_16,rollout,abs_delta_hf_energy,entropy_delta,0.241720396123051,225,vit_b_16 / rollout
resnet101,cam,abs_delta_saturation,entropy_delta,-0.23793721028234308,225,resnet101 / cam
vit_b_32,rollout,abs_delta_colorfulness,entropy_delta,0.23294247787610622,225,vit_b_32 / rollout
vit_b_32,rollout,abs_delta_saturation,entropy_delta,0.23276970080067427,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_saturation,centroid_shift,0.2301517067003793,225,vit_b_32 / ig
resnet101,ig,abs_delta_hf_energy,xai_iou,-0.22849875065612973,225,resnet101 / ig
vit_b_32,rollout,abs_delta_edge_strength,entropy_delta,0.22612515802781294,225,vit_b_32 / rollout
vit_b_32,cam,abs_delta_brightness,xai_corr,-0.22257796038769492,225,vit_b_32 / cam
resnet101,cam,abs_delta_entropy,xai_iou,0.22074905183312266,225,resnet101 / cam
vit_b_32,cam,abs_delta_saturation,centroid_shift,0.21950800674252005,225,vit_b_32 / cam
vit_b_32,cam,abs_delta_entropy,xai_corr,-0.21482827644332073,225,vit_b_32 / cam
