corruption,grupa,severity,iou
gaussian_noise,podatne,1,0.503
gaussian_noise,podatne,2,0.435
gaussian_noise,podatne,3,0.336
gaussian_noise,podatne,4,0.295
gaussian_noise,podatne,5,0.237
gaussian_noise,odporne,1,0.775
gaussian_noise,odporne,2,0.708
gaussian_noise,odporne,3,0.618
gaussian_noise,odporne,4,0.461
gaussian_noise,odporne,5,0.357
shot_noise,podatne,1,0.505
shot_noise,podatne,2,0.439
shot_noise,podatne,3,0.389
shot_noise,podatne,4,0.298
shot_noise,podatne,5,0.237
shot_noise,odporne,1,0.749
shot_noise,odporne,2,0.725
shot_noise,odporne,3,0.667
shot_noise,odporne,4,0.439
shot_noise,odporne,5,0.366
impulse_noise,podatne,1,0.395
impulse_noise,podatne,2,0.374
impulse_noise,podatne,3,0.33
impulse_noise,podatne,4,0.291
impulse_noise,podatne,5,0.232
impulse_noise,odporne,1,0.721
impulse_noise,odporne,2,0.656
impulse_noise,odporne,3,0.617
impulse_noise,odporne,4,0.446
impulse_noise,odporne,5,0.365
defocus_blur,podatne,1,0.47
defocus_blur,podatne,2,0.433
defocus_blur,podatne,3,0.31
defocus_blur,podatne,4,0.283
defocus_blur,podatne,5,0.274
defocus_blur,odporne,1,0.691
defocus_blur,odporne,2,0.603
defocus_blur,odporne,3,0.518
defocus_blur,odporne,4,0.396
defocus_blur,odporne,5,0.363
glass_blur,podatne,1,0.43
glass_blur,podatne,2,0.374
glass_blur,podatne,3,0.297
glass_blur,podatne,4,0.303
glass_blur,podatne,5,0.291
glass_blur,odporne,1,0.589
glass_blur,odporne,2,0.485
glass_blur,odporne,3,0.35
glass_blur,odporne,4,0.343
glass_blur,odporne,5,0.324
motion_blur,podatne,1,0.545
motion_blur,podatne,2,0.41
motion_blur,podatne,3,0.382
motion_blur,podatne,4,0.333
motion_blur,podatne,5,0.345
motion_blur,odporne,1,0.744
motion_blur,odporne,2,0.659
motion_blur,odporne,3,0.537
motion_blur,odporne,4,0.468
motion_blur,odporne,5,0.42
zoom_blur,podatne,1,0.519
zoom_blur,podatne,2,0.468
zoom_blur,podatne,3,0.437
zoom_blur,podatne,4,0.395
zoom_blur,podatne,5,0.373
zoom_blur,odporne,1,0.661
zoom_blur,odporne,2,0.578
zoom_blur,odporne,3,0.569
zoom_blur,odporne,4,0.552
zoom_blur,odporne,5,0.566
snow,podatne,1,0.43
snow,podatne,2,0.356
snow,podatne,3,0.389
snow,podatne,4,0.377
snow,podatne,5,0.293
snow,odporne,1,0.708
snow,odporne,2,0.665
snow,odporne,3,0.673
snow,odporne,4,0.63
snow,odporne,5,0.663
frost,podatne,1,0.548
frost,podatne,2,0.431
frost,podatne,3,0.344
frost,podatne,4,0.369
frost,podatne,5,0.345
frost,odporne,1,0.764
frost,odporne,2,0.696
frost,odporne,3,0.689
frost,odporne,4,0.631
frost,odporne,5,0.625
fog,podatne,1,0.636
fog,podatne,2,0.565
fog,podatne,3,0.562
fog,podatne,4,0.477
fog,podatne,5,0.393
fog,odporne,1,0.784
fog,odporne,2,0.771
fog,odporne,3,0.771
fog,odporne,4,0.743
fog,odporne,5,0.729
brightness,podatne,1,0.792
brightness,podatne,2,0.672
brightness,podatne,3,0.572
brightness,podatne,4,0.545
brightness,podatne,5,0.513
brightness,odporne,1,0.911
brightness,odporne,2,0.87
brightness,odporne,3,0.831
brightness,odporne,4,0.791
brightness,odporne,5,0.752
contrast,podatne,1,0.75
contrast,podatne,2,0.73
contrast,podatne,3,0.692
contrast,podatne,4,0.599
contrast,podatne,5,0.527
contrast,odporne,1,0.844
contrast,odporne,2,0.832
contrast,odporne,3,0.802
contrast,odporne,4,0.747
contrast,odporne,5,0.68
elastic_transform,podatne,1,0.517
elastic_transform,podatne,2,0.378
elastic_transform,podatne,3,0.368
elastic_transform,podatne,4,0.32
elastic_transform,podatne,5,0.277
elastic_transform,odporne,1,0.716
elastic_transform,odporne,2,0.629
elastic_transform,odporne,3,0.623
elastic_transform,odporne,4,0.522
elastic_transform,odporne,5,0.488
pixelate,podatne,1,0.466
pixelate,podatne,2,0.293
pixelate,podatne,3,0.283
pixelate,podatne,4,0.225
pixelate,podatne,5,0.26
pixelate,odporne,1,0.654
pixelate,odporne,2,0.418
pixelate,odporne,3,0.373
pixelate,odporne,4,0.269
pixelate,odporne,5,0.213
jpeg_compression,podatne,1,0.525
jpeg_compression,podatne,2,0.476
jpeg_compression,podatne,3,0.479
jpeg_compression,podatne,4,0.41
jpeg_compression,podatne,5,0.354
jpeg_compression,odporne,1,0.757
jpeg_compression,odporne,2,0.716
jpeg_compression,odporne,3,0.686
jpeg_compression,odporne,4,0.59
jpeg_compression,odporne,5,0.525
