corruption,grupa,severity,iou
gaussian_noise,podatne,1,0.524
gaussian_noise,podatne,2,0.456
gaussian_noise,podatne,3,0.394
gaussian_noise,podatne,4,0.34
gaussian_noise,podatne,5,0.282
gaussian_noise,odporne,1,0.695
gaussian_noise,odporne,2,0.636
gaussian_noise,odporne,3,0.584
gaussian_noise,odporne,4,0.522
gaussian_noise,odporne,5,0.431
shot_noise,podatne,1,0.515
shot_noise,podatne,2,0.444
shot_noise,podatne,3,0.386
shot_noise,podatne,4,0.32
shot_noise,podatne,5,0.291
shot_noise,odporne,1,0.682
shot_noise,odporne,2,0.62
shot_noise,odporne,3,0.577
shot_noise,odporne,4,0.505
shot_noise,odporne,5,0.442
impulse_noise,podatne,1,0.477
impulse_noise,podatne,2,0.422
impulse_noise,podatne,3,0.385
impulse_noise,podatne,4,0.337
impulse_noise,podatne,5,0.29
impulse_noise,odporne,1,0.647
impulse_noise,odporne,2,0.602
impulse_noise,odporne,3,0.567
impulse_noise,odporne,4,0.507
impulse_noise,odporne,5,0.44
defocus_blur,podatne,1,0.533
defocus_blur,podatne,2,0.468
defocus_blur,podatne,3,0.384
defocus_blur,podatne,4,0.331
defocus_blur,podatne,5,0.304
defocus_blur,odporne,1,0.648
defocus_blur,odporne,2,0.597
defocus_blur,odporne,3,0.505
defocus_blur,odporne,4,0.457
defocus_blur,odporne,5,0.419
glass_blur,podatne,1,0.454
glass_blur,podatne,2,0.39
glass_blur,podatne,3,0.288
glass_blur,podatne,4,0.267
glass_blur,podatne,5,0.246
glass_blur,odporne,1,0.619
glass_blur,odporne,2,0.555
glass_blur,odporne,3,0.443
glass_blur,odporne,4,0.409
glass_blur,odporne,5,0.384
motion_blur,podatne,1,0.588
motion_blur,podatne,2,0.493
motion_blur,podatne,3,0.397
motion_blur,podatne,4,0.314
motion_blur,podatne,5,0.301
motion_blur,odporne,1,0.703
motion_blur,odporne,2,0.629
motion_blur,odporne,3,0.546
motion_blur,odporne,4,0.475
motion_blur,odporne,5,0.442
zoom_blur,podatne,1,0.49
zoom_blur,podatne,2,0.439
zoom_blur,podatne,3,0.415
zoom_blur,podatne,4,0.389
zoom_blur,podatne,5,0.375
zoom_blur,odporne,1,0.631
zoom_blur,odporne,2,0.582
zoom_blur,odporne,3,0.554
zoom_blur,odporne,4,0.528
zoom_blur,odporne,5,0.51
snow,podatne,1,0.494
snow,podatne,2,0.425
snow,podatne,3,0.434
snow,podatne,4,0.388
snow,podatne,5,0.379
snow,odporne,1,0.683
snow,odporne,2,0.613
snow,odporne,3,0.623
snow,odporne,4,0.597
snow,odporne,5,0.577
frost,podatne,1,0.553
frost,podatne,2,0.468
frost,podatne,3,0.414
frost,podatne,4,0.416
frost,podatne,5,0.387
frost,odporne,1,0.73
frost,odporne,2,0.662
frost,odporne,3,0.617
frost,odporne,4,0.615
frost,odporne,5,0.588
fog,podatne,1,0.648
fog,podatne,2,0.621
fog,podatne,3,0.568
fog,podatne,4,0.522
fog,podatne,5,0.453
fog,odporne,1,0.782
fog,odporne,2,0.758
fog,odporne,3,0.731
fog,odporne,4,0.7
fog,odporne,5,0.659
brightness,podatne,1,0.832
brightness,podatne,2,0.73
brightness,podatne,3,0.656
brightness,podatne,4,0.601
brightness,podatne,5,0.556
brightness,odporne,1,0.894
brightness,odporne,2,0.826
brightness,odporne,3,0.769
brightness,odporne,4,0.729
brightness,odporne,5,0.693
contrast,podatne,1,0.743
contrast,podatne,2,0.708
contrast,podatne,3,0.664
contrast,podatne,4,0.597
contrast,podatne,5,0.539
contrast,odporne,1,0.815
contrast,odporne,2,0.79
contrast,odporne,3,0.759
contrast,odporne,4,0.71
contrast,odporne,5,0.659
elastic_transform,podatne,1,0.466
elastic_transform,podatne,2,0.404
elastic_transform,podatne,3,0.358
elastic_transform,podatne,4,0.341
elastic_transform,podatne,5,0.327
elastic_transform,odporne,1,0.67
elastic_transform,odporne,2,0.613
elastic_transform,odporne,3,0.554
elastic_transform,odporne,4,0.526
elastic_transform,odporne,5,0.486
pixelate,podatne,1,0.486
pixelate,podatne,2,0.348
pixelate,podatne,3,0.34
pixelate,podatne,4,0.271
pixelate,podatne,5,0.228
pixelate,odporne,1,0.625
pixelate,odporne,2,0.508
pixelate,odporne,3,0.474
pixelate,odporne,4,0.381
pixelate,odporne,5,0.333
jpeg_compression,podatne,1,0.546
jpeg_compression,podatne,2,0.51
jpeg_compression,podatne,3,0.487
jpeg_compression,podatne,4,0.441
jpeg_compression,podatne,5,0.392
jpeg_compression,odporne,1,0.686
jpeg_compression,odporne,2,0.656
jpeg_compression,odporne,3,0.636
jpeg_compression,odporne,4,0.593
jpeg_compression,odporne,5,0.559
