grupa,klasa,corruption,severity,prob_spadek,iou_spadek
podatne,backpack,gaussian_noise,1,0.06423474848270416,0.4820388716630114
podatne,backpack,gaussian_noise,2,0.1274469867348671,0.37196852948333203
podatne,backpack,gaussian_noise,3,0.11935022845864296,0.5776643990929705
podatne,backpack,gaussian_noise,4,0.17535802186466753,0.729620253164557
podatne,backpack,gaussian_noise,5,0.17696145974332467,0.77490234375
podatne,backpack,shot_noise,1,0.08593496680259705,0.46061814556331004
podatne,backpack,shot_noise,2,0.011215001344680786,0.48946417820590005
podatne,backpack,shot_noise,3,-0.038248345255851746,0.5968542467668647
podatne,backpack,shot_noise,4,0.1563316024839878,0.5456126367654518
podatne,backpack,shot_noise,5,0.17555469903163612,0.5040989715307795
podatne,backpack,impulse_noise,1,0.15215503610670567,0.7305843663040729
podatne,backpack,impulse_noise,2,0.0628756582736969,0.6218071958253227
podatne,backpack,impulse_noise,3,0.17009407607838511,0.7752013668537955
podatne,backpack,impulse_noise,4,0.17588718852493912,0.7175260366749728
podatne,backpack,impulse_noise,5,0.1771624648827128,0.8554484803558191
podatne,backpack,defocus_blur,1,0.10032892227172852,0.5730129390018484
podatne,backpack,defocus_blur,2,0.12258793413639069,0.5454018407130952
podatne,backpack,defocus_blur,3,0.17175391223281622,0.6190574475404197
podatne,backpack,defocus_blur,4,0.17583973391447216,0.6757273866860196
podatne,backpack,defocus_blur,5,0.17673960328102112,0.8095605242868158
podatne,backpack,glass_blur,1,0.17549748881720006,0.5627953601603894
podatne,backpack,glass_blur,2,0.17551589710637927,0.5131851851851852
podatne,backpack,glass_blur,3,0.176803459005896,0.6380784366942598
podatne,backpack,glass_blur,4,0.17725440813228488,0.6267104542966612
podatne,backpack,glass_blur,5,0.17737576487706974,0.732187973724103
podatne,backpack,motion_blur,1,0.14486835151910782,0.4468002785730868
podatne,backpack,motion_blur,2,0.1761937872506678,0.7017657331349848
podatne,backpack,motion_blur,3,0.17717148107476532,0.8650268589199887
podatne,backpack,motion_blur,4,0.17724161146907136,0.8529630264586547
podatne,backpack,motion_blur,5,0.17678704240825027,0.7877763014856867
podatne,backpack,zoom_blur,1,0.168648112565279,0.6169641011506926
podatne,backpack,zoom_blur,2,0.16858286410570145,0.5168107588856868
podatne,backpack,zoom_blur,3,0.17456923564895988,0.6498049239876227
podatne,backpack,zoom_blur,4,0.17606789548881352,0.6497008001075775
podatne,backpack,zoom_blur,5,0.17423501145094633,0.6870748299319728
podatne,backpack,snow,1,0.12036072090268135,0.46415180962583213
podatne,backpack,snow,2,0.17611456976737827,0.6431420266342189
podatne,backpack,snow,3,0.14469747617840767,0.6635594913110061
podatne,backpack,snow,4,0.1729888655245304,0.6177260519247986
podatne,backpack,snow,5,0.1765955564333126,0.6860434668761456
podatne,backpack,frost,1,0.14193809404969215,0.6353932966211163
podatne,backpack,frost,2,0.174675035988912,0.6108381202851408
podatne,backpack,frost,3,0.17046551080420613,0.7720543252171785
