model,family,class,corruption,severity,method,iou,centroid_shift,prob_corr,correct
resnet101,CNN,backpack,gaussian_noise,1,cam,0.3517408579702337,14.586451608113343,0.5154935121536255,True
resnet101,CNN,backpack,gaussian_noise,2,cam,0.5774913549198365,5.848252755088591,0.40925368666648865,True
resnet101,CNN,backpack,gaussian_noise,3,cam,0.46137604659628684,21.387359434295664,0.058813437819480896,False
resnet101,CNN,backpack,gaussian_noise,4,cam,0.36972840180155586,19.906392260556043,0.007482696324586868,False
resnet101,CNN,backpack,gaussian_noise,5,cam,0.030390143737166326,19.68609643825162,0.0006278338260017335,False
resnet101,CNN,backpack,shot_noise,1,cam,0.5751392921604018,13.575903412874746,0.6102402806282043,True
resnet101,CNN,backpack,shot_noise,2,cam,0.4723098364263185,9.489818428386181,0.5845410823822021,True
resnet101,CNN,backpack,shot_noise,3,cam,0.48714529154626957,11.242258258578133,0.3872309923171997,True
resnet101,CNN,backpack,shot_noise,4,cam,0.5049861288145759,10.463008808608821,0.19142091274261475,True
resnet101,CNN,backpack,shot_noise,5,cam,0.458191064293498,1.6466574962208567,0.0013530856231227517,False
resnet101,CNN,backpack,impulse_noise,1,cam,0.39321163323384467,24.83839316967762,0.17879991233348846,True
resnet101,CNN,backpack,impulse_noise,2,cam,0.5048732943469786,11.392797890762573,0.035534072667360306,False
resnet101,CNN,backpack,impulse_noise,3,cam,0.5800991891679131,11.473875480999082,0.011085769161581993,False
resnet101,CNN,backpack,impulse_noise,4,cam,0.26837282780410743,30.540815399674738,0.0006326646544039249,False
resnet101,CNN,backpack,impulse_noise,5,cam,0.26040816326530614,12.657421862235365,0.0003578731557354331,False
resnet101,CNN,backpack,defocus_blur,1,cam,0.7851298470295268,1.4696936674167063,0.07921359688043594,True
resnet101,CNN,backpack,defocus_blur,2,cam,0.7573104535107686,1.5195070725707982,0.056236155331134796,True
resnet101,CNN,backpack,defocus_blur,3,cam,0.5551251259006741,10.124919751551168,0.001745494781062007,False
resnet101,CNN,backpack,defocus_blur,4,cam,0.3892580287929125,10.545723491863798,0.0010082797380164266,False
