model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.6701529026031494,0.7754756212234497,-0.10532271862030029,1,1,0.6271076523994812,0.8791998921047703,8.854793021284902,4.037898397108564,4.211456311346133,0.17355791423756894,ViT
vit_b_16,cam,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.6701529026031494,0.7754756212234497,-0.10532271862030029,1,1,0.27794754265342503,0.5025678901574377,24.687086606975917,3.7608192365195325,2.438512755017663,-1.3223064815018697,ViT
vit_b_16,ig,n02769748,backpack,0,1102,gaussian_noise,noise,1,0.6701529026031494,0.7754756212234497,-0.10532271862030029,1,1,0.2571714894150069,0.37066127869169985,16.072536233606606,2.2954434815217812,2.1396923641412378,-0.15575111738054348,ViT
vit_b_16,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.6701529026031494,0.19275280833244324,0.4774000942707062,1,0,0.4436133486766398,0.7624602973901903,9.464586310134306,4.037898397108564,3.5667672634102185,-0.4711311336983455,ViT
vit_b_16,cam,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.6701529026031494,0.19275280833244324,0.4774000942707062,1,0,0.12637485970819304,0.014303975694926644,34.66055149145791,3.7608192365195325,2.480150970118486,-1.2806682664010465,ViT
vit_b_16,ig,n02769748,backpack,0,1102,gaussian_noise,noise,2,0.6701529026031494,0.19275280833244324,0.4774000942707062,1,0,0.21847872275845323,0.28592076047815196,21.11505978767743,2.2954434815217812,2.3860505673144576,0.0906070857926764,ViT
vit_b_16,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.6701529026031494,0.0821630209684372,0.5879898816347122,1,1,0.37526550188420693,0.6431801956790867,12.260054564085193,4.037898397108564,4.187416852071443,0.1495184549628794,ViT
vit_b_16,cam,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.6701529026031494,0.0821630209684372,0.5879898816347122,1,1,0.20001594387755103,0.012864658274124476,76.70236691077022,3.7608192365195325,0.952289968763816,-2.8085292677557163,ViT
vit_b_16,ig,n02769748,backpack,0,1102,gaussian_noise,noise,3,0.6701529026031494,0.0821630209684372,0.5879898816347122,1,1,0.17325227963525835,0.17229514107005695,29.751612083787343,2.2954434815217812,2.403567146748036,0.10812366522625494,ViT
vit_b_16,rollout,n02769748,backpack,0,1102,gaussian_noise,noise,4,0.6701529026031494,0.06530915945768356,0.6048437431454659,1,1,0.23505167322834647,0.4569984350248098,19.30857620610237,4.037898397108564,3.841064613885155,-0.19683378322340905,ViT
